i,suite,case,CRYSTAL_THRESH,BLOCK_SIZE,NO_SET,SIZE,CHUNK,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,SIM_SIZE,DISK_SIZE,SEED,DISK_GEOMETRY,FILE_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,335619648,0,0,0,0,0,0,624,53.503512
15,bench_p26_wt,bench_p26_wt_linear,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,335619648,0,0,0,0,0,0,1296,53.503546
15,bench_p26_wt,bench_p26_wt_linear,-1,32768,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,335619648,0,0,0,0,0,0,393216,53.503578
20,bench_p26_wt,bench_p26_wt_linear,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,405749312,104031166,3623075,20120,3422686140,1855014400,2637168640,3601750802676,55.996757
20,bench_p26_wt,bench_p26_wt_linear,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,405749312,0,0,0,0,0,0,3344,55.996843
20,bench_p26_wt,bench_p26_wt_linear,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,405749312,0,0,0,0,0,0,624,55.996881
20,bench_p26_wt,bench_p26_wt_linear,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,405749312,0,0,0,0,0,0,1296,55.996915
20,bench_p26_wt,bench_p26_wt_linear,-1,1048576,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,405749312,0,0,0,0,0,0,8388608,55.996945
17,bench_p26_wt,bench_p26_wt_linear,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,434032192,96922961,4232836,22986,3902565198,2167212032,3012820992,3600096243402,56.814709
17,bench_p26_wt,bench_p26_wt_linear,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,434032192,0,0,0,0,0,0,3328,56.814785
17,bench_p26_wt,bench_p26_wt_linear,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,434032192,0,0,0,0,0,0,624,56.814820
17,bench_p26_wt,bench_p26_wt_linear,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,434032192,0,0,0,0,0,0,1296,56.814850
17,bench_p26_wt,bench_p26_wt_linear,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,434032192,0,0,0,0,0,0,6815744,56.814877
12,bench_p26_wt,bench_p26_wt_linear,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,68212800,129204341,1393385,224949,2588018375,713413120,921391104,3600019551941,58.201947
12,bench_p26_wt,bench_p26_wt_linear,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,stack,68212800,0,0,0,0,0,0,3280,58.202016
12,bench_p26_wt,bench_p26_wt_linear,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,ctx,68212800,0,0,0,0,0,0,624,58.202047
12,bench_p26_wt,bench_p26_wt_linear,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,heap,68212800,0,0,0,0,0,0,1296,58.202073
12,bench_p26_wt,bench_p26_wt_linear,-1,4096,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,usage,68212800,0,0,0,0,0,0,4341760,58.202097
26,bench_p26_wt,bench_p26_wt_random,-1,131072,0,2097152,64,0,32768,3600000000000,0,0,134217728,42,1,64,31,write,41500352,113761665,2768275,10874,3387068536,1417356800,1425276928,3600140032744,41.142005
