i,suite,case,FILE_COUNT,SEED,SIZE,NO_SET,FS,DISK_SIZE,BLOCK_SIZE,DISK_GEOMETRY,SKIP_WARMUP,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,heap,246292544,0,0,0,0,0,0,784,6.935992
17,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,131072,0,0,0,64,64,3600000000000,0,usage,246292544,0,0,0,0,0,0,1703936,6.936033
19,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,write,244875328,56684670,1298994,68352,56684670,279488449,279969792,3603089673475,6.947372
19,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,stack,244875328,0,0,0,0,0,0,3296,6.947434
19,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,ctx,244875328,0,0,0,0,0,0,624,6.947473
19,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,heap,244875328,0,0,0,0,0,0,784,6.947505
19,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,usage,244875328,0,0,0,0,0,0,3670016,6.947534
15,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,write,248163136,73079998,1277961,68456,73079998,279210570,280395776,3600004174894,6.954763
15,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,stack,248163136,0,0,0,0,0,0,3312,6.954823
15,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,ctx,248163136,0,0,0,0,0,0,624,6.954864
15,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,heap,248163136,0,0,0,0,0,0,784,6.954900
15,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,32768,0,0,0,64,64,3600000000000,0,usage,248163136,0,0,0,0,0,0,884736,6.954935
12,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,7.316121
12,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,stack,258715968,0,0,0,0,0,0,3312,7.316192
12,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,ctx,258715968,0,0,0,0,0,0,624,7.316223
12,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,heap,258715968,0,0,0,0,0,0,784,7.316252
12,bench_p26_wt,bench_p26_wt_linear,32768,42,2097152,0,3,134217728,4096,0,0,0,64,64,3600000000000,0,usage,258715968,0,0,0,0,0,0,823296,7.316279
29,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,write,885760,112719720,661160,74240,112719720,93463119,304087040,3611533437981,4.742698
29,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,stack,885760,0,0,0,0,0,0,3312,4.742805
29,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,ctx,885760,0,0,0,0,0,0,608,4.742859
29,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,heap,885760,0,0,0,0,0,0,784,4.742904
29,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,1048576,0,0,0,64,64,3600000000000,0,usage,885760,0,0,0,0,0,0,8388608,4.742948
25,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,write,3617408,423093199,1749817,64016,423093199,221706529,262209536,3601920891083,5.362703
25,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,stack,3617408,0,0,0,0,0,0,3248,5.362808
25,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,ctx,3617408,0,0,0,0,0,0,608,5.362874
25,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,heap,3617408,0,0,0,0,0,0,784,5.362920
25,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,65536,0,0,0,64,64,3600000000000,0,usage,3617408,0,0,0,0,0,0,4849664,5.362964
28,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,write,1482624,178572435,1075132,70400,178572435,146052334,288358400,3608013691042,5.436632
28,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,stack,1482624,0,0,0,0,0,0,3280,5.436733
28,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,ctx,1482624,0,0,0,0,0,0,608,5.436783
28,bench_p26_wt,bench_p26_wt_random,32768,42,2097152,0,3,134217728,524288,0,0,0,64,64,3600000000000,0,heap,1482624,0,0,0,0,0,0,784,5.436827
