i,suite,case,FS,FILE_SIZE,SKIP_WARMUP,PROG_SIZE,NO_FRUNCATE,DISK_SIZE,CHUNK,SIM_TIME,SIM_SIZE,FILE_COUNT,SIZE,NO_SET,DISK_GEOMETRY,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2327709248,0,0,0,0,0,0,784,59.050639
15,bench_p26_wt,bench_p26_wt_linear,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2327709248,0,0,0,0,0,0,2621440,59.050675
17,bench_p26_wt,bench_p26_wt_linear,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2348010048,27636847,11284124,20474,539395760,2678831392,2683568128,3600009075824,59.377739
17,bench_p26_wt,bench_p26_wt_linear,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2348010048,0,0,0,0,0,0,3296,59.377835
17,bench_p26_wt,bench_p26_wt_linear,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2348010048,0,0,0,0,0,0,624,59.377882
17,bench_p26_wt,bench_p26_wt_linear,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2348010048,0,0,0,0,0,0,784,59.377924
17,bench_p26_wt,bench_p26_wt_linear,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2348010048,0,0,0,0,0,0,1966080,59.377965
20,bench_p26_wt,bench_p26_wt_linear,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,2343313216,28176865,11185212,21853,814832022,2863414272,2864316416,3600018389538,59.782676
20,bench_p26_wt,bench_p26_wt_linear,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,2343313216,0,0,0,0,0,0,3296,59.782775
20,bench_p26_wt,bench_p26_wt_linear,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,2343313216,0,0,0,0,0,0,624,59.782823
20,bench_p26_wt,bench_p26_wt_linear,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,2343313216,0,0,0,0,0,0,784,59.782865
20,bench_p26_wt,bench_p26_wt_linear,32,64,0,256,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,2343313216,0,0,0,0,0,0,1441792,59.782904
21,bench_p26_wt,bench_p26_wt_linear,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,83.295650
21,bench_p26_wt,bench_p26_wt_linear,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,4630589504,0,0,0,0,0,0,3312,83.295741
21,bench_p26_wt,bench_p26_wt_linear,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,4630589504,0,0,0,0,0,0,624,83.295782
21,bench_p26_wt,bench_p26_wt_linear,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,4630589504,0,0,0,0,0,0,1296,83.295814
21,bench_p26_wt,bench_p26_wt_linear,32,64,0,512,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,4630589504,0,0,0,0,0,0,786432,83.295844
22,bench_p26_wt,bench_p26_wt_linear,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,7687713856,37173046,9266142,72420,2556746999,9488529408,9492234240,3600009719381,117.915116
22,bench_p26_wt,bench_p26_wt_linear,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,7687713856,0,0,0,0,0,0,3232,117.915213
22,bench_p26_wt,bench_p26_wt_linear,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,7687713856,0,0,0,0,0,0,624,117.915277
22,bench_p26_wt,bench_p26_wt_linear,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,7687713856,0,0,0,0,0,0,2320,117.915316
22,bench_p26_wt,bench_p26_wt_linear,32,64,0,1024,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,7687713856,0,0,0,0,0,0,2359296,117.915354
23,bench_p26_wt,bench_p26_wt_linear,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,10254938176,51533182,7008966,109591,4952701769,14354362368,14364311552,3600010581611,150.214043
23,bench_p26_wt,bench_p26_wt_linear,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,10254938176,0,0,0,0,0,0,3232,150.214118
23,bench_p26_wt,bench_p26_wt_linear,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,10254938176,0,0,0,0,0,0,624,150.214153
23,bench_p26_wt,bench_p26_wt_linear,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,10254938176,0,0,0,0,0,0,4368,150.214181
23,bench_p26_wt,bench_p26_wt_linear,32,64,0,2048,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,10254938176,0,0,0,0,0,0,2621440,150.214208
24,bench_p26_wt,bench_p26_wt_linear,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,9766309952,47035493,7309170,114351,5715647230,14969180160,14988214272,3600019189978,113.574233
24,bench_p26_wt,bench_p26_wt_linear,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,9766309952,0,0,0,0,0,0,3232,113.574306
24,bench_p26_wt,bench_p26_wt_linear,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,9766309952,0,0,0,0,0,0,624,113.574337
24,bench_p26_wt,bench_p26_wt_linear,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,9766309952,0,0,0,0,0,0,8464,113.574362
24,bench_p26_wt,bench_p26_wt_linear,32,64,0,4096,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,9766309952,0,0,0,0,0,0,2621440,113.574385
26,bench_p26_wt,bench_p26_wt_random,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14775808,86704891,5559522,10588,1995743382,1131116404,1387790336,3600166521022,35.502063
26,bench_p26_wt,bench_p26_wt_random,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14775808,0,0,0,0,0,0,3248,35.502192
26,bench_p26_wt,bench_p26_wt_random,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14775808,0,0,0,0,0,0,608,35.502253
26,bench_p26_wt,bench_p26_wt_random,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14775808,0,0,0,0,0,0,784,35.502305
26,bench_p26_wt,bench_p26_wt_random,32,64,0,2,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14775808,0,0,0,0,0,0,5767168,35.502357
30,bench_p26_wt,bench_p26_wt_random,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14427968,88031585,5427461,10535,2029544778,1133643456,1380843520,3600361157822,35.767607
30,bench_p26_wt,bench_p26_wt_random,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14427968,0,0,0,0,0,0,3248,35.767716
30,bench_p26_wt,bench_p26_wt_random,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14427968,0,0,0,0,0,0,608,35.767776
30,bench_p26_wt,bench_p26_wt_random,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14427968,0,0,0,0,0,0,784,35.767831
30,bench_p26_wt,bench_p26_wt_random,32,64,0,32,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14427968,0,0,0,0,0,0,5242880,35.767889
28,bench_p26_wt,bench_p26_wt_random,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14552704,87164921,5515603,10487,1998801215,1124337328,1374552064,3600229514941,35.861750
28,bench_p26_wt,bench_p26_wt_random,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14552704,0,0,0,0,0,0,3248,35.861845
28,bench_p26_wt,bench_p26_wt_random,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14552704,0,0,0,0,0,0,608,35.861895
28,bench_p26_wt,bench_p26_wt_random,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14552704,0,0,0,0,0,0,784,35.861949
28,bench_p26_wt,bench_p26_wt_random,32,64,0,8,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14552704,0,0,0,0,0,0,4980736,35.861988
25,bench_p26_wt,bench_p26_wt_random,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14904256,86592648,5571198,10646,1988998804,1134514581,1395392512,3600375806731,35.963785
25,bench_p26_wt,bench_p26_wt_random,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,stack,14904256,0,0,0,0,0,0,3248,35.963888
25,bench_p26_wt,bench_p26_wt_random,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,ctx,14904256,0,0,0,0,0,0,608,35.963941
25,bench_p26_wt,bench_p26_wt_random,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,heap,14904256,0,0,0,0,0,0,784,35.963989
25,bench_p26_wt,bench_p26_wt_random,32,64,0,1,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,usage,14904256,0,0,0,0,0,0,4849664,35.964031
29,bench_p26_wt,bench_p26_wt_random,32,64,0,16,1,134217728,64,3600000000000,0,32768,2097152,0,1,42,write,14514368,87535225,5478024,10522,2006962561,1128325280,1379139584,3600240416883,36.123700
