i,suite,case,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,SEED,NO_SET,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,SIZE,CHUNK,FILE_SIZE,BLOCK_SIZE,DISK_SIZE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,heap,4630524992,0,0,0,0,0,0,1296,70.331799
18,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,usage,4630524992,0,0,0,0,0,0,1310720,70.331838
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,write,4441966656,34471915,10218758,79883,1140304523,5232004096,5235212288,3600001829969,74.846327
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,stack,4441966656,0,0,0,0,0,0,3312,74.846414
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,ctx,4441966656,0,0,0,0,0,0,624,74.846456
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,heap,4441966656,0,0,0,0,0,0,1296,74.846492
16,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,usage,4441966656,0,0,0,0,0,0,524288,74.846527
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,write,4559310912,29765446,10645801,41608,1224287858,5450650112,5453643776,3600061333622,75.209782
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,stack,4559310912,0,0,0,0,0,0,3232,75.209853
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,ctx,4559310912,0,0,0,0,0,0,624,75.209887
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,heap,4559310912,0,0,0,0,0,0,1296,75.209916
20,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,usage,4559310912,0,0,0,0,0,0,6291456,75.209942
19,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,write,4574292032,29589052,10663546,41664,1202616550,5459735552,5460983808,3600030938386,76.166271
19,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,stack,4574292032,0,0,0,0,0,0,3312,76.166346
19,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,ctx,4574292032,0,0,0,0,0,0,624,76.166379
19,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,heap,4574292032,0,0,0,0,0,0,1296,76.166408
19,bench_p26_wt,bench_p26_wt_linear,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,usage,4574292032,0,0,0,0,0,0,3145728,76.166440
23,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,write,12106368,121107193,2128087,73288,2810778510,1089580544,1200750592,3600163761546,26.153419
23,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,stack,12106368,0,0,0,0,0,0,3296,26.153524
23,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,ctx,12106368,0,0,0,0,0,0,608,26.153580
23,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,heap,12106368,0,0,0,0,0,0,1296,26.153629
23,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,16384,134217728,3,usage,12106368,0,0,0,0,0,0,4259840,26.153676
26,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,27.246591
26,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,stack,13076096,0,0,0,0,0,0,3120,27.246701
26,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,ctx,13076096,0,0,0,0,0,0,608,27.246756
26,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,heap,13076096,0,0,0,0,0,0,1296,27.246803
26,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,131072,134217728,3,usage,13076096,0,0,0,0,0,0,5373952,27.246847
24,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,write,13907392,115703933,2605744,44620,3069889331,1334140928,1462108160,3600208827593,27.698390
24,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,stack,13907392,0,0,0,0,0,0,3200,27.698493
24,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,ctx,13907392,0,0,0,0,0,0,608,27.698562
24,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,heap,13907392,0,0,0,0,0,0,1296,27.698620
24,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,32768,134217728,3,usage,13907392,0,0,0,0,0,0,4325376,27.698665
22,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,write,6129600,132208319,1151685,79563,2225510213,589662720,651780096,3600172042271,30.801672
22,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,stack,6129600,0,0,0,0,0,0,3296,30.801769
22,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,ctx,6129600,0,0,0,0,0,0,608,30.801821
22,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,heap,6129600,0,0,0,0,0,0,1296,30.801868
22,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,8192,134217728,3,usage,6129600,0,0,0,0,0,0,4489216,30.801912
21,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,write,6404480,128756221,1447661,207419,2484405099,741202432,849588224,3600050040561,34.821987
21,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,stack,6404480,0,0,0,0,0,0,3296,34.822063
21,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,ctx,6404480,0,0,0,0,0,0,608,34.822099
21,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,heap,6404480,0,0,0,0,0,0,1296,34.822127
21,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,4096,134217728,3,usage,6404480,0,0,0,0,0,0,5234688,34.822153
27,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,write,17971584,103021635,3744568,19928,3022676829,1917218816,2612002816,3600500543463,36.377017
27,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,stack,17971584,0,0,0,0,0,0,3280,36.377099
27,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,ctx,17971584,0,0,0,0,0,0,608,36.377139
27,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,heap,17971584,0,0,0,0,0,0,1296,36.377172
27,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,262144,134217728,3,usage,17971584,0,0,0,0,0,0,6029312,36.377203
25,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,write,13377600,113838952,2772798,23941,3123646549,1419672576,1568997376,3600364325455,37.120589
25,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,stack,13377600,0,0,0,0,0,0,3296,37.120662
25,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,ctx,13377600,0,0,0,0,0,0,608,37.120703
25,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,heap,13377600,0,0,0,0,0,0,1296,37.120745
25,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,65536,134217728,3,usage,13377600,0,0,0,0,0,0,4587520,37.120777
28,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,write,22113152,87740936,5038015,36108,3476687522,2579463680,4732747776,3601157608454,39.648809
28,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,stack,22113152,0,0,0,0,0,0,3280,39.648878
28,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,ctx,22113152,0,0,0,0,0,0,608,39.648912
28,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,heap,22113152,0,0,0,0,0,0,1296,39.648939
28,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,524288,134217728,3,usage,22113152,0,0,0,0,0,0,6815744,39.648966
29,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,write,22199488,82109368,5382661,59720,3575569445,2755922432,7827619840,3600522618047,41.010016
29,bench_p26_wt,bench_p26_wt_random,32768,1,3600000000000,42,0,0,0,0,2097152,64,64,1048576,134217728,3,stack,22199488,0,0,0,0,0,0,3312,41.010078
