i,suite,case,SEED,NO_FRUNCATE,DISK_SIZE,SIM_TIME,CRYSTAL_THRESH,FS,FILE_SIZE,SIZE,CHUNK,SIM_SIZE,SKIP_WARMUP,FILE_COUNT,NO_SET,DISK_GEOMETRY,READ_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,ctx,45188928,0,0,0,0,0,0,624,28.693974
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,heap,45188928,0,0,0,0,0,0,784,28.694021
20,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,256,usage,45188928,0,0,0,0,0,0,3072000,28.694067
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,write,46531648,615899986,1492711,66096,615899986,203571502,270729216,3600010491962,28.752574
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,stack,46531648,0,0,0,0,0,0,3328,28.752659
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,ctx,46531648,0,0,0,0,0,0,624,28.752710
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,heap,46531648,0,0,0,0,0,0,784,28.752756
12,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,1,usage,46531648,0,0,0,0,0,0,1200128,28.752800
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,write,46179904,1492977920,1474944,65475,1492977920,201576312,268185600,3600002461160,29.232542
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,stack,46179904,0,0,0,0,0,0,3328,29.232656
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,ctx,46179904,0,0,0,0,0,0,624,29.240983
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,heap,46179904,0,0,0,0,0,0,784,29.241064
18,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,64,usage,46179904,0,0,0,0,0,0,446464,29.241113
16,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,write,46413376,843044240,1488936,65929,843044240,203060808,270045184,3600061300184,29.953019
16,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,stack,46413376,0,0,0,0,0,0,3328,29.953117
16,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,ctx,46413376,0,0,0,0,0,0,624,29.953166
16,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,heap,46413376,0,0,0,0,0,0,784,29.953209
16,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,16,usage,46413376,0,0,0,0,0,0,917504,29.953251
15,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,write,46458176,756598752,1490365,65992,756598752,203253359,270303232,3600013837373,31.248404
15,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,stack,46458176,0,0,0,0,0,0,3328,31.248488
15,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,ctx,46458176,0,0,0,0,0,0,624,31.248529
15,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,heap,46458176,0,0,0,0,0,0,784,31.248564
15,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,8,usage,46458176,0,0,0,0,0,0,1024000,31.248596
14,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,write,46496064,684569096,1491571,66045,684569096,203416321,270520320,3600003230547,32.855753
14,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,stack,46496064,0,0,0,0,0,0,3328,32.855889
14,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,ctx,46496064,0,0,0,0,0,0,624,32.855937
14,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,heap,46496064,0,0,0,0,0,0,784,32.855980
14,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,4,usage,46496064,0,0,0,0,0,0,1114112,32.856017
13,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,write,46515520,648226624,1492197,66073,648226624,203501654,270635008,3600061595490,33.042982
13,bench_p26_wt,bench_p26_wt_linear,42,0,134217728,3600000000000,-1,31,64,2097152,64,0,0,32768,0,0,2,stack,46515520,0,0,0,0,0,0,3328,33.043051
