i,suite,case,SKIP_WARMUP,CHUNK,NO_SET,DISK_GEOMETRY,FILE_SIZE,SEED,FS,PROG_SIZE,FILE_COUNT,DISK_SIZE,NO_FRUNCATE,SIZE,SIM_TIME,CRYSTAL_THRESH,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,heap,45750336,0,0,0,0,0,0,784,30.592547
17,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,32,32768,134217728,0,2097152,3600000000000,-1,0,usage,45750336,0,0,0,0,0,0,4542464,30.592596
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,write,45769536,645292065,1345807,67373,645292065,213315392,275959808,3600054189032,30.716262
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,stack,45769536,0,0,0,0,0,0,3328,30.716365
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,ctx,45769536,0,0,0,0,0,0,624,30.716422
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,heap,45769536,0,0,0,0,0,0,784,30.716472
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,64,32768,134217728,0,2097152,3600000000000,-1,0,usage,45769536,0,0,0,0,0,0,4329472,30.716525
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,write,40659008,660543966,1117900,69384,660543966,215367424,284196864,3600003578800,31.623579
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,stack,40659008,0,0,0,0,0,0,3328,31.623677
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,ctx,40659008,0,0,0,0,0,0,624,31.623729
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,heap,40659008,0,0,0,0,0,0,784,31.623773
19,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,128,32768,134217728,0,2097152,3600000000000,-1,0,usage,40659008,0,0,0,0,0,0,2580480,31.623815
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,write,30772800,714219188,857056,71654,714219188,219406336,293494784,3600003288096,35.546880
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,stack,30772800,0,0,0,0,0,0,3328,35.546988
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,ctx,30772800,0,0,0,0,0,0,624,35.547047
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,heap,30772800,0,0,0,0,0,0,784,35.547099
20,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,256,32768,134217728,0,2097152,3600000000000,-1,0,usage,30772800,0,0,0,0,0,0,5111808,35.547138
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,write,21847104,815631743,881472,71347,815631743,225656832,292237312,3600133487576,41.533334
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,stack,21847104,0,0,0,0,0,0,3280,41.533454
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,ctx,21847104,0,0,0,0,0,0,624,41.533505
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,heap,21847104,0,0,0,0,0,0,1296,41.533547
21,bench_p26_wt,bench_p26_wt_linear,0,64,0,0,64,42,31,512,32768,134217728,0,2097152,3600000000000,-1,0,usage,21847104,0,0,0,0,0,0,3629056,41.533585
