i,suite,case,FS,FILE_SIZE,NO_FRUNCATE,SKIP_WARMUP,CHUNK,SIM_SIZE,SIM_TIME,READ_SIZE,DISK_GEOMETRY,NO_SET,FILE_COUNT,SEED,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,heap,5035505216,0,0,0,0,0,0,1552,100.385919
21,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,512,1,0,32768,42,134217728,2097152,usage,5035505216,0,0,0,0,0,0,917504,100.385962
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,write,4834992192,23398826,11201832,43770,1636439456,5735337984,5737021440,3600013576928,100.781684
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,stack,4834992192,0,0,0,0,0,0,3312,100.781776
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,ctx,4834992192,0,0,0,0,0,0,624,100.781823
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,heap,4834992192,0,0,0,0,0,0,1296,100.781862
17,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,32,1,0,32768,42,134217728,2097152,usage,4834992192,0,0,0,0,0,0,1835008,100.781904
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,write,5014850624,18637948,11618504,45398,1933174400,5948674048,5950406656,3600010365824,100.969607
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,stack,5014850624,0,0,0,0,0,0,3312,100.969685
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,ctx,5014850624,0,0,0,0,0,0,624,100.978065
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,heap,5014850624,0,0,0,0,0,0,1296,100.978145
18,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,64,1,0,32768,42,134217728,2097152,usage,5014850624,0,0,0,0,0,0,1310720,100.978185
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,write,5051386944,16037854,11703117,45728,4105690624,5991995904,5993660416,3600001251328,101.887928
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,stack,5051386944,0,0,0,0,0,0,3312,101.888015
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,ctx,5051386944,0,0,0,0,0,0,624,101.888055
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,heap,5051386944,0,0,0,0,0,0,1296,101.888088
20,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,256,1,0,32768,42,134217728,2097152,usage,5051386944,0,0,0,0,0,0,2097152,101.888119
22,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,write,7527203904,16638009,10276059,67309,17037321216,8817284096,8822325248,3600003086336,120.440107
22,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,stack,7527203904,0,0,0,0,0,0,3280,120.440186
22,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,ctx,7527203904,0,0,0,0,0,0,624,120.440233
22,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,heap,7527203904,0,0,0,0,0,0,2576,120.440265
22,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,1024,1,0,32768,42,134217728,2097152,usage,7527203904,0,0,0,0,0,0,1179648,120.440293
23,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,write,10234728512,16379765,8648517,89625,33545758720,11736775680,11747328000,3600011041792,145.112578
23,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,stack,10234728512,0,0,0,0,0,0,3312,145.112655
23,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,ctx,10234728512,0,0,0,0,0,0,624,145.112689
23,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,heap,10234728512,0,0,0,0,0,0,4624,145.112716
23,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,usage,10234728512,0,0,0,0,0,0,1310720,145.112741
24,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,write,10879373376,19107512,7926118,91317,39132184576,11946779648,11969101824,3600011201536,90.374530
24,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,stack,10879373376,0,0,0,0,0,0,3280,90.374603
24,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,ctx,10879373376,0,0,0,0,0,0,624,90.374634
24,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,heap,10879373376,0,0,0,0,0,0,8720,90.374660
24,bench_p26_wt,bench_p26_wt_linear,32,64,1,0,64,0,3600000000000,4096,1,0,32768,42,134217728,2097152,usage,10879373376,0,0,0,0,0,0,2097152,90.374684
26,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,write,8035008,125276681,1801855,8170,1969166452,922549760,1070858240,3600009476764,36.166947
26,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,stack,8035008,0,0,0,0,0,0,3120,36.167069
26,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,ctx,8035008,0,0,0,0,0,0,608,36.167130
26,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,heap,8035008,0,0,0,0,0,0,1296,36.167192
26,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2,1,0,32768,42,134217728,2097152,usage,8035008,0,0,0,0,0,0,5767168,36.167243
27,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,write,8207424,124751911,1841580,8350,2093408116,942888960,1094451200,3600139189660,37.013858
27,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,stack,8207424,0,0,0,0,0,0,3120,37.013963
27,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,ctx,8207424,0,0,0,0,0,0,608,37.014022
27,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,heap,8207424,0,0,0,0,0,0,1296,37.014074
27,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,4,1,0,32768,42,134217728,2097152,usage,8207424,0,0,0,0,0,0,5242880,37.014122
28,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,write,10204800,119280194,2294723,10396,2807892560,1174898176,1362624512,3600892749296,40.535878
28,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,stack,10204800,0,0,0,0,0,0,3120,40.535987
28,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,ctx,10204800,0,0,0,0,0,0,608,40.536048
28,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,heap,10204800,0,0,0,0,0,0,1296,40.536110
28,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,8,1,0,32768,42,134217728,2097152,usage,10204800,0,0,0,0,0,0,5505024,40.536159
36,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,write,12891392,44424919,2906416,13167,90982234112,1488084992,1725825024,3600795723776,44.742099
36,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,stack,12891392,0,0,0,0,0,0,3072,44.742212
36,bench_p26_wt,bench_p26_wt_random,32,64,1,0,64,0,3600000000000,2048,1,0,32768,42,134217728,2097152,ctx,12891392,0,0,0,0,0,0,608,44.742267
