i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,heap,244593728,0,0,0,0,0,0,784,6.842478
18,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,usage,244593728,0,0,0,0,0,0,2621440,6.842519
20,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,write,244383808,58644376,1298606,68352,58644376,279113327,279969792,3603005684733,7.115730
20,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,stack,244383808,0,0,0,0,0,0,3296,7.115809
20,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,ctx,244383808,0,0,0,0,0,0,624,7.115846
20,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,heap,244383808,0,0,0,0,0,0,784,7.115876
20,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,usage,244383808,0,0,0,0,0,0,5242880,7.115905
12,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,7.262133
12,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,stack,258715968,0,0,0,0,0,0,3312,7.262209
12,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,ctx,258715968,0,0,0,0,0,0,624,7.262242
12,bench_p26_wt,bench_p26_wt_linear,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,heap,258715968,0,0,0,0,0,0,784,7.262270
