i,suite,case,FS,SEED,SKIP_WARMUP,NO_SET,SIZE,CHUNK,SIM_SIZE,DISK_SIZE,BLOCK_SIZE,NO_FRUNCATE,FILE_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
45,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,heap,44320064,0,0,0,0,0,0,784,7.678661
45,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,262144,1,64,3600000000000,0,32768,usage,44320064,0,0,0,0,0,0,3932160,7.678706
44,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,write,43293312,210111454,3310231,50304,210111454,198928202,206045184,3600312594990,7.749287
44,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,stack,43293312,0,0,0,0,0,0,3296,7.749354
44,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,ctx,43293312,0,0,0,0,0,0,624,7.757705
44,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,heap,43293312,0,0,0,0,0,0,784,7.757767
44,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,131072,1,64,3600000000000,0,32768,usage,43293312,0,0,0,0,0,0,4194304,7.757813
43,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,write,43325120,222638014,3308366,50304,222638014,199088687,206045184,3600070467885,10.264405
43,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,stack,43325120,0,0,0,0,0,0,3296,10.264507
43,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,ctx,43325120,0,0,0,0,0,0,624,10.264560
43,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,heap,43325120,0,0,0,0,0,0,784,10.264608
43,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,65536,1,64,3600000000000,0,32768,usage,43325120,0,0,0,0,0,0,3997696,10.264652
47,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,write,46204288,148314983,3462899,49152,148314983,193134946,201326592,3606978954078,10.489604
47,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,stack,46204288,0,0,0,0,0,0,3296,10.489695
47,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,ctx,46204288,0,0,0,0,0,0,624,10.489741
47,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,heap,46204288,0,0,0,0,0,0,784,10.489794
47,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,1048576,1,64,3600000000000,0,32768,usage,46204288,0,0,0,0,0,0,8388608,10.489835
46,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,write,45167616,169079255,3410206,49536,169079255,195480899,202899456,3604049637265,10.759487
46,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,stack,45167616,0,0,0,0,0,0,3296,10.759555
46,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,ctx,45167616,0,0,0,0,0,0,624,10.759588
46,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,heap,45167616,0,0,0,0,0,0,784,10.759614
46,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,524288,1,64,3600000000000,0,32768,usage,45167616,0,0,0,0,0,0,6291456,10.759637
41,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,write,39781888,424073148,3117684,51816,424073148,206090911,212238336,3600001676077,11.445201
41,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,stack,39781888,0,0,0,0,0,0,3296,11.445269
41,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,ctx,39781888,0,0,0,0,0,0,624,11.445301
41,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,heap,39781888,0,0,0,0,0,0,784,11.445328
41,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,16384,1,64,3600000000000,0,32768,usage,39781888,0,0,0,0,0,0,4308992,11.445352
40,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,write,29135872,707109997,3040891,52248,707109997,206926898,214007808,3600051423678,12.779350
40,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,stack,29135872,0,0,0,0,0,0,3296,12.779423
40,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,ctx,29135872,0,0,0,0,0,0,624,12.787818
40,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,heap,29135872,0,0,0,0,0,0,784,12.787866
40,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,8192,1,64,3600000000000,0,32768,usage,29135872,0,0,0,0,0,0,4169728,12.787899
39,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,write,25533696,727304431,2954328,52999,727304431,208379380,217083904,3600044508788,12.877608
39,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,stack,25533696,0,0,0,0,0,0,3296,12.877656
39,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,ctx,25533696,0,0,0,0,0,0,624,12.877687
39,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,heap,25533696,0,0,0,0,0,0,784,12.877713
39,bench_p26_wt,bench_p26_wt_logging,32,42,0,0,2097152,64,0,134217728,4096,1,64,3600000000000,0,32768,usage,25533696,0,0,0,0,0,0,2912256,12.877736
