i,suite,case,NO_SET,READ_SIZE,CHUNK,SIZE,CRYSTAL_THRESH,SEED,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,NO_FRUNCATE,FS,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,445023808,0,0,0,0,0,0,624,74.977279
16,bench_p26_wt,bench_p26_wt_linear,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,445023808,0,0,0,0,0,0,1296,74.977323
16,bench_p26_wt,bench_p26_wt_linear,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,445023808,0,0,0,0,0,0,1966080,74.977365
17,bench_p26_wt,bench_p26_wt_linear,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,516786752,86358891,5039717,27366,6084917024,2580335104,3586916352,3600003171680,78.138020
17,bench_p26_wt,bench_p26_wt_linear,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,516786752,0,0,0,0,0,0,3328,78.138123
17,bench_p26_wt,bench_p26_wt_linear,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,516786752,0,0,0,0,0,0,624,78.138174
17,bench_p26_wt,bench_p26_wt_linear,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,516786752,0,0,0,0,0,0,1296,78.138219
17,bench_p26_wt,bench_p26_wt_linear,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,516786752,0,0,0,0,0,0,3276800,78.138263
21,bench_p26_wt,bench_p26_wt_linear,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,623546944,57036437,6080892,33021,29202655744,3113416704,4328128512,3600002131456,79.577934
21,bench_p26_wt,bench_p26_wt_linear,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,623546944,0,0,0,0,0,0,3328,79.578034
21,bench_p26_wt,bench_p26_wt_linear,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,623546944,0,0,0,0,0,0,624,79.578082
21,bench_p26_wt,bench_p26_wt_linear,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,623546944,0,0,0,0,0,0,1552,79.578124
21,bench_p26_wt,bench_p26_wt_linear,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,623546944,0,0,0,0,0,0,2752512,79.578163
18,bench_p26_wt,bench_p26_wt_linear,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,558752832,80284950,5448992,29589,8119723840,2789883904,3878289408,3600003164608,80.183728
18,bench_p26_wt,bench_p26_wt_linear,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,558752832,0,0,0,0,0,0,3328,80.183815
18,bench_p26_wt,bench_p26_wt_linear,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,558752832,0,0,0,0,0,0,624,80.183857
18,bench_p26_wt,bench_p26_wt_linear,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,558752832,0,0,0,0,0,0,1296,80.183891
18,bench_p26_wt,bench_p26_wt_linear,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,558752832,0,0,0,0,0,0,3407872,80.183923
19,bench_p26_wt,bench_p26_wt_linear,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,611515968,72223713,5963623,32384,11226770688,3053374976,4244635648,3600009261312,80.531086
19,bench_p26_wt,bench_p26_wt_linear,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,611515968,0,0,0,0,0,0,3328,80.531162
19,bench_p26_wt,bench_p26_wt_linear,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,611515968,0,0,0,0,0,0,624,80.531193
19,bench_p26_wt,bench_p26_wt_linear,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,611515968,0,0,0,0,0,0,1296,80.531219
19,bench_p26_wt,bench_p26_wt_linear,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,611515968,0,0,0,0,0,0,4456448,80.531244
22,bench_p26_wt,bench_p26_wt_linear,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,584382528,46782629,5698599,30948,47905412096,2917682688,4056416256,3600044086784,81.261169
