i,suite,case,NO_SET,READ_SIZE,CHUNK,SIZE,CRYSTAL_THRESH,SEED,DISK_SIZE,SIM_TIME,DISK_GEOMETRY,FILE_COUNT,NO_FRUNCATE,FS,SKIP_WARMUP,FILE_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
40,bench_p26_wt,bench_p26_wt_many,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,11172352,0,0,0,0,0,0,848,205.147903
40,bench_p26_wt,bench_p26_wt_many,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,11172352,0,0,0,0,0,0,1296,205.147960
40,bench_p26_wt,bench_p26_wt_many,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,11172352,0,0,0,0,0,0,34603008,205.148007
41,bench_p26_wt,bench_p26_wt_many,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,12619776,132478541,262599,1079,14417169552,134450688,141426688,3600006744240,216.152887
41,bench_p26_wt,bench_p26_wt_many,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,12619776,0,0,0,0,0,0,3552,216.152994
41,bench_p26_wt,bench_p26_wt_many,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,12619776,0,0,0,0,0,0,848,216.153070
41,bench_p26_wt,bench_p26_wt_many,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,12619776,0,0,0,0,0,0,1296,216.153119
41,bench_p26_wt,bench_p26_wt_many,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,12619776,0,0,0,0,0,0,34603008,216.153166
43,bench_p26_wt,bench_p26_wt_many,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,16328256,127724115,339386,1383,19486436480,173765632,181272576,3600008407424,216.587749
43,bench_p26_wt,bench_p26_wt_many,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,16328256,0,0,0,0,0,0,3552,216.587849
43,bench_p26_wt,bench_p26_wt_many,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,16328256,0,0,0,0,0,0,848,216.587899
43,bench_p26_wt,bench_p26_wt_many,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,16328256,0,0,0,0,0,0,1296,216.587944
43,bench_p26_wt,bench_p26_wt_many,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,16328256,0,0,0,0,0,0,34603008,216.587989
42,bench_p26_wt,bench_p26_wt_many,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,14813312,129491237,308062,1259,17641336448,157727744,165019648,3600005293952,232.713373
42,bench_p26_wt,bench_p26_wt_many,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,14813312,0,0,0,0,0,0,3552,232.713489
42,bench_p26_wt,bench_p26_wt_many,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,14813312,0,0,0,0,0,0,848,232.713542
42,bench_p26_wt,bench_p26_wt_many,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,14813312,0,0,0,0,0,0,1296,232.713587
42,bench_p26_wt,bench_p26_wt_many,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,14813312,0,0,0,0,0,0,34603008,232.713628
45,bench_p26_wt,bench_p26_wt_many,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,17042240,123108466,353958,1438,25259020800,181226496,188481536,3600144112128,242.322959
45,bench_p26_wt,bench_p26_wt_many,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,17042240,0,0,0,0,0,0,3552,242.323060
45,bench_p26_wt,bench_p26_wt_many,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,17042240,0,0,0,0,0,0,848,242.323112
45,bench_p26_wt,bench_p26_wt_many,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,17042240,0,0,0,0,0,0,1296,242.323158
45,bench_p26_wt,bench_p26_wt_many,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,17042240,0,0,0,0,0,0,34603008,242.323203
46,bench_p26_wt,bench_p26_wt_many,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,16895424,119098770,350826,1424,30489285120,179622912,186646528,3600136303104,259.590125
46,bench_p26_wt,bench_p26_wt_many,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,16895424,0,0,0,0,0,0,3552,259.590231
46,bench_p26_wt,bench_p26_wt_many,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,16895424,0,0,0,0,0,0,848,259.590282
46,bench_p26_wt,bench_p26_wt_many,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,16895424,0,0,0,0,0,0,1296,259.590328
46,bench_p26_wt,bench_p26_wt_many,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,16895424,0,0,0,0,0,0,34603008,259.590373
44,bench_p26_wt,bench_p26_wt_many,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,16882816,125855304,350565,1423,21746427328,179489280,186515456,3600000867136,261.122826
44,bench_p26_wt,bench_p26_wt_many,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,16882816,0,0,0,0,0,0,3552,261.122912
44,bench_p26_wt,bench_p26_wt_many,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,16882816,0,0,0,0,0,0,848,261.122954
44,bench_p26_wt,bench_p26_wt_many,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,16882816,0,0,0,0,0,0,1296,261.122991
44,bench_p26_wt,bench_p26_wt_many,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,16882816,0,0,0,0,0,0,34603008,261.123024
47,bench_p26_wt,bench_p26_wt_many,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,19379264,101809451,401973,1623,52126438912,205810176,212729856,3600008114176,275.280661
47,bench_p26_wt,bench_p26_wt_many,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,19379264,0,0,0,0,0,0,3552,275.280746
47,bench_p26_wt,bench_p26_wt_many,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,19379264,0,0,0,0,0,0,848,275.280788
47,bench_p26_wt,bench_p26_wt_many,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,19379264,0,0,0,0,0,0,1552,275.280821
47,bench_p26_wt,bench_p26_wt_many,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,19379264,0,0,0,0,0,0,34603008,275.280851
49,bench_p26_wt,bench_p26_wt_many,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,21474240,54826268,445563,1798,112284196864,228128256,235667456,3600006140416,275.625132
49,bench_p26_wt,bench_p26_wt_many,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,21474240,0,0,0,0,0,0,3552,275.625208
49,bench_p26_wt,bench_p26_wt_many,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,21474240,0,0,0,0,0,0,848,275.625246
49,bench_p26_wt,bench_p26_wt_many,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,21474240,0,0,0,0,0,0,4624,275.625289
49,bench_p26_wt,bench_p26_wt_many,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,21474240,0,0,0,0,0,0,34603008,275.625320
48,bench_p26_wt,bench_p26_wt_many,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,22197824,78963652,460129,1851,80858779648,235586048,242614272,3600008865280,292.826902
48,bench_p26_wt,bench_p26_wt_many,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,22197824,0,0,0,0,0,0,3552,292.826979
48,bench_p26_wt,bench_p26_wt_many,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,22197824,0,0,0,0,0,0,848,292.827014
48,bench_p26_wt,bench_p26_wt_many,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,22197824,0,0,0,0,0,0,2576,292.827043
48,bench_p26_wt,bench_p26_wt_many,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,22197824,0,0,0,0,0,0,34603008,292.827069
50,bench_p26_wt,bench_p26_wt_many,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,14446144,55436938,300515,1230,113534849024,153863680,161218560,3600007483904,122.202039
50,bench_p26_wt,bench_p26_wt_many,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,14446144,0,0,0,0,0,0,3552,122.202112
50,bench_p26_wt,bench_p26_wt_many,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,14446144,0,0,0,0,0,0,848,122.202144
50,bench_p26_wt,bench_p26_wt_many,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,14446144,0,0,0,0,0,0,8720,122.202172
50,bench_p26_wt,bench_p26_wt_many,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,14446144,0,0,0,0,0,0,34603008,122.202196
52,bench_p26_wt,bench_p26_wt_logging,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,14293696,122540153,2026174,8273,2432970512,1037401088,1084358656,3600000971312,65.929325
52,bench_p26_wt,bench_p26_wt_logging,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,14293696,0,0,0,0,0,0,3328,65.929446
52,bench_p26_wt,bench_p26_wt_logging,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,14293696,0,0,0,0,0,0,624,65.929504
52,bench_p26_wt,bench_p26_wt_logging,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,14293696,0,0,0,0,0,0,1296,65.929567
52,bench_p26_wt,bench_p26_wt_logging,0,2,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,14293696,0,0,0,0,0,0,9043968,65.929619
53,bench_p26_wt,bench_p26_wt_logging,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,14890688,121439341,2115141,8636,2604560768,1082952192,1131937792,3600015727232,67.142933
53,bench_p26_wt,bench_p26_wt_logging,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,14890688,0,0,0,0,0,0,3328,67.143040
53,bench_p26_wt,bench_p26_wt_logging,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,14890688,0,0,0,0,0,0,624,67.143116
53,bench_p26_wt,bench_p26_wt_logging,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,14890688,0,0,0,0,0,0,1296,67.143166
53,bench_p26_wt,bench_p26_wt_logging,0,4,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,14890688,0,0,0,0,0,0,9175040,67.143215
54,bench_p26_wt,bench_p26_wt_logging,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,18049664,115697274,2586229,10556,3397119552,1324149248,1383596032,3600019086528,71.784766
54,bench_p26_wt,bench_p26_wt_logging,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,18049664,0,0,0,0,0,0,3328,71.784882
54,bench_p26_wt,bench_p26_wt_logging,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,18049664,0,0,0,0,0,0,624,71.784938
54,bench_p26_wt,bench_p26_wt_logging,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,18049664,0,0,0,0,0,0,1296,71.784989
54,bench_p26_wt,bench_p26_wt_logging,0,8,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,18049664,0,0,0,0,0,0,9175040,71.785051
51,bench_p26_wt,bench_p26_wt_logging,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,21401152,110040039,3085959,12592,3675604593,1580011008,1650458624,3600002946147,72.625393
51,bench_p26_wt,bench_p26_wt_logging,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,21401152,0,0,0,0,0,0,3328,72.625496
51,bench_p26_wt,bench_p26_wt_logging,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,21401152,0,0,0,0,0,0,624,72.625558
51,bench_p26_wt,bench_p26_wt_logging,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,21401152,0,0,0,0,0,0,1296,72.625603
51,bench_p26_wt,bench_p26_wt_logging,0,1,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,21401152,0,0,0,0,0,0,9175040,72.625646
55,bench_p26_wt,bench_p26_wt_logging,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,23963840,104956983,3467967,14148,4872490816,1775599104,1854406656,3600044985280,81.713790
55,bench_p26_wt,bench_p26_wt_logging,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,23963840,0,0,0,0,0,0,3328,81.713902
55,bench_p26_wt,bench_p26_wt_logging,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,23963840,0,0,0,0,0,0,624,81.713958
55,bench_p26_wt,bench_p26_wt_logging,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,23963840,0,0,0,0,0,0,1296,81.714008
55,bench_p26_wt,bench_p26_wt_logging,0,16,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,23963840,0,0,0,0,0,0,9043968,81.714056
62,bench_p26_wt,bench_p26_wt_logging,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,31252544,37505990,4554592,18577,76812267520,2331951104,2434924544,3600003371008,85.467119
62,bench_p26_wt,bench_p26_wt_logging,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,31252544,0,0,0,0,0,0,3328,85.467223
62,bench_p26_wt,bench_p26_wt_logging,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,31252544,0,0,0,0,0,0,624,85.467278
62,bench_p26_wt,bench_p26_wt_logging,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,31252544,0,0,0,0,0,0,4624,85.467327
62,bench_p26_wt,bench_p26_wt_logging,0,2048,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,31252544,0,0,0,0,0,0,9175040,85.467372
58,bench_p26_wt,bench_p26_wt_logging,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,33500288,83275079,4889921,19944,12892957184,2503639552,2614099968,3600091280384,85.916141
58,bench_p26_wt,bench_p26_wt_logging,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,33500288,0,0,0,0,0,0,3328,85.916244
58,bench_p26_wt,bench_p26_wt_logging,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,33500288,0,0,0,0,0,0,624,85.916298
58,bench_p26_wt,bench_p26_wt_logging,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,33500288,0,0,0,0,0,0,1296,85.916345
58,bench_p26_wt,bench_p26_wt_logging,0,128,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,33500288,0,0,0,0,0,0,9043968,85.916390
56,bench_p26_wt,bench_p26_wt_logging,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,28191424,96785385,4098312,16718,6562837440,2098335744,2191261696,3600016680768,86.586088
56,bench_p26_wt,bench_p26_wt_logging,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,28191424,0,0,0,0,0,0,3328,86.586195
56,bench_p26_wt,bench_p26_wt_logging,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,28191424,0,0,0,0,0,0,624,86.586249
56,bench_p26_wt,bench_p26_wt_logging,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,28191424,0,0,0,0,0,0,1296,86.586304
56,bench_p26_wt,bench_p26_wt_logging,0,32,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,28191424,0,0,0,0,0,0,9175040,86.586350
57,bench_p26_wt,bench_p26_wt_logging,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,30669760,90836367,4467626,18223,9058773952,2287424512,2388525056,3600063363904,87.712658
57,bench_p26_wt,bench_p26_wt_logging,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,30669760,0,0,0,0,0,0,3328,87.712759
57,bench_p26_wt,bench_p26_wt_logging,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,30669760,0,0,0,0,0,0,624,87.712810
57,bench_p26_wt,bench_p26_wt_logging,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,30669760,0,0,0,0,0,0,1296,87.712853
57,bench_p26_wt,bench_p26_wt_logging,0,64,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,30669760,0,0,0,0,0,0,9175040,87.712895
60,bench_p26_wt,bench_p26_wt_logging,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,35877504,64034191,5244254,21388,32785505792,2685058048,2803367936,3600003837440,87.721228
60,bench_p26_wt,bench_p26_wt_logging,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,35877504,0,0,0,0,0,0,3328,87.721313
60,bench_p26_wt,bench_p26_wt_logging,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,35877504,0,0,0,0,0,0,624,87.721358
60,bench_p26_wt,bench_p26_wt_logging,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,35877504,0,0,0,0,0,0,1552,87.721394
60,bench_p26_wt,bench_p26_wt_logging,0,512,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,35877504,0,0,0,0,0,0,9175040,87.721429
59,bench_p26_wt,bench_p26_wt_logging,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,34660800,76262964,5063013,20650,19523318784,2592262656,2706636800,3600058378752,89.525943
59,bench_p26_wt,bench_p26_wt_logging,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,34660800,0,0,0,0,0,0,3328,89.526026
59,bench_p26_wt,bench_p26_wt_logging,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,34660800,0,0,0,0,0,0,624,89.526065
59,bench_p26_wt,bench_p26_wt_logging,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,34660800,0,0,0,0,0,0,1296,89.526098
59,bench_p26_wt,bench_p26_wt_logging,0,256,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,34660800,0,0,0,0,0,0,9175040,89.526128
61,bench_p26_wt,bench_p26_wt_logging,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,34057728,51538420,4972817,20282,52775342080,2546082304,2658402304,3600079472128,90.275725
61,bench_p26_wt,bench_p26_wt_logging,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,34057728,0,0,0,0,0,0,3328,90.275799
61,bench_p26_wt,bench_p26_wt_logging,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,34057728,0,0,0,0,0,0,624,90.275834
61,bench_p26_wt,bench_p26_wt_logging,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,34057728,0,0,0,0,0,0,2576,90.275864
61,bench_p26_wt,bench_p26_wt_logging,0,1024,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,34057728,0,0,0,0,0,0,9175040,90.275891
63,bench_p26_wt,bench_p26_wt_logging,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,write,21690240,43515912,3129029,12767,89120587776,1602062848,1673396224,3600085028352,34.238541
63,bench_p26_wt,bench_p26_wt_logging,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,stack,21690240,0,0,0,0,0,0,3328,34.238612
63,bench_p26_wt,bench_p26_wt_logging,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,ctx,21690240,0,0,0,0,0,0,624,34.238644
63,bench_p26_wt,bench_p26_wt_logging,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,heap,21690240,0,0,0,0,0,0,8720,34.238670
63,bench_p26_wt,bench_p26_wt_logging,0,4096,64,2097152,-1,42,134217728,3600000000000,1,32768,0,31,0,64,0,usage,21690240,0,0,0,0,0,0,9175040,34.238693
