i,suite,case,FS,NO_FRUNCATE,FILE_COUNT,SIM_TIME,SKIP_WARMUP,CHUNK,BLOCK_SIZE,SEED,NO_SET,DISK_SIZE,SIM_SIZE,SIZE,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,heap,2804949568,0,0,0,0,0,0,1296,67.419845
13,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,usage,2804949568,0,0,0,0,0,0,1122304,67.419878
17,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,78.594714
17,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,stack,4630589504,0,0,0,0,0,0,3312,78.594798
17,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,ctx,4630589504,0,0,0,0,0,0,624,78.594836
17,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,heap,4630589504,0,0,0,0,0,0,1296,78.594868
17,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,usage,4630589504,0,0,0,0,0,0,786432,78.594898
20,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,write,4559310912,29765446,10645801,41608,1224287858,5450650112,5453643776,3600061333622,79.235381
20,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,stack,4559310912,0,0,0,0,0,0,3232,79.235458
20,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,ctx,4559310912,0,0,0,0,0,0,624,79.235491
20,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,heap,4559310912,0,0,0,0,0,0,1296,79.235519
20,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,usage,4559310912,0,0,0,0,0,0,6291456,79.235545
18,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,write,4630524992,28469303,10767963,42074,1180478947,5513197056,5514723328,3600002447833,81.206215
18,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,stack,4630524992,0,0,0,0,0,0,3280,81.206284
18,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,ctx,4630524992,0,0,0,0,0,0,624,81.206315
18,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,heap,4630524992,0,0,0,0,0,0,1296,81.206341
18,bench_p26_wt,bench_p26_wt_linear,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,usage,4630524992,0,0,0,0,0,0,1310720,81.206364
26,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,write,13076096,111871247,2948980,13361,3107402239,1509877760,1751252992,3600165228013,26.374305
26,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,stack,13076096,0,0,0,0,0,0,3120,26.374416
26,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,ctx,13076096,0,0,0,0,0,0,608,26.374478
26,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,heap,13076096,0,0,0,0,0,0,1296,26.374523
26,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,131072,42,0,134217728,0,2097152,1,64,usage,13076096,0,0,0,0,0,0,5373952,26.374564
24,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,write,13907392,115703933,2605744,44620,3069889331,1334140928,1462108160,3600208827593,26.751146
24,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,stack,13907392,0,0,0,0,0,0,3200,26.751260
24,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,ctx,13907392,0,0,0,0,0,0,608,26.751314
24,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,heap,13907392,0,0,0,0,0,0,1296,26.751362
24,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,32768,42,0,134217728,0,2097152,1,64,usage,13907392,0,0,0,0,0,0,4325376,26.751406
22,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,write,6129600,132208319,1151685,79563,2225510213,589662720,651780096,3600172042271,30.127265
22,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,stack,6129600,0,0,0,0,0,0,3296,30.127369
22,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,ctx,6129600,0,0,0,0,0,0,608,30.127420
22,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,heap,6129600,0,0,0,0,0,0,1296,30.127465
22,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,8192,42,0,134217728,0,2097152,1,64,usage,6129600,0,0,0,0,0,0,4489216,30.127509
29,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,write,22199488,82109368,5382661,59720,3575569445,2755922432,7827619840,3600522618047,33.433755
29,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,stack,22199488,0,0,0,0,0,0,3312,33.433854
29,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,ctx,22199488,0,0,0,0,0,0,608,33.433902
29,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,heap,22199488,0,0,0,0,0,0,1296,33.433944
29,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,1048576,42,0,134217728,0,2097152,1,64,usage,22199488,0,0,0,0,0,0,19922944,33.433987
21,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,write,6404480,128756221,1447661,207419,2484405099,741202432,849588224,3600050040561,34.873959
21,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,stack,6404480,0,0,0,0,0,0,3296,34.874056
21,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,ctx,6404480,0,0,0,0,0,0,608,34.874104
21,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,heap,6404480,0,0,0,0,0,0,1296,34.874147
21,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,4096,42,0,134217728,0,2097152,1,64,usage,6404480,0,0,0,0,0,0,5234688,34.874187
23,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,write,12106368,121107193,2128087,73288,2810778510,1089580544,1200750592,3600163761546,34.999992
23,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,stack,12106368,0,0,0,0,0,0,3296,35.000079
23,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,ctx,12106368,0,0,0,0,0,0,608,35.000122
23,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,heap,12106368,0,0,0,0,0,0,1296,35.000162
23,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,16384,42,0,134217728,0,2097152,1,64,usage,12106368,0,0,0,0,0,0,4259840,35.000200
27,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,write,17971584,103021635,3744568,19928,3022676829,1917218816,2612002816,3600500543463,35.856958
27,bench_p26_wt,bench_p26_wt_random,32,1,32768,3600000000000,0,64,262144,42,0,134217728,0,2097152,1,64,stack,17971584,0,0,0,0,0,0,3280,35.857042
