i,suite,case,NO_SET,SEED,FS,CHUNK,NO_FRUNCATE,SIM_SIZE,SKIP_WARMUP,FILE_SIZE,READ_SIZE,SIZE,DISK_GEOMETRY,FILE_COUNT,SIM_TIME,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,128,2097152,0,32768,3600000000000,134217728,usage,257671488,0,0,0,0,0,0,1908736,9.942085
17,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,write,258429248,185571520,1198774,69062,185571520,276162569,282877952,3600030173355,9.965883
17,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,stack,258429248,0,0,0,0,0,0,3312,9.965971
17,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,ctx,258429248,0,0,0,0,0,0,624,9.966030
17,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,heap,258429248,0,0,0,0,0,0,784,9.966083
17,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,usage,258429248,0,0,0,0,0,0,524288,9.966137
12,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,10.073585
12,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,stack,258715968,0,0,0,0,0,0,3312,10.073687
12,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,ctx,258715968,0,0,0,0,0,0,624,10.073739
12,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,heap,258715968,0,0,0,0,0,0,784,10.073782
12,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,1,2097152,0,32768,3600000000000,134217728,usage,258715968,0,0,0,0,0,0,823296,10.073823
16,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,write,258556224,141691680,1199365,69096,141691680,276298346,283017216,3600043989470,10.096515
16,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,stack,258556224,0,0,0,0,0,0,3312,10.096618
16,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,ctx,258556224,0,0,0,0,0,0,624,10.096664
16,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,heap,258556224,0,0,0,0,0,0,784,10.096700
16,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,16,2097152,0,32768,3600000000000,134217728,usage,258556224,0,0,0,0,0,0,655360,10.096734
15,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,write,258617664,119713736,1199656,69114,119713736,276365352,283090944,3600092557880,10.316871
15,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,stack,258617664,0,0,0,0,0,0,3312,10.317019
15,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,ctx,258617664,0,0,0,0,0,0,624,10.317061
15,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,heap,258617664,0,0,0,0,0,0,784,10.317095
15,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,8,2097152,0,32768,3600000000000,134217728,usage,258617664,0,0,0,0,0,0,720896,10.317127
13,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,write,258679104,98677360,1199938,69129,98677360,276429934,283152384,3600040145834,10.393423
13,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,stack,258679104,0,0,0,0,0,0,3312,10.393523
13,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,ctx,258679104,0,0,0,0,0,0,624,10.393582
13,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,heap,258679104,0,0,0,0,0,0,784,10.393617
13,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,2,2097152,0,32768,3600000000000,134217728,usage,258679104,0,0,0,0,0,0,782336,10.393649
14,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,write,258654528,106412512,1199826,69123,106412512,276404100,283127808,3600034254796,10.445052
14,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,stack,258654528,0,0,0,0,0,0,3312,10.445113
14,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,ctx,258654528,0,0,0,0,0,0,624,10.445148
14,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,heap,258654528,0,0,0,0,0,0,784,10.445177
14,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4,2097152,0,32768,3600000000000,134217728,usage,258654528,0,0,0,0,0,0,757760,10.445203
24,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,write,255320128,1481367552,1180817,68073,1481367552,272216678,278827008,3600098273426,3.751893
24,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,stack,255320128,0,0,0,0,0,0,3312,3.751962
24,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,ctx,255320128,0,0,0,0,0,0,624,3.751993
24,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,heap,255320128,0,0,0,0,0,0,8464,3.752019
24,bench_p26_wt,bench_p26_wt_linear,1,42,33,64,0,0,0,64,4096,2097152,0,32768,3600000000000,134217728,usage,255320128,0,0,0,0,0,0,1634304,3.752043
36,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,write,6217664,19154352128,1602939,48651,19154352128,173574690,199274496,3600082393478,14.622053
36,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,stack,6217664,0,0,0,0,0,0,3296,14.622198
36,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,ctx,6217664,0,0,0,0,0,0,608,14.622263
36,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,heap,6217664,0,0,0,0,0,0,4368,14.622319
36,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,2048,2097152,0,32768,3600000000000,134217728,usage,6217664,0,0,0,0,0,0,4780032,14.622374
35,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,write,6631232,14427185152,1711901,51878,14427185152,185310241,212492288,3600028099955,15.782457
35,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,stack,6631232,0,0,0,0,0,0,3296,15.782573
35,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,ctx,6631232,0,0,0,0,0,0,608,15.782635
35,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,heap,6631232,0,0,0,0,0,0,2320,15.782691
35,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,1024,2097152,0,32768,3600000000000,134217728,usage,6631232,0,0,0,0,0,0,4759552,15.782744
34,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,write,7017600,9941312512,1815211,54947,9941312512,196484436,225062912,3600243603004,16.839266
34,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,stack,7017600,0,0,0,0,0,0,3296,16.839375
34,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,ctx,7017600,0,0,0,0,0,0,608,16.839438
34,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,heap,7017600,0,0,0,0,0,0,1296,16.839492
34,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,512,2097152,0,32768,3600000000000,134217728,usage,7017600,0,0,0,0,0,0,4849664,16.839558
33,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,write,7321984,6443467520,1895374,57335,6443467520,205133604,234844160,3600026388908,17.388387
33,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,stack,7321984,0,0,0,0,0,0,3296,17.388500
33,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,ctx,7321984,0,0,0,0,0,0,608,17.388572
33,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,heap,7321984,0,0,0,0,0,0,784,17.388623
33,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,256,2097152,0,32768,3600000000000,134217728,usage,7321984,0,0,0,0,0,0,4820992,17.388672
30,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,write,7726912,1714593184,2004012,60569,1714593184,216896441,248090624,3600089668539,17.587625
30,bench_p26_wt,bench_p26_wt_random,1,42,33,64,0,0,0,64,32,2097152,0,32768,3600000000000,134217728,stack,7726912,0,0,0,0,0,0,3296,17.587734
