i,suite,case,SKIP_WARMUP,SIM_SIZE,SIZE,BLOCK_SIZE,CHUNK,DISK_SIZE,FILE_SIZE,FILE_COUNT,SEED,FS,NO_FRUNCATE,DISK_GEOMETRY,SIM_TIME,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
39,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,10235008,0,0,0,0,0,0,3280,30.752847
39,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,10235008,0,0,0,0,0,0,624,30.752903
39,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,10235008,0,0,0,0,0,0,1296,30.752950
39,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,4096,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,10235008,0,0,0,0,0,0,2318336,30.753006
42,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,39210944,115504732,2663335,41624,2607337565,1363627520,1363935232,3600001888487,33.174570
42,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,39210944,0,0,0,0,0,0,3296,33.174674
42,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,39210944,0,0,0,0,0,0,624,33.174725
42,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,39210944,0,0,0,0,0,0,1296,33.174787
42,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,39210944,0,0,0,0,0,0,2326528,33.174832
44,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,77765696,89054040,5026102,19640,3584196252,2573364224,2574254080,3600001288596,36.044345
44,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,77765696,0,0,0,0,0,0,3296,36.044458
44,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,77765696,0,0,0,0,0,0,624,36.044509
44,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,77765696,0,0,0,0,0,0,1296,36.044554
44,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,131072,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,77765696,0,0,0,0,0,0,3014656,36.044597
43,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,64145920,98416418,4189956,32744,3236168469,2145257472,2145910784,3600003289743,43.612488
43,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,64145920,0,0,0,0,0,0,3296,43.612586
43,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,64145920,0,0,0,0,0,0,624,43.612638
43,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,64145920,0,0,0,0,0,0,1296,43.612676
43,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,64145920,0,0,0,0,0,0,2555904,43.612714
45,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,82605504,85376695,5354263,20920,3724891249,2741382656,2742026240,3600001990243,45.783212
45,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,82605504,0,0,0,0,0,0,3296,45.783293
45,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,82605504,0,0,0,0,0,0,624,45.783330
45,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,82605504,0,0,0,0,0,0,1296,45.783360
45,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,82605504,0,0,0,0,0,0,3670016,45.783388
46,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,91115904,79341174,5893806,23028,3942079549,3017628672,3018326016,3600000830599,46.759003
46,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,91115904,0,0,0,0,0,0,3296,46.759077
46,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,91115904,0,0,0,0,0,0,624,46.759111
46,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,91115904,0,0,0,0,0,0,1296,46.759141
46,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,524288,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,91115904,0,0,0,0,0,0,5242880,46.759166
47,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,99873728,73238134,6439381,25168,4161031377,3296963072,3298820096,3600002556291,48.656240
47,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,99873728,0,0,0,0,0,0,3296,48.656312
47,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,99873728,0,0,0,0,0,0,624,48.656342
47,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,99873728,0,0,0,0,0,0,1296,48.656366
47,bench_p26_wt,bench_p26_wt_logging,0,0,2097152,1048576,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,99873728,0,0,0,0,0,0,9437184,48.656390
