i,suite,case,SKIP_WARMUP,SIM_SIZE,SIZE,BLOCK_SIZE,CHUNK,DISK_SIZE,FILE_SIZE,FILE_COUNT,SEED,FS,NO_FRUNCATE,DISK_GEOMETRY,SIM_TIME,NO_SET,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,3687580224,0,0,0,0,0,0,1296,69.137302
15,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,32768,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,3687580224,0,0,0,0,0,0,950272,69.137339
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4441966656,34471915,10218758,79883,1140304523,5232004096,5235212288,3600001829969,74.819676
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4441966656,0,0,0,0,0,0,3312,74.819757
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4441966656,0,0,0,0,0,0,624,74.819795
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4441966656,0,0,0,0,0,0,1296,74.819828
16,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,65536,64,134217728,64,32768,42,33,0,1,3600000000000,1,usage,4441966656,0,0,0,0,0,0,524288,74.819858
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,write,4630524992,28469303,10767963,42074,1180478947,5513197056,5514723328,3600002447833,79.256836
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,stack,4630524992,0,0,0,0,0,0,3280,79.256914
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,ctx,4630524992,0,0,0,0,0,0,624,79.256948
18,bench_p26_wt,bench_p26_wt_linear,0,0,2097152,262144,64,134217728,64,32768,42,33,0,1,3600000000000,1,heap,4630524992,0,0,0,0,0,0,1296,79.256976
