i,suite,case,SIM_SIZE,NO_FRUNCATE,SKIP_WARMUP,NO_SET,FILE_COUNT,SEED,DISK_SIZE,FS,PROG_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,64,64,0,3600000000000,2097152,64,usage,256647488,0,0,0,0,0,0,843776,10.128263
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,write,260297024,95184791,1190287,69218,95184791,276528784,283516928,3600045566280,10.241221
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,stack,260297024,0,0,0,0,0,0,3168,10.241317
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,ctx,260297024,0,0,0,0,0,0,528,10.241367
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,heap,260297024,0,0,0,0,0,0,784,10.241410
16,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,16,64,0,3600000000000,2097152,64,usage,260297024,0,0,0,0,0,0,278528,10.241452
19,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,write,256880960,109044223,1141755,69636,109044223,277230080,285229056,3600003694296,10.313649
19,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,stack,256880960,0,0,0,0,0,0,3168,10.313743
19,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,ctx,256880960,0,0,0,0,0,0,528,10.313793
19,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,heap,256880960,0,0,0,0,0,0,784,10.313837
19,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,128,64,0,3600000000000,2097152,64,usage,256880960,0,0,0,0,0,0,1085440,10.313878
20,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,write,241021248,176812866,1090102,70035,176812866,279066112,286863360,3600035976784,10.611541
20,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,stack,241021248,0,0,0,0,0,0,3168,10.611635
20,bench_p26_wt,bench_p26_wt_linear,0,0,0,0,32768,42,134217728,30,256,64,0,3600000000000,2097152,64,ctx,241021248,0,0,0,0,0,0,528,10.611681
