i,suite,case,FILE_SIZE,SIZE,SIM_TIME,FILE_COUNT,SIM_SIZE,NO_SET,NO_FRUNCATE,DISK_SIZE,SEED,SKIP_WARMUP,DISK_GEOMETRY,READ_SIZE,CHUNK,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,heap,5051386944,0,0,0,0,0,0,1296,96.728885
20,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,256,64,3,usage,5051386944,0,0,0,0,0,0,2097152,96.728926
16,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,write,4524879936,31402412,10483351,40963,1390490240,5367475712,5369102336,3600011712896,97.527364
16,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,stack,4524879936,0,0,0,0,0,0,3312,97.527461
16,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,ctx,4524879936,0,0,0,0,0,0,624,97.527508
16,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,heap,4524879936,0,0,0,0,0,0,1296,97.527552
16,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,16,64,3,usage,4524879936,0,0,0,0,0,0,2097152,97.527592
19,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,write,5079083072,16504867,11767333,45979,2598714112,6024874496,6026559488,3600008941312,100.762426
19,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,stack,5079083072,0,0,0,0,0,0,3312,100.762535
19,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,ctx,5079083072,0,0,0,0,0,0,624,100.770825
19,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,heap,5079083072,0,0,0,0,0,0,1296,100.770877
19,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,128,64,3,usage,5079083072,0,0,0,0,0,0,2621440,100.770919
17,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,write,4834992192,23398826,11201832,43770,1636439456,5735337984,5737021440,3600013576928,100.794715
17,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,stack,4834992192,0,0,0,0,0,0,3312,100.794783
17,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,ctx,4834992192,0,0,0,0,0,0,624,100.794825
17,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,heap,4834992192,0,0,0,0,0,0,1296,100.794859
17,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,32,64,3,usage,4834992192,0,0,0,0,0,0,1835008,100.794891
21,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,write,5035505216,14050727,11666326,45584,7193972224,5973158912,5974786048,3600009498112,102.736717
21,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,stack,5035505216,0,0,0,0,0,0,3312,102.736803
21,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,ctx,5035505216,0,0,0,0,0,0,624,102.736842
21,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,heap,5035505216,0,0,0,0,0,0,1552,102.736875
21,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,512,64,3,usage,5035505216,0,0,0,0,0,0,917504,102.736906
22,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,write,7527203904,16638009,10276059,67309,17037321216,8817284096,8822325248,3600003086336,125.087790
22,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,stack,7527203904,0,0,0,0,0,0,3280,125.087881
22,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,ctx,7527203904,0,0,0,0,0,0,624,125.087932
22,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,heap,7527203904,0,0,0,0,0,0,2576,125.087964
22,bench_p26_wt,bench_p26_wt_linear,64,2097152,3600000000000,32768,0,0,0,134217728,42,0,1,1024,64,3,usage,7527203904,0,0,0,0,0,0,1179648,125.087995
