i,suite,case,SKIP_WARMUP,CHUNK,FS,SEED,SIM_TIME,SIM_SIZE,FILE_SIZE,FILE_COUNT,SIZE,PROG_SIZE,NO_FRUNCATE,DISK_GEOMETRY,NO_SET,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,heap,3168042176,0,0,0,0,0,0,784,51.413617
16,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,16,0,1,0,134217728,usage,3168042176,0,0,0,0,0,0,1703936,51.413664
19,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,128,0,1,0,134217728,write,3196325376,12515849,12487173,25911,3196792720,3196520832,3396206592,3600000658480,51.440650
19,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,128,0,1,0,134217728,stack,3196325376,0,0,0,0,0,0,1856,51.440733
19,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,128,0,1,0,134217728,ctx,3196325376,0,0,0,0,0,0,400,51.440785
19,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,128,0,1,0,134217728,heap,3196325376,0,0,0,0,0,0,784,51.440829
19,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,128,0,1,0,134217728,usage,3196325376,0,0,0,0,0,0,655360,51.440873
13,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,write,3167761408,13699151,12375581,25679,3186277686,3167948784,3365797888,3600000772562,51.502391
13,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,stack,3167761408,0,0,0,0,0,0,1536,51.502486
13,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,ctx,3167761408,0,0,0,0,0,0,400,51.502543
13,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,heap,3167761408,0,0,0,0,0,0,784,51.502595
13,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2,0,1,0,134217728,usage,3167761408,0,0,0,0,0,0,1441792,51.502642
20,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,256,0,1,0,134217728,write,3196309760,12516194,12487112,25910,3197076496,3196700672,3396075520,3600000738608,51.541428
20,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,256,0,1,0,134217728,stack,3196309760,0,0,0,0,0,0,1856,51.541520
20,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,256,0,1,0,134217728,ctx,3196309760,0,0,0,0,0,0,400,51.541566
20,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,256,0,1,0,134217728,heap,3196309760,0,0,0,0,0,0,784,51.541603
20,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,256,0,1,0,134217728,usage,3196309760,0,0,0,0,0,0,524288,51.541662
21,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,512,0,1,0,134217728,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,68.831732
21,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,512,0,1,0,134217728,stack,6098520064,0,0,0,0,0,0,1856,68.831830
21,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,512,0,1,0,134217728,ctx,6098520064,0,0,0,0,0,0,400,68.831874
21,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,512,0,1,0,134217728,heap,6098520064,0,0,0,0,0,0,1552,68.831910
21,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,512,0,1,0,134217728,usage,6098520064,0,0,0,0,0,0,393216,68.831944
22,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1024,0,1,0,134217728,write,11169006528,11015651,10912561,90538,11178498220,11174462464,11866996736,3600000684228,99.086562
22,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1024,0,1,0,134217728,stack,11169006528,0,0,0,0,0,0,1856,99.086651
22,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1024,0,1,0,134217728,ctx,11169006528,0,0,0,0,0,0,400,99.086702
22,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1024,0,1,0,134217728,heap,11169006528,0,0,0,0,0,0,3088,99.086736
22,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,1024,0,1,0,134217728,usage,11169006528,0,0,0,0,0,0,1966080,99.086767
23,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2048,0,1,0,134217728,write,19112552384,9527543,9341416,154931,19144359960,19131219968,20307116032,3600000491976,139.880701
23,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2048,0,1,0,134217728,stack,19112552384,0,0,0,0,0,0,1856,139.880788
23,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2048,0,1,0,134217728,ctx,19112552384,0,0,0,0,0,0,400,139.880824
23,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2048,0,1,0,134217728,heap,19112552384,0,0,0,0,0,0,6160,139.880853
23,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,2048,0,1,0,134217728,usage,19112552384,0,0,0,0,0,0,1572864,139.880882
24,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,4096,0,1,0,134217728,write,19091906496,9544541,9340432,154763,19154795124,19129204736,20285095936,3600002053788,109.092990
24,bench_p26_wt,bench_p26_wt_linear,0,64,2,42,3600000000000,0,64,32768,2097152,4096,0,1,0,134217728,stack,19091906496,0,0,0,0,0,0,1856,109.093103
