i,suite,case,SIZE,SKIP_WARMUP,CHUNK,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,DISK_SIZE,NO_SET,FILE_COUNT,SIM_SIZE,SIM_TIME,FILE_SIZE,SEED,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,1,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,258715968,0,0,0,0,0,0,823296,9.166548
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,255111488,91008827,1170128,69401,91008827,276523968,284266496,3600047009912,9.259098
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,255111488,0,0,0,0,0,0,3312,9.259195
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,255111488,0,0,0,0,0,0,624,9.259245
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,255111488,0,0,0,0,0,0,784,9.259288
18,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,64,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,255111488,0,0,0,0,0,0,1429504,9.259332
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,254628160,98973297,1138754,69672,98973297,277204736,285376512,3600019543208,9.377899
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,254628160,0,0,0,0,0,0,3312,9.377992
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,254628160,0,0,0,0,0,0,624,9.378041
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,254628160,0,0,0,0,0,0,784,9.378084
19,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,128,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,254628160,0,0,0,0,0,0,929792,9.378124
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,240173376,167213771,1090194,70046,167213771,279089664,286908416,3600184257464,9.808825
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,240173376,0,0,0,0,0,0,3264,9.808914
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,240173376,0,0,0,0,0,0,624,9.808956
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,heap,240173376,0,0,0,0,0,0,784,9.808992
20,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,256,0,0,134217728,0,32768,0,3600000000000,64,42,3,usage,240173376,0,0,0,0,0,0,1171456,9.809025
21,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,write,209854016,237698130,1077900,70091,237698130,275942400,287092736,3600049599696,10.087831
21,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,stack,209854016,0,0,0,0,0,0,3312,10.087918
21,bench_p26_wt,bench_p26_wt_linear,2097152,0,64,512,0,0,134217728,0,32768,0,3600000000000,64,42,3,ctx,209854016,0,0,0,0,0,0,624,10.087962
