i,suite,case,NO_FRUNCATE,CHUNK,DISK_GEOMETRY,SKIP_WARMUP,CRYSTAL_THRESH,SIZE,NO_SET,FILE_COUNT,SEED,SIM_SIZE,PROG_SIZE,FS,SIM_TIME,FILE_SIZE,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,ctx,225093184,0,0,0,0,0,0,624,56.681620
18,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,heap,225093184,0,0,0,0,0,0,784,56.681669
18,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,64,31,3600000000000,64,134217728,usage,225093184,0,0,0,0,0,0,2883584,56.681715
17,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,write,223311424,82915209,5908751,11873,2207600906,1087062272,1556217856,3600002934462,56.774806
17,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,stack,223311424,0,0,0,0,0,0,3328,56.774912
17,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,ctx,223311424,0,0,0,0,0,0,624,56.774968
17,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,heap,223311424,0,0,0,0,0,0,784,56.775019
17,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,32,31,3600000000000,64,134217728,usage,223311424,0,0,0,0,0,0,3801088,56.775068
19,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,write,222019904,84531638,5722283,12495,2444213368,1148224512,1637744640,3600018766056,58.459130
19,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,stack,222019904,0,0,0,0,0,0,3328,58.459234
19,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,ctx,222019904,0,0,0,0,0,0,624,58.459290
19,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,heap,222019904,0,0,0,0,0,0,784,58.459338
19,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,128,31,3600000000000,64,134217728,usage,222019904,0,0,0,0,0,0,6553600,58.459383
20,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,256,31,3600000000000,64,134217728,write,214147392,86216768,5470769,15501,3007994485,1400516864,2031747072,3600005671343,62.111765
20,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,256,31,3600000000000,64,134217728,stack,214147392,0,0,0,0,0,0,3328,62.111871
20,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,256,31,3600000000000,64,134217728,ctx,214147392,0,0,0,0,0,0,624,62.111921
20,bench_p26_wt,bench_p26_wt_linear,0,64,1,0,-1,2097152,0,32768,42,0,256,31,3600000000000,64,134217728,heap,214147392,0,0,0,0,0,0,784,62.111965
