i,suite,case,FILE_SIZE,SIM_SIZE,CHUNK,SIM_TIME,SEED,DISK_SIZE,NO_SET,BLOCK_SIZE,CRYSTAL_THRESH,NO_FRUNCATE,SIZE,DISK_GEOMETRY,SKIP_WARMUP,FILE_COUNT,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,ctx,43175488,0,0,0,0,0,0,624,17.848095
19,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,heap,43175488,0,0,0,0,0,0,784,17.848130
19,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,524288,-1,0,2097152,0,0,32768,31,usage,43175488,0,0,0,0,0,0,5242880,17.848162
17,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,write,40437568,388451620,1441546,66816,388451620,190695384,273678336,3602594394280,17.945510
17,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,stack,40437568,0,0,0,0,0,0,3328,17.945590
17,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,ctx,40437568,0,0,0,0,0,0,624,17.945637
17,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,heap,40437568,0,0,0,0,0,0,784,17.945674
17,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,131072,-1,0,2097152,0,0,32768,31,usage,40437568,0,0,0,0,0,0,2490368,17.945712
18,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,write,40585024,394519257,1428962,66880,394519257,188260429,273940480,3600635538847,18.530457
18,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,stack,40585024,0,0,0,0,0,0,3328,18.530536
18,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,ctx,40585024,0,0,0,0,0,0,624,18.530571
18,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,heap,40585024,0,0,0,0,0,0,784,18.530600
18,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,262144,-1,0,2097152,0,0,32768,31,usage,40585024,0,0,0,0,0,0,3670016,18.530625
20,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,write,45564480,404316112,1462377,66560,404316112,188497857,272629760,3600002631379,18.592057
20,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,stack,45564480,0,0,0,0,0,0,3328,18.592113
20,bench_p26_wt,bench_p26_wt_linear,64,0,64,3600000000000,42,134217728,0,1048576,-1,0,2097152,0,0,32768,31,ctx,45564480,0,0,0,0,0,0,624,18.592144
