i,suite,case,SEED,DISK_SIZE,NO_FRUNCATE,SIM_TIME,DISK_GEOMETRY,FS,FILE_SIZE,CHUNK,READ_SIZE,NO_SET,FILE_COUNT,SKIP_WARMUP,SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,heap,6098617344,0,0,0,0,0,0,1552,90.707438
16,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,16,0,32768,0,2097152,0,usage,6098617344,0,0,0,0,0,0,393216,90.707482
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,write,6098694656,11965299,11914424,49438,6102559008,6100185088,6479937536,3600000712032,91.361185
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,stack,6098694656,0,0,0,0,0,0,1856,91.361284
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,ctx,6098694656,0,0,0,0,0,0,400,91.361329
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,heap,6098694656,0,0,0,0,0,0,1552,91.361368
17,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,32,0,32768,0,2097152,0,usage,6098694656,0,0,0,0,0,0,524288,91.361403
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,write,6098420160,11963199,11913887,49435,6112930816,6099910144,6479544320,3600000871936,91.483969
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,stack,6098420160,0,0,0,0,0,0,1856,91.484113
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,ctx,6098420160,0,0,0,0,0,0,400,91.484155
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,heap,6098420160,0,0,0,0,0,0,1552,91.484190
20,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,256,0,32768,0,2097152,0,usage,6098420160,0,0,0,0,0,0,2359296,91.484222
12,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,93.227961
12,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,stack,6098520064,0,0,0,0,0,0,1856,93.228081
12,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,ctx,6098520064,0,0,0,0,0,0,400,93.228126
12,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,heap,6098520064,0,0,0,0,0,0,1552,93.228159
12,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1,0,32768,0,2097152,0,usage,6098520064,0,0,0,0,0,0,393216,93.228190
22,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,write,11165310976,10996392,10908950,90509,11260305408,11168037888,11863195648,3600000398336,124.454348
22,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,stack,11165310976,0,0,0,0,0,0,1856,124.454503
22,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,ctx,11165310976,0,0,0,0,0,0,400,124.454560
22,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,heap,11165310976,0,0,0,0,0,0,3088,124.454599
22,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,1024,0,32768,0,2097152,0,usage,11165310976,0,0,0,0,0,0,393216,124.454637
23,bench_p26_wt,bench_p26_wt_linear,42,134217728,0,3600000000000,1,2,64,64,2048,0,32768,0,2097152,0,write,19090374592,9476461,9330577,154751,19407792128,19095036416,20283523072,3600000740864,162.288512
