i,suite,case,SKIP_WARMUP,READ_SIZE,DISK_SIZE,FILE_SIZE,FS,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,SIZE,FILE_COUNT,NO_SET,SEED,SIM_TIME,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,261177664,0,0,0,0,0,0,784,9.917238
12,bench_p26_wt,bench_p26_wt_linear,0,1,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,261177664,0,0,0,0,0,0,1183744,9.917280
19,bench_p26_wt,bench_p26_wt_linear,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,259981632,502225152,1192884,68833,502225152,275262016,281939968,3600017761984,9.924168
19,bench_p26_wt,bench_p26_wt_linear,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,259981632,0,0,0,0,0,0,3168,9.924269
19,bench_p26_wt,bench_p26_wt_linear,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,259981632,0,0,0,0,0,0,528,9.924319
19,bench_p26_wt,bench_p26_wt_linear,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,259981632,0,0,0,0,0,0,784,9.924363
19,bench_p26_wt,bench_p26_wt_linear,0,128,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,259981632,0,0,0,0,0,0,2117632,9.924404
16,bench_p26_wt,bench_p26_wt_linear,0,16,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,260997440,155450976,1197491,69100,155450976,276331398,283033600,3600025144050,10.045114
16,bench_p26_wt,bench_p26_wt_linear,0,16,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,260997440,0,0,0,0,0,0,3168,10.045197
16,bench_p26_wt,bench_p26_wt_linear,0,16,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,260997440,0,0,0,0,0,0,528,10.045232
16,bench_p26_wt,bench_p26_wt_linear,0,16,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,260997440,0,0,0,0,0,0,784,10.045259
16,bench_p26_wt,bench_p26_wt_linear,0,16,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,260997440,0,0,0,0,0,0,999424,10.045286
15,bench_p26_wt,bench_p26_wt_linear,0,8,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,261071168,130223528,1197837,69121,130223528,276410908,283119616,3600100972884,10.185806
15,bench_p26_wt,bench_p26_wt_linear,0,8,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,261071168,0,0,0,0,0,0,3168,10.185896
15,bench_p26_wt,bench_p26_wt_linear,0,8,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,261071168,0,0,0,0,0,0,528,10.185935
15,bench_p26_wt,bench_p26_wt_linear,0,8,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,261071168,0,0,0,0,0,0,784,10.185967
15,bench_p26_wt,bench_p26_wt_linear,0,8,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,261071168,0,0,0,0,0,0,1077248,10.185997
14,bench_p26_wt,bench_p26_wt_linear,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,261108032,116761240,1198004,69130,116761240,276449395,283156480,3600035021897,10.216591
14,bench_p26_wt,bench_p26_wt_linear,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,261108032,0,0,0,0,0,0,3168,10.216667
14,bench_p26_wt,bench_p26_wt_linear,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,261108032,0,0,0,0,0,0,528,10.216723
14,bench_p26_wt,bench_p26_wt_linear,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,heap,261108032,0,0,0,0,0,0,784,10.216765
14,bench_p26_wt,bench_p26_wt_linear,0,4,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,usage,261108032,0,0,0,0,0,0,1114112,10.216803
13,bench_p26_wt,bench_p26_wt_linear,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,write,261136704,107233716,1198136,69137,107233716,276479388,283185152,3600022298292,10.371597
13,bench_p26_wt,bench_p26_wt_linear,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,stack,261136704,0,0,0,0,0,0,3168,10.371668
13,bench_p26_wt,bench_p26_wt_linear,0,2,134217728,64,30,0,0,0,2097152,32768,0,42,3600000000000,64,ctx,261136704,0,0,0,0,0,0,528,10.371701
