i,suite,case,NO_SET,PROG_SIZE,DISK_GEOMETRY,SEED,CHUNK,DISK_SIZE,FS,SKIP_WARMUP,SIM_TIME,FILE_COUNT,FILE_SIZE,SIZE,SIM_SIZE,NO_FRUNCATE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,0,512,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284966912,0,0,0,0,0,0,1871872,6.773538
19,bench_p26_wt,bench_p26_wt_linear,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284963840,288503760,1115317,69708,288503760,285520768,285523968,3600000918016,6.778488
19,bench_p26_wt,bench_p26_wt_linear,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284963840,0,0,0,0,0,0,2000,6.778549
19,bench_p26_wt,bench_p26_wt_linear,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284963840,0,0,0,0,0,0,400,6.778587
19,bench_p26_wt,bench_p26_wt_linear,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284963840,0,0,0,0,0,0,784,6.778620
19,bench_p26_wt,bench_p26_wt_linear,0,128,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284963840,0,0,0,0,0,0,1871872,6.778651
20,bench_p26_wt,bench_p26_wt_linear,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284965888,288428012,1115325,69708,288428012,285523200,285523968,3600001135328,6.816152
20,bench_p26_wt,bench_p26_wt_linear,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284965888,0,0,0,0,0,0,2000,6.816243
20,bench_p26_wt,bench_p26_wt_linear,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284965888,0,0,0,0,0,0,400,6.816281
20,bench_p26_wt,bench_p26_wt_linear,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284965888,0,0,0,0,0,0,784,6.816315
20,bench_p26_wt,bench_p26_wt_linear,0,256,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284965888,0,0,0,0,0,0,1871872,6.816344
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284967424,287828536,1115331,69709,287828536,285524160,285528064,3600024573952,6.907131
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284967424,0,0,0,0,0,0,2000,6.907232
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284967424,0,0,0,0,0,0,400,6.907285
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284967424,0,0,0,0,0,0,784,6.907331
18,bench_p26_wt,bench_p26_wt_linear,0,64,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284967424,0,0,0,0,0,0,1875968,6.907375
16,bench_p26_wt,bench_p26_wt_linear,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287042228,1115347,69710,287042228,285528176,285532160,3600044598640,6.909693
16,bench_p26_wt,bench_p26_wt_linear,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,stack,284971520,0,0,0,0,0,0,2000,6.909764
16,bench_p26_wt,bench_p26_wt_linear,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,ctx,284971520,0,0,0,0,0,0,400,6.909810
16,bench_p26_wt,bench_p26_wt_linear,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,heap,284971520,0,0,0,0,0,0,784,6.909848
16,bench_p26_wt,bench_p26_wt_linear,0,16,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,usage,284971520,0,0,0,0,0,0,1880064,6.909879
13,bench_p26_wt,bench_p26_wt_linear,0,2,0,42,64,134217728,2,0,3600000000000,32768,64,2097152,0,0,write,284971520,287042326,1115347,69710,287042326,285527628,285532160,3600044592148,6.919236
