i,suite,case,NO_FRUNCATE,DISK_SIZE,FS,SEED,SIM_SIZE,CHUNK,BLOCK_SIZE,SKIP_WARMUP,NO_SET,FILE_COUNT,SIZE,SIM_TIME,DISK_GEOMETRY,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,heap,4461484096,0,0,0,0,0,0,1296,81.485662
16,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,65536,0,0,32768,2097152,3600000000000,1,64,usage,4461484096,0,0,0,0,0,0,1114112,81.485694
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,write,4578115648,29500341,10671646,41704,1206459018,5463882752,5466226688,3600105057342,81.515138
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,stack,4578115648,0,0,0,0,0,0,3168,81.515214
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,ctx,4578115648,0,0,0,0,0,0,528,81.515256
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,heap,4578115648,0,0,0,0,0,0,1296,81.515293
19,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,524288,0,0,32768,2097152,3600000000000,1,64,usage,4578115648,0,0,0,0,0,0,2621440,81.515328
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,write,4563436096,29676356,10654410,41632,1216307225,5455057920,5456789504,3600002170331,83.492513
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,stack,4563436096,0,0,0,0,0,0,3120,83.492664
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,ctx,4563436096,0,0,0,0,0,0,528,83.492700
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,heap,4563436096,0,0,0,0,0,0,1296,83.492731
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,1048576,0,0,32768,2097152,3600000000000,1,64,usage,4563436096,0,0,0,0,0,0,4194304,83.492763
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,write,4633406016,28400523,10773686,42096,1189135624,5516127232,5517606912,3600005440408,84.296592
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,30,42,0,64,262144,0,0,32768,2097152,3600000000000,1,64,stack,4633406016,0,0,0,0,0,0,3120,84.296661
