i,suite,case,DISK_SIZE,SEED,FILE_COUNT,NO_SET,SKIP_WARMUP,DISK_GEOMETRY,FS,READ_SIZE,SIM_SIZE,CHUNK,FILE_SIZE,SIZE,NO_FRUNCATE,SIM_TIME,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,heap,258429248,0,0,0,0,0,0,784,9.348175
17,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,32,0,64,64,2097152,0,3600000000000,usage,258429248,0,0,0,0,0,0,524288,9.348221
12,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,9.372606
12,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,stack,258715968,0,0,0,0,0,0,3312,9.372678
12,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,ctx,258715968,0,0,0,0,0,0,624,9.372721
12,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,heap,258715968,0,0,0,0,0,0,784,9.372757
12,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,1,0,64,64,2097152,0,3600000000000,usage,258715968,0,0,0,0,0,0,823296,9.372791
16,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,write,258556224,141691680,1199365,69096,141691680,276298346,283017216,3600043989470,9.389009
16,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,stack,258556224,0,0,0,0,0,0,3312,9.389091
16,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,ctx,258556224,0,0,0,0,0,0,624,9.389127
16,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,heap,258556224,0,0,0,0,0,0,784,9.389154
16,bench_p26_wt,bench_p26_wt_linear,134217728,42,32768,0,0,0,3,16,0,64,64,2097152,0,3600000000000,usage,258556224,0,0,0,0,0,0,655360,9.389181
