i,suite,case,FILE_SIZE,NO_FRUNCATE,FS,PROG_SIZE,FILE_COUNT,DISK_GEOMETRY,SIM_TIME,NO_SET,CHUNK,SEED,SIM_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2343313216,0,0,0,0,0,0,784,57.684545
20,bench_p26_wt,bench_p26_wt_linear,64,0,33,256,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2343313216,0,0,0,0,0,0,1441792,57.684591
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2348010048,27636847,11284124,20474,539395760,2678831392,2683568128,3600009075824,58.095903
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2348010048,0,0,0,0,0,0,3296,58.096007
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2348010048,0,0,0,0,0,0,624,58.096060
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2348010048,0,0,0,0,0,0,784,58.096106
17,bench_p26_wt,bench_p26_wt_linear,64,0,33,32,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2348010048,0,0,0,0,0,0,1966080,58.096150
15,bench_p26_wt,bench_p26_wt_linear,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2327709248,28243244,11229278,20257,527324947,2649916432,2655125504,3600002917273,58.390067
15,bench_p26_wt,bench_p26_wt_linear,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2327709248,0,0,0,0,0,0,3312,58.390161
15,bench_p26_wt,bench_p26_wt_linear,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,ctx,2327709248,0,0,0,0,0,0,624,58.390205
15,bench_p26_wt,bench_p26_wt_linear,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,heap,2327709248,0,0,0,0,0,0,784,58.390242
15,bench_p26_wt,bench_p26_wt_linear,64,0,33,8,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,usage,2327709248,0,0,0,0,0,0,2621440,58.390276
12,bench_p26_wt,bench_p26_wt_linear,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,write,2323101504,28690586,11189291,20125,504574206,2633880656,2637824000,3600009336010,58.460534
12,bench_p26_wt,bench_p26_wt_linear,64,0,33,1,32768,1,3600000000000,1,64,42,0,134217728,2097152,0,stack,2323101504,0,0,0,0,0,0,3296,58.460624
