i,suite,case,SIM_TIME,READ_SIZE,DISK_GEOMETRY,SIM_SIZE,FILE_SIZE,DISK_SIZE,SIZE,SKIP_WARMUP,FILE_COUNT,CHUNK,NO_FRUNCATE,FS,NO_SET,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,5082804288,0,0,0,0,0,0,1296,112.516284
19,bench_p26_wt,bench_p26_wt_linear,3600000000000,128,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,5082804288,0,0,0,0,0,0,1966080,112.516330
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,4641195584,28663266,10750963,42009,1168898881,5504493056,5506203648,3600008538067,113.318131
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,4641195584,0,0,0,0,0,0,3168,113.318231
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,4641195584,0,0,0,0,0,0,528,113.318283
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,4641195584,0,0,0,0,0,0,1296,113.318329
12,bench_p26_wt,bench_p26_wt_linear,3600000000000,1,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,4641195584,0,0,0,0,0,0,786432,113.318373
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,4837868096,23341619,11206505,43788,1644325696,5737730560,5739380736,3600005921728,114.878944
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,4837868096,0,0,0,0,0,0,3168,114.879044
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,4837868096,0,0,0,0,0,0,528,114.879092
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,4837868096,0,0,0,0,0,0,1296,114.879133
17,bench_p26_wt,bench_p26_wt_linear,3600000000000,32,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,4837868096,0,0,0,0,0,0,2359296,114.879174
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,5051389504,13779361,11701117,45721,7055032832,5990971904,5992742912,3600001098752,117.895446
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,5051389504,0,0,0,0,0,0,3168,117.895568
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,5051389504,0,0,0,0,0,0,528,117.903926
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,5051389504,0,0,0,0,0,0,1552,117.903983
21,bench_p26_wt,bench_p26_wt_linear,3600000000000,512,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,usage,5051389504,0,0,0,0,0,0,1966080,117.904025
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,write,5064490048,15781273,11731469,45840,4040005888,6006512128,6008340480,3600027433216,118.214188
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,stack,5064490048,0,0,0,0,0,0,3168,118.214279
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,ctx,5064490048,0,0,0,0,0,0,528,118.214323
20,bench_p26_wt,bench_p26_wt_linear,3600000000000,256,1,0,64,134217728,2097152,0,32768,64,0,30,0,42,heap,5064490048,0,0,0,0,0,0,1296,118.214362
