i,suite,case,PROG_SIZE,DISK_GEOMETRY,NO_FRUNCATE,SIM_TIME,SEED,FILE_SIZE,FS,SIZE,CHUNK,SIM_SIZE,NO_SET,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
13,bench_p26_wt,bench_p26_wt_linear,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2332040512,0,0,0,0,0,0,784,59.495566
13,bench_p26_wt,bench_p26_wt_linear,2,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2332040512,0,0,0,0,0,0,655360,59.495608
12,bench_p26_wt,bench_p26_wt_linear,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2323101504,28690586,11189291,20125,504574206,2633880656,2637824000,3600009336010,59.774586
12,bench_p26_wt,bench_p26_wt_linear,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2323101504,0,0,0,0,0,0,3296,59.774664
12,bench_p26_wt,bench_p26_wt_linear,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2323101504,0,0,0,0,0,0,624,59.774699
12,bench_p26_wt,bench_p26_wt_linear,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2323101504,0,0,0,0,0,0,784,59.774729
12,bench_p26_wt,bench_p26_wt_linear,1,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2323101504,0,0,0,0,0,0,2228224,59.774757
17,bench_p26_wt,bench_p26_wt_linear,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,2348010048,27636847,11284124,20474,539395760,2678831392,2683568128,3600009075824,60.581337
17,bench_p26_wt,bench_p26_wt_linear,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,2348010048,0,0,0,0,0,0,3296,60.581429
17,bench_p26_wt,bench_p26_wt_linear,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,2348010048,0,0,0,0,0,0,624,60.581475
17,bench_p26_wt,bench_p26_wt_linear,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,2348010048,0,0,0,0,0,0,784,60.581513
17,bench_p26_wt,bench_p26_wt_linear,32,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,2348010048,0,0,0,0,0,0,1966080,60.581551
21,bench_p26_wt,bench_p26_wt_linear,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,82.660305
21,bench_p26_wt,bench_p26_wt_linear,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,4630589504,0,0,0,0,0,0,3312,82.660394
21,bench_p26_wt,bench_p26_wt_linear,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,4630589504,0,0,0,0,0,0,624,82.660435
21,bench_p26_wt,bench_p26_wt_linear,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,4630589504,0,0,0,0,0,0,1296,82.660468
21,bench_p26_wt,bench_p26_wt_linear,512,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,4630589504,0,0,0,0,0,0,786432,82.660497
22,bench_p26_wt,bench_p26_wt_linear,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,7687713856,37173046,9266142,72420,2556746999,9488529408,9492234240,3600009719381,116.088561
22,bench_p26_wt,bench_p26_wt_linear,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,7687713856,0,0,0,0,0,0,3232,116.088649
22,bench_p26_wt,bench_p26_wt_linear,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,7687713856,0,0,0,0,0,0,624,116.088697
22,bench_p26_wt,bench_p26_wt_linear,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,7687713856,0,0,0,0,0,0,2320,116.088729
22,bench_p26_wt,bench_p26_wt_linear,1024,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,7687713856,0,0,0,0,0,0,2359296,116.088758
23,bench_p26_wt,bench_p26_wt_linear,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,10254938176,51533182,7008966,109591,4952701769,14354362368,14364311552,3600010581611,147.054824
23,bench_p26_wt,bench_p26_wt_linear,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,10254938176,0,0,0,0,0,0,3232,147.054903
23,bench_p26_wt,bench_p26_wt_linear,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,ctx,10254938176,0,0,0,0,0,0,624,147.054936
23,bench_p26_wt,bench_p26_wt_linear,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,heap,10254938176,0,0,0,0,0,0,4368,147.054961
23,bench_p26_wt,bench_p26_wt_linear,2048,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,usage,10254938176,0,0,0,0,0,0,2621440,147.054985
24,bench_p26_wt,bench_p26_wt_linear,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,write,9766309952,47035493,7309170,114351,5715647230,14969180160,14988214272,3600019189978,108.940015
24,bench_p26_wt,bench_p26_wt_linear,4096,1,0,3600000000000,42,64,3,2097152,64,0,0,134217728,0,32768,stack,9766309952,0,0,0,0,0,0,3232,108.940087
