FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
3,1,bench_p26_wt_linear,1048576,1266453.6766135884,4528
3,1,bench_p26_wt_linear,131072,1286271.7206453916,4608
3,1,bench_p26_wt_linear,16384,817246.7014868577,4608
3,1,bench_p26_wt_linear,262144,1286256.067627764,4576
3,1,bench_p26_wt_linear,32768,1024326.1039826467,4576
3,1,bench_p26_wt_linear,4096,414569.71049690235,4608
3,1,bench_p26_wt_linear,524288,1270625.7558027515,4608
3,1,bench_p26_wt_linear,65536,1233878.999455467,4608
3,1,bench_p26_wt_linear,8192,779150.7335254435,4528
3,1,bench_p26_wt_logging,1048576,27742.6825226751,4592
3,1,bench_p26_wt_logging,131072,21601.574490082643,4592
3,1,bench_p26_wt_logging,16384,3552.3532840634407,4592
3,1,bench_p26_wt_logging,262144,22945.960647767344,4592
3,1,bench_p26_wt_logging,32768,10891.923175206855,4592
3,1,bench_p26_wt_logging,4096,2843.050814442678,4576
3,1,bench_p26_wt_logging,524288,25309.96749376842,4592
3,1,bench_p26_wt_logging,65536,17818.294828441478,4592
3,1,bench_p26_wt_logging,8192,2941.0538637461473,4592
3,1,bench_p26_wt_many,1048576,621.5149842821146,4544
3,1,bench_p26_wt_many,131072,3857.3131645346307,4608
3,1,bench_p26_wt_many,16384,7505.030429539688,4544
3,1,bench_p26_wt_many,262144,2457.2256262507167,4608
3,1,bench_p26_wt_many,32768,6529.409869521886,4608
3,1,bench_p26_wt_many,4096,8164.085853282319,4544
3,1,bench_p26_wt_many,524288,1264.9901581837464,4608
3,1,bench_p26_wt_many,65536,5149.133252367559,4608
3,1,bench_p26_wt_many,8192,7945.610120900093,4544
3,1,bench_p26_wt_random,1048576,6165.629369672304,4608
3,1,bench_p26_wt_random,131072,3632.0821884102656,4416
3,1,bench_p26_wt_random,16384,3362.727031839581,4592
3,1,bench_p26_wt_random,262144,4991.412661394778,4576
3,1,bench_p26_wt_random,32768,3862.9403642949505,4496
3,1,bench_p26_wt_random,4096,1778.9974938798302,4592
3,1,bench_p26_wt_random,524288,6140.567674152234,4576
3,1,bench_p26_wt_random,65536,3715.6239732237073,4592
3,1,bench_p26_wt_random,8192,1702.585300932849,4592
