FS,DISK_GEOMETRY,case,BLOCK_SIZE,bench_throughput,bench_ram
3,0,bench_p26_wt_linear,1048576,67827.76087074367,4080
3,0,bench_p26_wt_linear,131072,68389.55945350278,4080
3,0,bench_p26_wt_linear,16384,69692.5035988722,4080
3,0,bench_p26_wt_linear,262144,67908.9987581718,4080
3,0,bench_p26_wt_linear,32768,68934.12450203812,4096
3,0,bench_p26_wt_linear,4096,71863.24043085608,4096
3,0,bench_p26_wt_linear,524288,67962.59604713917,4080
3,0,bench_p26_wt_linear,65536,68627.66556150194,4096
3,0,bench_p26_wt_linear,8192,69808.59259620291,4048
3,0,bench_p26_wt_logging,1048576,10196.17164621826,4080
3,0,bench_p26_wt_logging,131072,8896.297584750331,4080
3,0,bench_p26_wt_logging,16384,6457.236191063632,4080
3,0,bench_p26_wt_logging,262144,9346.943805287985,4080
3,0,bench_p26_wt_logging,32768,7783.144365778937,4080
3,0,bench_p26_wt_logging,4096,4442.356659764516,4048
3,0,bench_p26_wt_logging,524288,9752.229858478962,4080
3,0,bench_p26_wt_logging,65536,8417.68978708513,4080
3,0,bench_p26_wt_logging,8192,4637.694001395896,4080
3,0,bench_p26_wt_many,1048576,1620.116648295251,4032
3,0,bench_p26_wt_many,131072,6964.900268057351,4272
3,0,bench_p26_wt_many,16384,14849.59275523855,4272
3,0,bench_p26_wt_many,262144,4549.13744061972,4032
3,0,bench_p26_wt_many,32768,12672.973793608679,4272
3,0,bench_p26_wt_many,4096,18131.60710621841,4272
3,0,bench_p26_wt_many,524288,2720.277197953178,4032
3,0,bench_p26_wt_many,65536,9869.95540383789,4272
3,0,bench_p26_wt_many,8192,16675.069195986,4272
3,0,bench_p26_wt_random,1048576,245.25870110597046,4096
3,0,bench_p26_wt_random,131072,794.3585649502709,4032
3,0,bench_p26_wt_random,16384,1550.192960492585,4080
3,0,bench_p26_wt_random,262144,612.1066022327062,4064
3,0,bench_p26_wt_random,32768,1268.2291645879657,4080
3,0,bench_p26_wt_random,4096,2166.703418317148,4080
3,0,bench_p26_wt_random,524288,410.92526995700393,4064
3,0,bench_p26_wt_random,65536,1004.2996804719783,4032
3,0,bench_p26_wt_random,8192,1839.2567480637058,4032
