i,suite,case,DISK_GEOMETRY,FILE_COUNT,NO_SET,NO_FRUNCATE,SKIP_WARMUP,SEED,FS,SIM_SIZE,CHUNK,FILE_SIZE,SIM_TIME,DISK_SIZE,SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,write,279970112,5601944,1169291,69481,5601944,282178062,284594176,3600003147722,8.959432
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,stack,279970112,0,0,0,0,0,0,3104,8.959533
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,ctx,279970112,0,0,0,0,0,0,528,8.959582
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,heap,279970112,0,0,0,0,0,0,784,8.959623
17,bench_p26_wt,bench_p26_wt_linear,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,usage,279970112,0,0,0,0,0,0,20480,8.959665
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,write,278667584,9117706,1172262,69452,9117706,283151307,284475392,3600046089121,9.062249
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,stack,278667584,0,0,0,0,0,0,3120,9.062344
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,ctx,278667584,0,0,0,0,0,0,528,9.062392
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,heap,278667584,0,0,0,0,0,0,784,9.062433
18,bench_p26_wt,bench_p26_wt_linear,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,usage,278667584,0,0,0,0,0,0,28672,9.062473
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,write,273117504,13513262,1155547,69598,13513262,279283409,285073408,3600030085555,9.322766
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,stack,273117504,0,0,0,0,0,0,3120,9.322864
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,ctx,273117504,0,0,0,0,0,0,528,9.322910
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,heap,273117504,0,0,0,0,0,0,784,9.322951
19,bench_p26_wt,bench_p26_wt_linear,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,usage,273117504,0,0,0,0,0,0,118784,9.322989
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,write,263020864,75272229,1193837,69204,75272229,276881842,283459584,3600046245118,9.401626
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,stack,263020864,0,0,0,0,0,0,3168,9.401724
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,ctx,263020864,0,0,0,0,0,0,528,9.401772
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,heap,263020864,0,0,0,0,0,0,784,9.401814
22,bench_p26_wt,bench_p26_wt_linear,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,usage,263020864,0,0,0,0,0,0,921600,9.401855
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,write,270102848,27617049,1159397,69551,27617049,278435746,284880896,3600003687406,9.425837
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,stack,270102848,0,0,0,0,0,0,3120,9.425898
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,ctx,270102848,0,0,0,0,0,0,528,9.425931
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,heap,270102848,0,0,0,0,0,0,784,9.425959
20,bench_p26_wt,bench_p26_wt_linear,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,usage,270102848,0,0,0,0,0,0,118784,9.425984
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,write,261177664,94483085,1198322,69147,94483085,276522268,283226112,3600037498140,9.704128
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,stack,261177664,0,0,0,0,0,0,3168,9.704228
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,ctx,261177664,0,0,0,0,0,0,528,9.704268
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,heap,261177664,0,0,0,0,0,0,784,9.704300
23,bench_p26_wt,bench_p26_wt_linear,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,usage,261177664,0,0,0,0,0,0,1183744,9.704331
24,bench_p26_wt,bench_p26_wt_linear,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,write,259678528,116710123,1200335,69109,116710123,276353332,283070464,3600018878612,7.076085
24,bench_p26_wt,bench_p26_wt_linear,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,stack,259678528,0,0,0,0,0,0,3168,7.076178
24,bench_p26_wt,bench_p26_wt_linear,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,ctx,259678528,0,0,0,0,0,0,528,7.076221
24,bench_p26_wt,bench_p26_wt_linear,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,heap,259678528,0,0,0,0,0,0,784,7.076257
24,bench_p26_wt,bench_p26_wt_linear,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,usage,259678528,0,0,0,0,0,0,3969024,7.076295
25,bench_p26_wt,bench_p26_wt_linear,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,write,256778560,164250580,1209061,68990,164250580,275895381,282583040,3600048472687,6.270199
25,bench_p26_wt,bench_p26_wt_linear,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,stack,256778560,0,0,0,0,0,0,3168,6.270278
25,bench_p26_wt,bench_p26_wt_linear,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,ctx,256778560,0,0,0,0,0,0,528,6.270315
25,bench_p26_wt,bench_p26_wt_linear,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,heap,256778560,0,0,0,0,0,0,784,6.270344
25,bench_p26_wt,bench_p26_wt_linear,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,usage,256778560,0,0,0,0,0,0,5304320,6.270372
27,bench_p26_wt,bench_p26_wt_linear,0,524288,0,0,0,42,30,0,64,64,3600000000000,134217728,33554432,write,250331456,366604821,1236013,68571,366604821,274152923,280866816,3600039348617,7.578930
27,bench_p26_wt,bench_p26_wt_linear,0,524288,0,0,0,42,30,0,64,64,3600000000000,134217728,33554432,stack,250331456,0,0,0,0,0,0,3168,7.579005
27,bench_p26_wt,bench_p26_wt_linear,0,524288,0,0,0,42,30,0,64,64,3600000000000,134217728,33554432,ctx,250331456,0,0,0,0,0,0,528,7.579038
27,bench_p26_wt,bench_p26_wt_linear,0,524288,0,0,0,42,30,0,64,64,3600000000000,134217728,33554432,heap,250331456,0,0,0,0,0,0,784,7.579065
27,bench_p26_wt,bench_p26_wt_linear,0,524288,0,0,0,42,30,0,64,64,3600000000000,134217728,33554432,usage,250331456,0,0,0,0,0,0,15970304,7.579091
26,bench_p26_wt,bench_p26_wt_linear,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,write,252834112,241573463,1228511,68748,241573463,274872216,281591808,3600014762720,5.905574
26,bench_p26_wt,bench_p26_wt_linear,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,stack,252834112,0,0,0,0,0,0,3168,5.905647
26,bench_p26_wt,bench_p26_wt_linear,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,ctx,252834112,0,0,0,0,0,0,528,5.905679
26,bench_p26_wt,bench_p26_wt_linear,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,heap,252834112,0,0,0,0,0,0,784,5.905703
26,bench_p26_wt,bench_p26_wt_linear,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,usage,252834112,0,0,0,0,0,0,1232896,5.905726
28,bench_p26_wt,bench_p26_wt_random,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,write,12742464,110653054,850545,72301,110653054,94844920,296144896,3600002872856,6.569363
28,bench_p26_wt,bench_p26_wt_random,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,stack,12742464,0,0,0,0,0,0,3088,6.569497
28,bench_p26_wt,bench_p26_wt_random,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,ctx,12742464,0,0,0,0,0,0,512,6.569555
28,bench_p26_wt,bench_p26_wt_random,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,heap,12742464,0,0,0,0,0,0,784,6.569618
28,bench_p26_wt,bench_p26_wt_random,0,16,0,0,0,42,30,0,64,64,3600000000000,134217728,1024,usage,12742464,0,0,0,0,0,0,24576,6.569670
29,bench_p26_wt,bench_p26_wt_random,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,write,13799232,178787066,1126826,69771,178787066,129097258,285782016,3600080192046,8.203422
29,bench_p26_wt,bench_p26_wt_random,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,stack,13799232,0,0,0,0,0,0,3152,8.203606
29,bench_p26_wt,bench_p26_wt_random,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,ctx,13799232,0,0,0,0,0,0,512,8.203659
29,bench_p26_wt,bench_p26_wt_random,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,heap,13799232,0,0,0,0,0,0,784,8.203716
29,bench_p26_wt,bench_p26_wt_random,0,32,0,0,0,42,30,0,64,64,3600000000000,134217728,2048,usage,13799232,0,0,0,0,0,0,24576,8.203763
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,write,14375808,283854659,1470283,66604,283854659,175895362,272809984,3600088078686,10.100873
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,stack,14375808,0,0,0,0,0,0,3152,10.100988
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,ctx,14375808,0,0,0,0,0,0,512,10.101042
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,heap,14375808,0,0,0,0,0,0,784,10.101103
30,bench_p26_wt,bench_p26_wt_random,0,64,0,0,0,42,30,0,64,64,3600000000000,134217728,4096,usage,14375808,0,0,0,0,0,0,24576,10.101151
31,bench_p26_wt,bench_p26_wt_random,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,write,12198272,428794753,1679536,64604,428794753,196387694,264617984,3600005709138,12.119340
31,bench_p26_wt,bench_p26_wt_random,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,stack,12198272,0,0,0,0,0,0,3152,12.119474
31,bench_p26_wt,bench_p26_wt_random,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,ctx,12198272,0,0,0,0,0,0,512,12.119531
31,bench_p26_wt,bench_p26_wt_random,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,heap,12198272,0,0,0,0,0,0,784,12.119580
31,bench_p26_wt,bench_p26_wt_random,0,128,0,0,0,42,30,0,64,64,3600000000000,134217728,8192,usage,12198272,0,0,0,0,0,0,36864,12.119627
32,bench_p26_wt,bench_p26_wt_random,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,write,10654528,551603269,1887987,62640,551603269,205204590,256573440,3600115292146,13.694145
32,bench_p26_wt,bench_p26_wt_random,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,stack,10654528,0,0,0,0,0,0,3104,13.694259
32,bench_p26_wt,bench_p26_wt_random,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,ctx,10654528,0,0,0,0,0,0,512,13.694314
32,bench_p26_wt,bench_p26_wt_random,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,heap,10654528,0,0,0,0,0,0,784,13.694372
32,bench_p26_wt,bench_p26_wt_random,0,256,0,0,0,42,30,0,64,64,3600000000000,134217728,16384,usage,10654528,0,0,0,0,0,0,53248,13.694420
33,bench_p26_wt,bench_p26_wt_random,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,write,10162112,596425906,1931017,62216,596425906,211773736,254836736,3600171089096,14.525432
33,bench_p26_wt,bench_p26_wt_random,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,stack,10162112,0,0,0,0,0,0,3152,14.525541
33,bench_p26_wt,bench_p26_wt_random,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,ctx,10162112,0,0,0,0,0,0,512,14.525604
33,bench_p26_wt,bench_p26_wt_random,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,heap,10162112,0,0,0,0,0,0,784,14.525651
33,bench_p26_wt,bench_p26_wt_random,0,512,0,0,0,42,30,0,64,64,3600000000000,134217728,32768,usage,10162112,0,0,0,0,0,0,90112,14.525701
34,bench_p26_wt,bench_p26_wt_random,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,write,9979456,608848937,1946485,62065,608848937,215027330,254218240,3600124211470,14.762781
34,bench_p26_wt,bench_p26_wt_random,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,stack,9979456,0,0,0,0,0,0,3152,14.762881
34,bench_p26_wt,bench_p26_wt_random,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,ctx,9979456,0,0,0,0,0,0,512,14.762946
34,bench_p26_wt,bench_p26_wt_random,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,heap,9979456,0,0,0,0,0,0,784,14.762994
34,bench_p26_wt,bench_p26_wt_random,0,1024,0,0,0,42,30,0,64,64,3600000000000,134217728,65536,usage,9979456,0,0,0,0,0,0,172032,14.763039
35,bench_p26_wt,bench_p26_wt_random,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,write,9666304,640898897,1934181,62144,640898897,218431447,254541824,3600102607005,14.763753
35,bench_p26_wt,bench_p26_wt_random,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,stack,9666304,0,0,0,0,0,0,3152,14.763823
35,bench_p26_wt,bench_p26_wt_random,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,ctx,9666304,0,0,0,0,0,0,512,14.763878
35,bench_p26_wt,bench_p26_wt_random,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,heap,9666304,0,0,0,0,0,0,784,14.763925
35,bench_p26_wt,bench_p26_wt_random,0,2048,0,0,0,42,30,0,64,64,3600000000000,134217728,131072,usage,9666304,0,0,0,0,0,0,303104,14.763972
36,bench_p26_wt,bench_p26_wt_random,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,write,9239552,711342011,1902433,62365,711342011,221509623,255447040,3600220256141,15.731837
36,bench_p26_wt,bench_p26_wt_random,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,stack,9239552,0,0,0,0,0,0,3104,15.731936
36,bench_p26_wt,bench_p26_wt_random,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,ctx,9239552,0,0,0,0,0,0,512,15.731988
36,bench_p26_wt,bench_p26_wt_random,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,heap,9239552,0,0,0,0,0,0,784,15.732033
36,bench_p26_wt,bench_p26_wt_random,0,4096,0,0,0,42,30,0,64,64,3600000000000,134217728,262144,usage,9239552,0,0,0,0,0,0,593920,15.732077
37,bench_p26_wt,bench_p26_wt_random,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,write,8158464,818381204,2083058,60661,818381204,217402416,248467456,3600019197104,16.442758
37,bench_p26_wt,bench_p26_wt_random,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,stack,8158464,0,0,0,0,0,0,3152,16.442858
37,bench_p26_wt,bench_p26_wt_random,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,ctx,8158464,0,0,0,0,0,0,512,16.442910
37,bench_p26_wt,bench_p26_wt_random,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,heap,8158464,0,0,0,0,0,0,784,16.442956
37,bench_p26_wt,bench_p26_wt_random,0,8192,0,0,0,42,30,0,64,64,3600000000000,134217728,524288,usage,8158464,0,0,0,0,0,0,1159168,16.443013
39,bench_p26_wt,bench_p26_wt_random,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,write,7861440,972572239,2025106,61041,972572239,218418044,250023936,3600117406860,17.757764
39,bench_p26_wt,bench_p26_wt_random,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,stack,7861440,0,0,0,0,0,0,3152,17.757865
39,bench_p26_wt,bench_p26_wt_random,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,ctx,7861440,0,0,0,0,0,0,512,17.757922
39,bench_p26_wt,bench_p26_wt_random,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,heap,7861440,0,0,0,0,0,0,784,17.757970
39,bench_p26_wt,bench_p26_wt_random,0,32768,0,0,0,42,30,0,64,64,3600000000000,134217728,2097152,usage,7861440,0,0,0,0,0,0,4603904,17.758014
38,bench_p26_wt,bench_p26_wt_random,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,write,8017728,872063695,2062716,60797,872063695,217767423,249024512,3600153845317,18.082874
38,bench_p26_wt,bench_p26_wt_random,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,stack,8017728,0,0,0,0,0,0,3152,18.082963
38,bench_p26_wt,bench_p26_wt_random,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,ctx,8017728,0,0,0,0,0,0,512,18.083016
38,bench_p26_wt,bench_p26_wt_random,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,heap,8017728,0,0,0,0,0,0,784,18.083060
38,bench_p26_wt,bench_p26_wt_random,0,16384,0,0,0,42,30,0,64,64,3600000000000,134217728,1048576,usage,8017728,0,0,0,0,0,0,2232320,18.083102
40,bench_p26_wt,bench_p26_wt_random,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,write,7907328,1132660316,1987117,61236,1132660316,216511050,250822656,3600058972382,15.024263
40,bench_p26_wt,bench_p26_wt_random,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,stack,7907328,0,0,0,0,0,0,3104,15.024344
40,bench_p26_wt,bench_p26_wt_random,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,ctx,7907328,0,0,0,0,0,0,512,15.024385
40,bench_p26_wt,bench_p26_wt_random,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,heap,7907328,0,0,0,0,0,0,784,15.024418
40,bench_p26_wt,bench_p26_wt_random,0,65536,0,0,0,42,30,0,64,64,3600000000000,134217728,4194304,usage,7907328,0,0,0,0,0,0,9113600,15.024448
41,bench_p26_wt,bench_p26_wt_random,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,write,7948416,1434020695,1911313,61645,1434020695,213141561,252497920,3600122514643,16.494958
41,bench_p26_wt,bench_p26_wt_random,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,stack,7948416,0,0,0,0,0,0,3104,16.495042
41,bench_p26_wt,bench_p26_wt_random,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,ctx,7948416,0,0,0,0,0,0,512,16.495081
41,bench_p26_wt,bench_p26_wt_random,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,heap,7948416,0,0,0,0,0,0,784,16.495113
41,bench_p26_wt,bench_p26_wt_random,0,131072,0,0,0,42,30,0,64,64,3600000000000,134217728,8388608,usage,7948416,0,0,0,0,0,0,18092032,16.495143
42,bench_p26_wt,bench_p26_wt_random,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,write,7958208,1931752689,1907093,61248,1931752689,201748484,250871808,3600262319348,18.615213
42,bench_p26_wt,bench_p26_wt_random,0,262144,0,0,0,42,30,0,64,64,3600000000000,134217728,16777216,stack,7958208,0,0,0,0,0,0,3104,18.615335
