i,suite,case,FS,CHUNK,FILE_SIZE,FILE_COUNT,SKIP_WARMUP,SEED,NO_FRUNCATE,SIM_SIZE,NO_SET,SIM_TIME,SIZE,DISK_SIZE,DISK_GEOMETRY,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,write,275882304,7036709,1171300,69462,7036709,283203537,284516352,3600028905035,8.711380
18,bench_p26_wt,bench_p26_wt_linear,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,stack,275882304,0,0,0,0,0,0,3264,8.711465
18,bench_p26_wt,bench_p26_wt_linear,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,ctx,275882304,0,0,0,0,0,0,624,8.711509
18,bench_p26_wt,bench_p26_wt_linear,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,heap,275882304,0,0,0,0,0,0,784,8.711545
18,bench_p26_wt,bench_p26_wt_linear,33,64,64,1024,0,42,0,0,1,3600000000000,65536,134217728,0,usage,275882304,0,0,0,0,0,0,65536,8.711579
19,bench_p26_wt,bench_p26_wt_linear,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,write,271510592,11264061,1155476,69600,11264061,279299646,285081600,3600002014242,8.743422
19,bench_p26_wt,bench_p26_wt_linear,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,stack,271510592,0,0,0,0,0,0,3264,8.743506
19,bench_p26_wt,bench_p26_wt_linear,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,ctx,271510592,0,0,0,0,0,0,624,8.743550
19,bench_p26_wt,bench_p26_wt_linear,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,heap,271510592,0,0,0,0,0,0,784,8.743585
19,bench_p26_wt,bench_p26_wt_linear,33,64,64,2048,0,42,0,0,1,3600000000000,131072,134217728,0,usage,271510592,0,0,0,0,0,0,81920,8.743620
20,bench_p26_wt,bench_p26_wt_linear,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,write,268919104,25176488,1158991,69557,25176488,278455247,284905472,3600013975453,8.879315
20,bench_p26_wt,bench_p26_wt_linear,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,stack,268919104,0,0,0,0,0,0,3264,8.879408
20,bench_p26_wt,bench_p26_wt_linear,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,ctx,268919104,0,0,0,0,0,0,624,8.879453
20,bench_p26_wt,bench_p26_wt_linear,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,heap,268919104,0,0,0,0,0,0,784,8.879491
20,bench_p26_wt,bench_p26_wt_linear,33,64,64,4096,0,42,0,0,1,3600000000000,262144,134217728,0,usage,268919104,0,0,0,0,0,0,249856,8.879529
21,bench_p26_wt,bench_p26_wt_linear,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,write,263968832,54242035,1182424,69323,54242035,277383154,283947008,3600002741486,9.011597
21,bench_p26_wt,bench_p26_wt_linear,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,stack,263968832,0,0,0,0,0,0,3264,9.011695
21,bench_p26_wt,bench_p26_wt_linear,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,ctx,263968832,0,0,0,0,0,0,624,9.011743
21,bench_p26_wt,bench_p26_wt_linear,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,heap,263968832,0,0,0,0,0,0,784,9.011783
21,bench_p26_wt,bench_p26_wt_linear,33,64,64,8192,0,42,0,0,1,3600000000000,524288,134217728,0,usage,263968832,0,0,0,0,0,0,282624,9.011822
22,bench_p26_wt,bench_p26_wt_linear,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,write,260948288,72272496,1193144,69214,72272496,276919182,283500544,3600099663114,9.171772
22,bench_p26_wt,bench_p26_wt_linear,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,stack,260948288,0,0,0,0,0,0,3264,9.171860
22,bench_p26_wt,bench_p26_wt_linear,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,ctx,260948288,0,0,0,0,0,0,624,9.171907
22,bench_p26_wt,bench_p26_wt_linear,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,heap,260948288,0,0,0,0,0,0,784,9.171947
22,bench_p26_wt,bench_p26_wt_linear,33,64,64,16384,0,42,0,0,1,3600000000000,1048576,134217728,0,usage,260948288,0,0,0,0,0,0,954368,9.171986
23,bench_p26_wt,bench_p26_wt_linear,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,9.229732
23,bench_p26_wt,bench_p26_wt_linear,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,stack,258715968,0,0,0,0,0,0,3312,9.229813
23,bench_p26_wt,bench_p26_wt_linear,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,ctx,258715968,0,0,0,0,0,0,624,9.229846
23,bench_p26_wt,bench_p26_wt_linear,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,heap,258715968,0,0,0,0,0,0,784,9.229872
23,bench_p26_wt,bench_p26_wt_linear,33,64,64,32768,0,42,0,0,1,3600000000000,2097152,134217728,0,usage,258715968,0,0,0,0,0,0,823296,9.229895
24,bench_p26_wt,bench_p26_wt_linear,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,write,258265408,90008376,1202719,69112,90008376,276344410,283082752,3600039540334,6.692613
24,bench_p26_wt,bench_p26_wt_linear,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,stack,258265408,0,0,0,0,0,0,3264,6.692701
24,bench_p26_wt,bench_p26_wt_linear,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,ctx,258265408,0,0,0,0,0,0,624,6.692741
24,bench_p26_wt,bench_p26_wt_linear,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,heap,258265408,0,0,0,0,0,0,784,6.692772
24,bench_p26_wt,bench_p26_wt_linear,33,64,64,65536,0,42,0,0,1,3600000000000,4194304,134217728,0,usage,258265408,0,0,0,0,0,0,2523136,6.692800
25,bench_p26_wt,bench_p26_wt_linear,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,write,253567296,115374958,1221702,68921,115374958,275539060,282300416,3600039788492,6.108507
25,bench_p26_wt,bench_p26_wt_linear,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,stack,253567296,0,0,0,0,0,0,3264,6.108589
25,bench_p26_wt,bench_p26_wt_linear,33,64,64,131072,0,42,0,0,1,3600000000000,8388608,134217728,0,ctx,253567296,0,0,0,0,0,0,624,6.108626
