i,suite,case,SIZE,FS,DISK_GEOMETRY,SEED,DISK_SIZE,SIM_SIZE,SIM_TIME,FILE_SIZE,NO_FRUNCATE,FILE_COUNT,CHUNK,NO_SET,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
12,bench_p26_wt,bench_p26_wt_linear,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,write,4609141312,46490612,9002523,35166,2705166658,4609291776,4609277952,3600001546726,93.295951
12,bench_p26_wt,bench_p26_wt_linear,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,stack,4609141312,0,0,0,0,0,0,3184,93.296052
12,bench_p26_wt,bench_p26_wt_linear,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,ctx,4609141312,0,0,0,0,0,0,624,93.296101
12,bench_p26_wt,bench_p26_wt_linear,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,heap,4609141312,0,0,0,0,0,0,1296,93.296144
12,bench_p26_wt,bench_p26_wt_linear,1024,32,1,42,134217728,0,3600000000000,64,1,16,64,0,0,usage,4609141312,0,0,0,0,0,0,655360,93.296184
21,bench_p26_wt,bench_p26_wt_linear,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,write,4831409216,24000118,11181799,43722,1137089629,5725081088,5730729984,3600008664295,94.640787
21,bench_p26_wt,bench_p26_wt_linear,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,stack,4831409216,0,0,0,0,0,0,3312,94.640892
21,bench_p26_wt,bench_p26_wt_linear,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,ctx,4831409216,0,0,0,0,0,0,624,94.640940
21,bench_p26_wt,bench_p26_wt_linear,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,heap,4831409216,0,0,0,0,0,0,1296,94.640985
21,bench_p26_wt,bench_p26_wt_linear,524288,32,1,42,134217728,0,3600000000000,64,1,8192,64,0,0,usage,4831409216,0,0,0,0,0,0,786432,94.641030
22,bench_p26_wt,bench_p26_wt_linear,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,write,4744857152,26103707,10987850,42945,1146354268,5625779200,5628887040,3600008794324,95.565797
22,bench_p26_wt,bench_p26_wt_linear,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,stack,4744857152,0,0,0,0,0,0,3280,95.565894
22,bench_p26_wt,bench_p26_wt_linear,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,ctx,4744857152,0,0,0,0,0,0,624,95.565941
22,bench_p26_wt,bench_p26_wt_linear,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,heap,4744857152,0,0,0,0,0,0,1296,95.565980
22,bench_p26_wt,bench_p26_wt_linear,1048576,32,1,42,134217728,0,3600000000000,64,1,16384,64,0,0,usage,4744857152,0,0,0,0,0,0,786432,95.566021
23,bench_p26_wt,bench_p26_wt_linear,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,write,4630589504,28918859,10728232,41919,1158180569,5492854784,5494407168,3600008792603,96.118340
23,bench_p26_wt,bench_p26_wt_linear,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,stack,4630589504,0,0,0,0,0,0,3312,96.118438
23,bench_p26_wt,bench_p26_wt_linear,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,ctx,4630589504,0,0,0,0,0,0,624,96.118484
23,bench_p26_wt,bench_p26_wt_linear,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,heap,4630589504,0,0,0,0,0,0,1296,96.118524
23,bench_p26_wt,bench_p26_wt_linear,2097152,32,1,42,134217728,0,3600000000000,64,1,32768,64,0,0,usage,4630589504,0,0,0,0,0,0,786432,96.118562
20,bench_p26_wt,bench_p26_wt_linear,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,write,4966286400,20727908,11483226,44942,1125184830,5879411712,5890637824,3600008884122,98.162538
20,bench_p26_wt,bench_p26_wt_linear,262144,32,1,42,134217728,0,3600000000000,64,1,4096,64,0,0,stack,4966286400,0,0,0,0,0,0,3280,98.162632
