i,suite,case,FS,SIM_SIZE,SIM_TIME,SEED,SIZE,DISK_SIZE,SKIP_WARMUP,FILE_COUNT,NO_FRUNCATE,FILE_SIZE,DISK_GEOMETRY,CHUNK,NO_SET,CRYSTAL_THRESH,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,65536,134217728,0,1024,0,64,0,64,0,-1,usage,55386688,0,0,0,0,0,0,36864,27.119528
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,write,49889856,551043947,1462944,66420,551043947,201572459,272056320,3600047222953,27.942549
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,stack,49889856,0,0,0,0,0,0,3328,27.942657
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,ctx,49889856,0,0,0,0,0,0,624,27.942710
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,heap,49889856,0,0,0,0,0,0,784,27.942760
20,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,262144,134217728,0,4096,0,64,0,64,0,-1,usage,49889856,0,0,0,0,0,0,237568,27.942806
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,write,48422720,577497242,1482198,66225,577497242,202306337,271257600,3600048625027,28.373401
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,stack,48422720,0,0,0,0,0,0,3328,28.373505
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,ctx,48422720,0,0,0,0,0,0,624,28.373559
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,heap,48422720,0,0,0,0,0,0,784,28.373607
21,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,524288,134217728,0,8192,0,64,0,64,0,-1,usage,48422720,0,0,0,0,0,0,524288,28.373652
19,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,write,52321088,517387169,1416296,66867,517387169,201090446,273887232,3600141021874,28.403961
19,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,stack,52321088,0,0,0,0,0,0,3328,28.404044
19,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,ctx,52321088,0,0,0,0,0,0,624,28.404094
19,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,heap,52321088,0,0,0,0,0,0,784,28.404138
19,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,131072,134217728,0,2048,0,64,0,64,0,-1,usage,52321088,0,0,0,0,0,0,90112,28.404193
12,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,write,244128320,165081739,2265454,59610,165081739,240877594,244162560,3600021406118,28.617011
12,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,stack,244128320,0,0,0,0,0,0,3328,28.617117
12,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,ctx,244128320,0,0,0,0,0,0,624,28.617168
12,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,heap,244128320,0,0,0,0,0,0,784,28.617212
12,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1024,134217728,0,16,0,64,0,64,0,-1,usage,244128320,0,0,0,0,0,0,20480,28.617256
22,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,write,47554880,591277677,1489573,66146,591277677,202673913,270934016,3600002876547,28.666991
22,bench_p26_wt,bench_p26_wt_linear,31,0,3600000000000,42,1048576,134217728,0,16384,0,64,0,64,0,-1,stack,47554880,0,0,0,0,0,0,3328,28.667090
