i,suite,case,FS,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,FILE_SIZE,CHUNK,DISK_GEOMETRY,SIM_TIME,SIZE,SEED,NO_SET,NO_FRUNCATE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,write,277893120,279396090,1087643,69966,279396090,278427468,286580736,3600038349492,6.275858
19,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,stack,277893120,0,0,0,0,0,0,2000,6.275963
19,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,ctx,277893120,0,0,0,0,0,0,400,6.276018
19,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,heap,277893120,0,0,0,0,0,0,784,6.276067
19,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,131072,42,0,0,2048,usage,277893120,0,0,0,0,0,0,40960,6.276113
23,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,write,284971520,287042694,1115347,69710,287042694,285527628,285532160,3600044606868,6.327176
23,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,stack,284971520,0,0,0,0,0,0,2000,6.327256
23,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,ctx,284971520,0,0,0,0,0,0,400,6.327296
23,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,heap,284971520,0,0,0,0,0,0,784,6.327328
23,bench_p26_wt,bench_p26_wt_linear,2,0,0,134217728,64,64,0,3600000000000,2097152,42,0,0,32768,usage,284971520,0,0,0,0,0,0,1880064,6.327358
