i,suite,case,NO_FRUNCATE,SKIP_WARMUP,FILE_COUNT,SIM_TIME,CHUNK,FS,SIM_SIZE,DISK_GEOMETRY,SEED,SIZE,DISK_SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,write,4843470400,23704108,11208134,43828,1149203815,5738564608,5744623616,3600008641189,96.491555
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,stack,4843470400,0,0,0,0,0,0,3120,96.491665
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,ctx,4843470400,0,0,0,0,0,0,528,96.491750
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,heap,4843470400,0,0,0,0,0,0,1296,96.491806
21,bench_p26_wt,bench_p26_wt_linear,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,usage,4843470400,0,0,0,0,0,0,655360,96.491861
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,write,4754654784,25866203,11008892,43028,1157486497,5636552704,5639766016,3600008759539,98.845639
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,stack,4754654784,0,0,0,0,0,0,3152,98.845736
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,ctx,4754654784,0,0,0,0,0,0,528,98.845790
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,heap,4754654784,0,0,0,0,0,0,1296,98.845837
22,bench_p26_wt,bench_p26_wt_linear,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,usage,4754654784,0,0,0,0,0,0,1048576,98.845883
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,write,4775628352,42923210,9327690,36437,2745450108,4775777280,4775870464,3600001498932,99.578979
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,stack,4775628352,0,0,0,0,0,0,3072,99.579082
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,ctx,4775628352,0,0,0,0,0,0,528,99.579126
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,heap,4775628352,0,0,0,0,0,0,1296,99.579164
12,bench_p26_wt,bench_p26_wt_linear,0,0,16,3600000000000,64,30,0,1,42,1024,134217728,0,64,usage,4775628352,0,0,0,0,0,0,524288,99.579201
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,write,4641149504,28664219,10750873,42009,1168902591,5504446976,5506203648,3600008666925,103.118142
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,stack,4641149504,0,0,0,0,0,0,3168,103.118248
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,ctx,4641149504,0,0,0,0,0,0,528,103.118297
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,heap,4641149504,0,0,0,0,0,0,1296,103.118341
23,bench_p26_wt,bench_p26_wt_linear,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,usage,4641149504,0,0,0,0,0,0,786432,103.118389
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,write,4977986624,20441408,11508683,45040,1137459142,5892445696,5903482880,3600001977778,104.504471
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,stack,4977986624,0,0,0,0,0,0,3120,104.504566
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,ctx,4977986624,0,0,0,0,0,0,528,104.504612
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,heap,4977986624,0,0,0,0,0,0,1296,104.504652
20,bench_p26_wt,bench_p26_wt_linear,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,usage,4977986624,0,0,0,0,0,0,655360,104.504702
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,write,5014955072,19720297,11574587,45373,1135680920,5926188544,5947129856,3600008496200,107.287675
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,stack,5014955072,0,0,0,0,0,0,3104,107.287770
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,ctx,5014955072,0,0,0,0,0,0,528,107.287810
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,heap,5014955072,0,0,0,0,0,0,1296,107.287843
19,bench_p26_wt,bench_p26_wt_linear,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,usage,5014955072,0,0,0,0,0,0,655360,107.287874
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,write,2902337088,71824236,6769835,26452,1350001299,3466155520,3467116544,3600150045417,51.661138
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,stack,2902337088,0,0,0,0,0,0,3168,51.661232
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,ctx,2902337088,0,0,0,0,0,0,528,51.661273
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,heap,2902337088,0,0,0,0,0,0,1296,51.661308
27,bench_p26_wt,bench_p26_wt_linear,0,0,524288,3600000000000,64,30,0,1,42,33554432,134217728,0,64,usage,2902337088,0,0,0,0,0,0,17301504,51.661341
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,write,3789165120,49745875,8805980,34405,1258571939,4508661760,4509532160,3600001985561,51.378491
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,stack,3789165120,0,0,0,0,0,0,3168,51.378597
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,ctx,3789165120,0,0,0,0,0,0,528,51.378636
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,heap,3789165120,0,0,0,0,0,0,1296,51.378665
26,bench_p26_wt,bench_p26_wt_linear,0,0,262144,3600000000000,64,30,0,1,42,16777216,134217728,0,64,usage,3789165120,0,0,0,0,0,0,14811136,51.378693
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,write,4224540224,39019402,9795734,38275,1210540382,5015415808,5016780800,3600008617466,50.138843
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,stack,4224540224,0,0,0,0,0,0,3168,50.138931
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,ctx,4224540224,0,0,0,0,0,0,528,50.138973
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,heap,4224540224,0,0,0,0,0,0,1296,50.139004
25,bench_p26_wt,bench_p26_wt_linear,0,0,131072,3600000000000,64,30,0,1,42,8388608,134217728,0,64,usage,4224540224,0,0,0,0,0,0,5636096,50.139033
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,3600000000000,64,30,0,1,42,4194304,134217728,0,64,write,4510886464,31816839,10459821,40869,1185472962,5355428352,5356781568,3600008519526,48.903466
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,3600000000000,64,30,0,1,42,4194304,134217728,0,64,stack,4510886464,0,0,0,0,0,0,3168,48.903538
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,3600000000000,64,30,0,1,42,4194304,134217728,0,64,ctx,4510886464,0,0,0,0,0,0,528,48.903569
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,3600000000000,64,30,0,1,42,4194304,134217728,0,64,heap,4510886464,0,0,0,0,0,0,1296,48.903593
24,bench_p26_wt,bench_p26_wt_linear,0,0,65536,3600000000000,64,30,0,1,42,4194304,134217728,0,64,usage,4510886464,0,0,0,0,0,0,2621440,48.903615
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,write,16690112,111798746,2970936,14851,2768946204,1521119232,1946550272,3600581664276,40.075218
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,stack,16690112,0,0,0,0,0,0,3152,40.075352
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,ctx,16690112,0,0,0,0,0,0,512,40.075407
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,heap,16690112,0,0,0,0,0,0,1296,40.075452
38,bench_p26_wt,bench_p26_wt_random,0,0,16384,3600000000000,64,30,0,1,42,1048576,134217728,0,64,usage,16690112,0,0,0,0,0,0,2490368,40.075495
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,write,13064448,111911027,2945453,13342,3109491636,1508071936,1748762624,3600229651548,42.697665
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,stack,13064448,0,0,0,0,0,0,3008,42.697776
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,ctx,13064448,0,0,0,0,0,0,512,42.706069
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,heap,13064448,0,0,0,0,0,0,1296,42.706128
39,bench_p26_wt,bench_p26_wt_random,0,0,32768,3600000000000,64,30,0,1,42,2097152,134217728,0,64,usage,13064448,0,0,0,0,0,0,5111808,42.706173
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,write,23949568,102887282,3744066,21549,3020025911,1916961792,2824470528,3600205021205,46.448987
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,stack,23949568,0,0,0,0,0,0,3152,46.449091
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,ctx,23949568,0,0,0,0,0,0,512,46.449142
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,heap,23949568,0,0,0,0,0,0,1296,46.449186
37,bench_p26_wt,bench_p26_wt_random,0,0,8192,3600000000000,64,30,0,1,42,524288,134217728,0,64,usage,23949568,0,0,0,0,0,0,1572864,46.449225
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,write,30315968,97295200,4202712,29574,3158134386,2151788544,3876323328,3600233030262,47.222658
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,stack,30315968,0,0,0,0,0,0,3168,47.222758
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,ctx,30315968,0,0,0,0,0,0,512,47.222806
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,heap,30315968,0,0,0,0,0,0,1296,47.222850
36,bench_p26_wt,bench_p26_wt_random,0,0,4096,3600000000000,64,30,0,1,42,262144,134217728,0,64,usage,30315968,0,0,0,0,0,0,1179648,47.222892
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,write,36558848,94646891,4362604,41137,3194019520,2233653248,5391908864,3600069193792,48.395765
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,stack,36558848,0,0,0,0,0,0,3168,48.395870
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,ctx,36558848,0,0,0,0,0,0,512,48.404257
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,heap,36558848,0,0,0,0,0,0,1296,48.404327
35,bench_p26_wt,bench_p26_wt_random,0,0,2048,3600000000000,64,30,0,1,42,131072,134217728,0,64,usage,36558848,0,0,0,0,0,0,655360,48.404370
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,write,41889472,93639138,4311393,60871,3152168385,2207433216,7978483712,3600012550995,50.085741
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,stack,41889472,0,0,0,0,0,0,3168,50.085834
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,ctx,41889472,0,0,0,0,0,0,512,50.085881
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,heap,41889472,0,0,0,0,0,0,1296,50.085923
34,bench_p26_wt,bench_p26_wt_random,0,0,1024,3600000000000,64,30,0,1,42,65536,134217728,0,64,usage,41889472,0,0,0,0,0,0,1179648,50.085976
33,bench_p26_wt,bench_p26_wt_random,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,write,46769664,91746119,4343305,80394,3146051162,2223772160,10537402368,3600041113262,50.811830
33,bench_p26_wt,bench_p26_wt_random,0,0,512,3600000000000,64,30,0,1,42,32768,134217728,0,64,stack,46769664,0,0,0,0,0,0,3168,50.811923
