i,suite,case,NO_SET,SIZE,FILE_COUNT,FS,DISK_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SEED,SIM_SIZE,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
16,bench_p26_wt,bench_p26_wt_linear,0,16384,256,2,134217728,0,1,42,0,0,3600000000000,64,64,write,5184683520,10195702,10126337,316448,5191256628,5184684544,41477472256,3600000595932,87.576168
16,bench_p26_wt,bench_p26_wt_linear,0,16384,256,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,5184683520,0,0,0,0,0,0,1856,87.576268
16,bench_p26_wt,bench_p26_wt_linear,0,16384,256,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,5184683520,0,0,0,0,0,0,400,87.576323
16,bench_p26_wt,bench_p26_wt_linear,0,16384,256,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,5184683520,0,0,0,0,0,0,1552,87.576371
16,bench_p26_wt,bench_p26_wt_linear,0,16384,256,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,5184683520,0,0,0,0,0,0,393216,87.576417
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,16384,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6087533568,11948346,11895522,52250,6091762632,6090507264,6848512000,3600000904152,87.744779
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,16384,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6087533568,0,0,0,0,0,0,1856,87.744877
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,16384,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6087533568,0,0,0,0,0,0,400,87.744932
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,16384,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6087533568,0,0,0,0,0,0,1552,87.744981
22,bench_p26_wt,bench_p26_wt_linear,0,1048576,16384,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6087533568,0,0,0,0,0,0,917504,87.745028
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,32768,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6098520064,11970011,11914082,49437,6101224852,6100009984,6479806464,3600000421372,90.896632
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,32768,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6098520064,0,0,0,0,0,0,1856,90.896733
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,32768,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6098520064,0,0,0,0,0,0,400,90.896787
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,32768,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6098520064,0,0,0,0,0,0,1552,90.896836
23,bench_p26_wt,bench_p26_wt_linear,0,2097152,32768,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6098520064,0,0,0,0,0,0,393216,90.896882
17,bench_p26_wt,bench_p26_wt_linear,0,32768,512,2,134217728,0,1,42,0,0,3600000000000,64,64,write,5676652032,11125190,11087213,173238,5680252248,5676653056,22706651136,3600000328584,91.048965
17,bench_p26_wt,bench_p26_wt_linear,0,32768,512,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,5676652032,0,0,0,0,0,0,1856,91.049043
17,bench_p26_wt,bench_p26_wt_linear,0,32768,512,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,5676652032,0,0,0,0,0,0,400,91.049096
17,bench_p26_wt,bench_p26_wt_linear,0,32768,512,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,5676652032,0,0,0,0,0,0,1552,91.049143
17,bench_p26_wt,bench_p26_wt_linear,0,32768,512,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,5676652032,0,0,0,0,0,0,393216,91.049187
19,bench_p26_wt,bench_p26_wt_linear,0,131072,2048,2,134217728,0,1,42,0,0,3600000000000,64,64,write,6111595008,11946940,11936711,46628,6112567092,6111596032,6111625216,3600000338652,91.121889
19,bench_p26_wt,bench_p26_wt_linear,0,131072,2048,2,134217728,0,1,42,0,0,3600000000000,64,64,stack,6111595008,0,0,0,0,0,0,1856,91.121967
19,bench_p26_wt,bench_p26_wt_linear,0,131072,2048,2,134217728,0,1,42,0,0,3600000000000,64,64,ctx,6111595008,0,0,0,0,0,0,400,91.122019
19,bench_p26_wt,bench_p26_wt_linear,0,131072,2048,2,134217728,0,1,42,0,0,3600000000000,64,64,heap,6111595008,0,0,0,0,0,0,1552,91.122066
19,bench_p26_wt,bench_p26_wt_linear,0,131072,2048,2,134217728,0,1,42,0,0,3600000000000,64,64,usage,6111595008,0,0,0,0,0,0,393216,91.122122
