i,suite,case,SEED,FILE_COUNT,FILE_SIZE,SIZE,DISK_SIZE,DISK_GEOMETRY,SIM_TIME,SIM_SIZE,NO_SET,SKIP_WARMUP,NO_FRUNCATE,FS,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,write,271510592,11264061,1155476,69600,11264061,279299646,285081600,3600002014242,7.990324
19,bench_p26_wt,bench_p26_wt_linear,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,stack,271510592,0,0,0,0,0,0,3264,7.990495
19,bench_p26_wt,bench_p26_wt_linear,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,ctx,271510592,0,0,0,0,0,0,624,7.990545
19,bench_p26_wt,bench_p26_wt_linear,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,heap,271510592,0,0,0,0,0,0,784,7.990588
19,bench_p26_wt,bench_p26_wt_linear,42,2048,64,131072,134217728,0,3600000000000,0,0,0,0,3,64,usage,271510592,0,0,0,0,0,0,81920,7.990627
20,bench_p26_wt,bench_p26_wt_linear,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,write,268919104,25176488,1158991,69557,25176488,278455247,284905472,3600013975453,7.996254
20,bench_p26_wt,bench_p26_wt_linear,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,stack,268919104,0,0,0,0,0,0,3264,7.996324
20,bench_p26_wt,bench_p26_wt_linear,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,ctx,268919104,0,0,0,0,0,0,624,7.996372
20,bench_p26_wt,bench_p26_wt_linear,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,heap,268919104,0,0,0,0,0,0,784,7.996413
20,bench_p26_wt,bench_p26_wt_linear,42,4096,64,262144,134217728,0,3600000000000,0,0,0,0,3,64,usage,268919104,0,0,0,0,0,0,249856,7.996454
18,bench_p26_wt,bench_p26_wt_linear,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,write,275882304,7036709,1171300,69462,7036709,283203537,284516352,3600028905035,8.054413
18,bench_p26_wt,bench_p26_wt_linear,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,stack,275882304,0,0,0,0,0,0,3264,8.054498
18,bench_p26_wt,bench_p26_wt_linear,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,ctx,275882304,0,0,0,0,0,0,624,8.054541
18,bench_p26_wt,bench_p26_wt_linear,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,heap,275882304,0,0,0,0,0,0,784,8.054578
18,bench_p26_wt,bench_p26_wt_linear,42,1024,64,65536,134217728,0,3600000000000,0,0,0,0,3,64,usage,275882304,0,0,0,0,0,0,65536,8.054612
21,bench_p26_wt,bench_p26_wt_linear,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,write,263968832,54242035,1182424,69323,54242035,277383154,283947008,3600002741486,8.185222
21,bench_p26_wt,bench_p26_wt_linear,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,stack,263968832,0,0,0,0,0,0,3264,8.185311
21,bench_p26_wt,bench_p26_wt_linear,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,ctx,263968832,0,0,0,0,0,0,624,8.185357
21,bench_p26_wt,bench_p26_wt_linear,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,heap,263968832,0,0,0,0,0,0,784,8.185396
21,bench_p26_wt,bench_p26_wt_linear,42,8192,64,524288,134217728,0,3600000000000,0,0,0,0,3,64,usage,263968832,0,0,0,0,0,0,282624,8.185433
22,bench_p26_wt,bench_p26_wt_linear,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,write,260948288,72272496,1193144,69214,72272496,276919182,283500544,3600099663114,8.533591
22,bench_p26_wt,bench_p26_wt_linear,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,stack,260948288,0,0,0,0,0,0,3264,8.533674
22,bench_p26_wt,bench_p26_wt_linear,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,ctx,260948288,0,0,0,0,0,0,624,8.533718
22,bench_p26_wt,bench_p26_wt_linear,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,heap,260948288,0,0,0,0,0,0,784,8.533755
22,bench_p26_wt,bench_p26_wt_linear,42,16384,64,1048576,134217728,0,3600000000000,0,0,0,0,3,64,usage,260948288,0,0,0,0,0,0,954368,8.533791
23,bench_p26_wt,bench_p26_wt_linear,42,32768,64,2097152,134217728,0,3600000000000,0,0,0,0,3,64,write,258715968,86387406,1200116,69140,86387406,276470753,283197440,3600115531235,8.556165
