i,suite,case,SIM_SIZE,DISK_SIZE,DISK_GEOMETRY,FILE_SIZE,NO_SET,SKIP_WARMUP,SIM_TIME,CHUNK,FILE_COUNT,SIZE,SEED,NO_FRUNCATE,FS,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,write,3861702208,30907678,10285771,69893,1736053867,5266314752,9161015296,3600008926705,89.309339
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,stack,3861702208,0,0,0,0,0,0,3200,89.309439
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,ctx,3861702208,0,0,0,0,0,0,624,89.309487
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,heap,3861702208,0,0,0,0,0,0,1296,89.309527
18,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,1024,65536,42,0,3,usage,3861702208,0,0,0,0,0,0,786432,89.309567
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,write,4609141312,46490612,9002523,35166,2705166658,4609291776,4609277952,3600001546726,91.745974
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,stack,4609141312,0,0,0,0,0,0,3184,91.746070
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,ctx,4609141312,0,0,0,0,0,0,624,91.746124
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,heap,4609141312,0,0,0,0,0,0,1296,91.746172
12,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16,1024,42,0,3,usage,4609141312,0,0,0,0,0,0,655360,91.746223
21,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,write,4831409216,24000118,11181799,43722,1137089629,5725081088,5730729984,3600008664295,94.753023
21,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,stack,4831409216,0,0,0,0,0,0,3312,94.753122
21,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,ctx,4831409216,0,0,0,0,0,0,624,94.753176
21,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,heap,4831409216,0,0,0,0,0,0,1296,94.753228
21,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,8192,524288,42,0,3,usage,4831409216,0,0,0,0,0,0,786432,94.753271
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,write,4966286400,20727908,11483226,44942,1125184830,5879411712,5890637824,3600008884122,95.686138
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,stack,4966286400,0,0,0,0,0,0,3280,95.686233
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,ctx,4966286400,0,0,0,0,0,0,624,95.686286
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,heap,4966286400,0,0,0,0,0,0,1296,95.686328
20,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,4096,262144,42,0,3,usage,4966286400,0,0,0,0,0,0,917504,95.686372
22,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,write,4744857152,26103707,10987850,42945,1146354268,5625779200,5628887040,3600008794324,96.718943
22,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,stack,4744857152,0,0,0,0,0,0,3280,96.719033
22,bench_p26_wt,bench_p26_wt_linear,0,134217728,1,64,0,0,3600000000000,64,16384,1048576,42,0,3,ctx,4744857152,0,0,0,0,0,0,624,96.719078
