i,suite,case,NO_FRUNCATE,SEED,DISK_GEOMETRY,SIM_TIME,CHUNK,NO_SET,FILE_SIZE,SKIP_WARMUP,SIM_SIZE,SIZE,FS,CRYSTAL_THRESH,DISK_SIZE,FILE_COUNT,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,heap,869628480,0,0,0,0,0,0,1296,71.740259
17,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,32768,31,-1,134217728,512,usage,869628480,0,0,0,0,0,0,786432,71.740300
18,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,write,1127111744,83457613,5564087,25800,2835522345,2848812544,3381657600,3600002045451,74.759671
18,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,stack,1127111744,0,0,0,0,0,0,3328,74.759763
18,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,ctx,1127111744,0,0,0,0,0,0,624,74.759811
18,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,heap,1127111744,0,0,0,0,0,0,1296,74.759854
18,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,65536,31,-1,134217728,1024,usage,1127111744,0,0,0,0,0,0,655360,74.759912
16,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,write,1911494208,63559954,7437843,29168,2624260587,3808175616,3823108096,3600002039409,83.299538
16,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,stack,1911494208,0,0,0,0,0,0,3328,83.299632
16,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,ctx,1911494208,0,0,0,0,0,0,624,83.299677
16,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,heap,1911494208,0,0,0,0,0,0,1296,83.299717
16,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,16384,31,-1,134217728,256,usage,1911494208,0,0,0,0,0,0,655360,83.299754
15,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,write,2028230208,58498229,7892067,30950,2781321409,4040738304,4056678400,3600002078803,84.544955
15,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,stack,2028230208,0,0,0,0,0,0,3328,84.545034
15,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,ctx,2028230208,0,0,0,0,0,0,624,84.545072
15,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,heap,2028230208,0,0,0,0,0,0,1296,84.545102
15,bench_p26_wt,bench_p26_wt_linear,0,42,1,3600000000000,64,0,64,0,0,8192,31,-1,134217728,128,usage,2028230208,0,0,0,0,0,0,655360,84.545130
