i,suite,case,SIZE,FS,SEED,SKIP_WARMUP,FILE_SIZE,NO_SET,DISK_SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SIM_SIZE,DISK_GEOMETRY,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,65536,33,42,0,64,1,134217728,1024,3600000000000,0,0,1,64,write,3861702208,30907678,10285771,69893,1736053867,5266314752,9161015296,3600008926705,90.982878
18,bench_p26_wt,bench_p26_wt_linear,65536,33,42,0,64,1,134217728,1024,3600000000000,0,0,1,64,stack,3861702208,0,0,0,0,0,0,3200,90.982975
18,bench_p26_wt,bench_p26_wt_linear,65536,33,42,0,64,1,134217728,1024,3600000000000,0,0,1,64,ctx,3861702208,0,0,0,0,0,0,624,90.983022
18,bench_p26_wt,bench_p26_wt_linear,65536,33,42,0,64,1,134217728,1024,3600000000000,0,0,1,64,heap,3861702208,0,0,0,0,0,0,1296,90.983063
18,bench_p26_wt,bench_p26_wt_linear,65536,33,42,0,64,1,134217728,1024,3600000000000,0,0,1,64,usage,3861702208,0,0,0,0,0,0,786432,90.983103
12,bench_p26_wt,bench_p26_wt_linear,1024,33,42,0,64,1,134217728,16,3600000000000,0,0,1,64,write,4609141312,46490612,9002523,35166,2705166658,4609291776,4609277952,3600001546726,91.636091
12,bench_p26_wt,bench_p26_wt_linear,1024,33,42,0,64,1,134217728,16,3600000000000,0,0,1,64,stack,4609141312,0,0,0,0,0,0,3184,91.636187
12,bench_p26_wt,bench_p26_wt_linear,1024,33,42,0,64,1,134217728,16,3600000000000,0,0,1,64,ctx,4609141312,0,0,0,0,0,0,624,91.636234
12,bench_p26_wt,bench_p26_wt_linear,1024,33,42,0,64,1,134217728,16,3600000000000,0,0,1,64,heap,4609141312,0,0,0,0,0,0,1296,91.636275
12,bench_p26_wt,bench_p26_wt_linear,1024,33,42,0,64,1,134217728,16,3600000000000,0,0,1,64,usage,4609141312,0,0,0,0,0,0,655360,91.636315
20,bench_p26_wt,bench_p26_wt_linear,262144,33,42,0,64,1,134217728,4096,3600000000000,0,0,1,64,write,4966286400,20727908,11483226,44942,1125184830,5879411712,5890637824,3600008884122,97.073657
20,bench_p26_wt,bench_p26_wt_linear,262144,33,42,0,64,1,134217728,4096,3600000000000,0,0,1,64,stack,4966286400,0,0,0,0,0,0,3280,97.073766
20,bench_p26_wt,bench_p26_wt_linear,262144,33,42,0,64,1,134217728,4096,3600000000000,0,0,1,64,ctx,4966286400,0,0,0,0,0,0,624,97.073815
20,bench_p26_wt,bench_p26_wt_linear,262144,33,42,0,64,1,134217728,4096,3600000000000,0,0,1,64,heap,4966286400,0,0,0,0,0,0,1296,97.073857
20,bench_p26_wt,bench_p26_wt_linear,262144,33,42,0,64,1,134217728,4096,3600000000000,0,0,1,64,usage,4966286400,0,0,0,0,0,0,917504,97.073899
