FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
3,0,bench_p26_wt_linear,1073741824,72023.22836582673,4096
3,0,bench_p26_wt_linear,134217728,71863.24043085608,4096
3,0,bench_p26_wt_linear,16777216,71200.20916844599,4048
3,0,bench_p26_wt_linear,2147483648,72044.84115135929,4048
3,0,bench_p26_wt_linear,268435456,71927.23215602101,4048
3,0,bench_p26_wt_linear,33554432,71657.20738490344,4048
3,0,bench_p26_wt_linear,4294967296,72045.83040659678,4048
3,0,bench_p26_wt_linear,536870912,71989.06906132423,4048
3,0,bench_p26_wt_linear,67108864,71863.73412834972,4048
3,0,bench_p26_wt_logging,1073741824,4437.750716273312,4048
3,0,bench_p26_wt_logging,134217728,4442.356659764516,4048
3,0,bench_p26_wt_logging,16777216,4328.832986221864,4048
3,0,bench_p26_wt_logging,2147483648,4437.473658904123,4080
3,0,bench_p26_wt_logging,268435456,4432.5250361379785,4048
3,0,bench_p26_wt_logging,33554432,4390.932221707525,4048
3,0,bench_p26_wt_logging,4294967296,4436.958137403181,4048
3,0,bench_p26_wt_logging,536870912,4432.791698015285,4048
3,0,bench_p26_wt_logging,67108864,4431.78053209757,4048
3,0,bench_p26_wt_many,1073741824,17988.33753409553,4288
3,0,bench_p26_wt_many,134217728,17842.277233076926,4288
3,0,bench_p26_wt_many,2147483648,18104.656651815967,4288
3,0,bench_p26_wt_many,268435456,17988.333801805424,4288
3,0,bench_p26_wt_many,4294967296,18050.650815505356,4288
3,0,bench_p26_wt_many,536870912,18086.69626568213,4288
3,0,bench_p26_wt_many,67108864,17915.45614484539,4288
3,0,bench_p26_wt_random,1073741824,2166.329223393984,4080
3,0,bench_p26_wt_random,134217728,2166.703418317148,4080
3,0,bench_p26_wt_random,16777216,1973.6032861405276,4032
3,0,bench_p26_wt_random,2147483648,2166.676747500757,4032
3,0,bench_p26_wt_random,268435456,2168.1146551527436,4032
3,0,bench_p26_wt_random,33554432,2075.7978723115425,4032
3,0,bench_p26_wt_random,4294967296,2168.7756706987198,4080
3,0,bench_p26_wt_random,536870912,2167.8575370258263,4032
3,0,bench_p26_wt_random,67108864,2135.135735024797,4032
