FS,DISK_GEOMETRY,case,DISK_SIZE,bench_throughput,bench_ram
2,1,bench_p26_wt_linear,1073741824,1694033.5121345005,3408
2,1,bench_p26_wt_linear,134217728,1694033.1528282952,3408
2,1,bench_p26_wt_linear,16777216,1694027.732582256,3408
2,1,bench_p26_wt_linear,2147483648,1693991.5973336017,3552
2,1,bench_p26_wt_linear,268435456,1694033.655661106,3408
2,1,bench_p26_wt_linear,33554432,1694032.2789784689,3408
2,1,bench_p26_wt_linear,4294967296,1693971.2899235059,3552
2,1,bench_p26_wt_linear,536870912,1694033.58195126,3408
2,1,bench_p26_wt_linear,67108864,1694033.3317282002,3408
2,1,bench_p26_wt_logging,1073741824,1408.5860363002666,3456
2,1,bench_p26_wt_logging,134217728,1408.8143459228877,3456
2,1,bench_p26_wt_logging,16777216,1408.0362374126037,3456
2,1,bench_p26_wt_logging,2147483648,1408.505379010292,3552
2,1,bench_p26_wt_logging,268435456,1408.8495178291498,3456
2,1,bench_p26_wt_logging,33554432,1408.525047157329,3456
2,1,bench_p26_wt_logging,4294967296,1407.900312944338,3552
2,1,bench_p26_wt_logging,536870912,1408.9759721140138,3456
2,1,bench_p26_wt_logging,67108864,1408.726540814099,3456
2,1,bench_p26_wt_many,1073741824,177.0459419963971,3840
2,1,bench_p26_wt_many,134217728,177.0459419963971,3840
2,1,bench_p26_wt_many,16777216,177.0459419963971,3840
2,1,bench_p26_wt_many,2147483648,177.0459419963971,3840
2,1,bench_p26_wt_many,268435456,177.0459419963971,3840
2,1,bench_p26_wt_many,33554432,177.0459419963971,3840
2,1,bench_p26_wt_many,4294967296,177.0459419963971,3840
2,1,bench_p26_wt_many,536870912,177.0459419963971,3840
2,1,bench_p26_wt_many,67108864,177.0459419963971,3840
2,1,bench_p26_wt_random,1073741824,88.31381792111962,3392
2,1,bench_p26_wt_random,134217728,88.31380909085875,3392
2,1,bench_p26_wt_random,16777216,88.31178831523208,3392
2,1,bench_p26_wt_random,2147483648,88.31180259046073,3536
2,1,bench_p26_wt_random,268435456,88.3137919083826,3392
2,1,bench_p26_wt_random,33554432,88.31370894733057,3392
2,1,bench_p26_wt_random,4294967296,88.31093551740041,3536
2,1,bench_p26_wt_random,536870912,88.31381640165108,3392
2,1,bench_p26_wt_random,67108864,88.31381386115945,3392
