FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
2,0,bench_p26_wt_many,rs,512,,,884.4874962565269
2,0,bench_p26_wt_many,rs,64,,,1079.079249768765
2,0,bench_p26_wt_many,rs,8,,,1115.1045370699817
2,0,bench_p26_wt_random,bs,,,1048576,3.3241405815770197
2,0,bench_p26_wt_random,bs,,,131072,4.655378546430806
2,0,bench_p26_wt_random,bs,,,16384,5.040135073166489
2,0,bench_p26_wt_random,bs,,,262144,4.389663428665878
2,0,bench_p26_wt_random,bs,,,32768,4.938974900948083
2,0,bench_p26_wt_random,bs,,,4096,5.066629251096903
2,0,bench_p26_wt_random,bs,,,524288,3.947430319574853
2,0,bench_p26_wt_random,bs,,,65536,4.836011178600253
2,0,bench_p26_wt_random,bs,,,8192,5.067714505263758
2,0,bench_p26_wt_random,ps,,1,,5.066629251096903
2,0,bench_p26_wt_random,ps,,1024,,5.06615051113329
2,0,bench_p26_wt_random,ps,,128,,5.066546091677001
2,0,bench_p26_wt_random,ps,,16,,5.066629344744484
2,0,bench_p26_wt_random,ps,,2,,5.066629254270805
2,0,bench_p26_wt_random,ps,,2048,,5.065888146075215
2,0,bench_p26_wt_random,ps,,256,,5.066547809368835
2,0,bench_p26_wt_random,ps,,32,,5.066629067554251
2,0,bench_p26_wt_random,ps,,4,,5.066629152862471
2,0,bench_p26_wt_random,ps,,4096,,5.064445619580206
2,0,bench_p26_wt_random,ps,,512,,5.06637311487343
2,0,bench_p26_wt_random,ps,,64,,5.066584362953608
2,0,bench_p26_wt_random,ps,,8,,5.066629240731059
2,0,bench_p26_wt_random,rs,1,,,5.066629251096903
2,0,bench_p26_wt_random,rs,1024,,,5.017654503720473
2,0,bench_p26_wt_random,rs,128,,,5.070232278095889
2,0,bench_p26_wt_random,rs,16,,,5.065619176375003
2,0,bench_p26_wt_random,rs,2,,,5.066629230971765
2,0,bench_p26_wt_random,rs,2048,,,4.983833062476186
2,0,bench_p26_wt_random,rs,256,,,5.064351412179413
2,0,bench_p26_wt_random,rs,32,,,5.064890001068068
2,0,bench_p26_wt_random,rs,4,,,5.0666230044852885
2,0,bench_p26_wt_random,rs,4096,,,4.856806795917999
2,0,bench_p26_wt_random,rs,512,,,5.041834350095518
2,0,bench_p26_wt_random,rs,64,,,5.063418622971295
2,0,bench_p26_wt_random,rs,8,,,5.065991011760596
