FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
31,0,bench_p26_wt_many,ps,,4,,17781.276897336455
31,0,bench_p26_wt_many,ps,,4096,,759.6587400360288
31,0,bench_p26_wt_many,ps,,512,,5771.296236213184
31,0,bench_p26_wt_many,ps,,64,,15996.082149231252
31,0,bench_p26_wt_many,ps,,8,,17717.50361282263
31,0,bench_p26_wt_many,rs,1,,,17908.066556343616
31,0,bench_p26_wt_many,rs,1024,,,10119.351220459315
31,0,bench_p26_wt_many,rs,128,,,15386.764766971914
31,0,bench_p26_wt_many,rs,16,,,17629.36799086847
31,0,bench_p26_wt_many,rs,2,,,17897.329913201473
31,0,bench_p26_wt_many,rs,2048,,,9010.220336460694
31,0,bench_p26_wt_many,rs,256,,,13806.601437730447
31,0,bench_p26_wt_many,rs,32,,,17211.488416133867
31,0,bench_p26_wt_many,rs,4,,,17851.197768005237
31,0,bench_p26_wt_many,rs,4096,,,13021.84111070161
31,0,bench_p26_wt_many,rs,512,,,12028.580352841282
31,0,bench_p26_wt_many,rs,64,,,16496.832184377494
31,0,bench_p26_wt_many,rs,8,,,17756.147044404872
31,0,bench_p26_wt_random,bs,,,1048576,4338.321131904425
31,0,bench_p26_wt_random,bs,,,131072,4386.369212158556
31,0,bench_p26_wt_random,bs,,,16384,4063.0817466690746
31,0,bench_p26_wt_random,bs,,,262144,4394.763946541051
31,0,bench_p26_wt_random,bs,,,32768,4454.791975843859
31,0,bench_p26_wt_random,bs,,,4096,4430.469963384068
31,0,bench_p26_wt_random,bs,,,524288,4432.25914594426
31,0,bench_p26_wt_random,bs,,,65536,4484.655767832916
31,0,bench_p26_wt_random,bs,,,8192,4082.913754424332
31,0,bench_p26_wt_random,ps,,1,,4430.469963384068
31,0,bench_p26_wt_random,ps,,1024,,750.1497189924473
31,0,bench_p26_wt_random,ps,,128,,3565.1555027530253
31,0,bench_p26_wt_random,ps,,16,,4311.051128187717
31,0,bench_p26_wt_random,ps,,2,,4413.1099441780025
31,0,bench_p26_wt_random,ps,,2048,,410.21790748760503
31,0,bench_p26_wt_random,ps,,256,,2613.103876256542
31,0,bench_p26_wt_random,ps,,32,,4090.1005119805513
31,0,bench_p26_wt_random,ps,,4,,4431.916165069147
31,0,bench_p26_wt_random,ps,,4096,,332.3689171101973
31,0,bench_p26_wt_random,ps,,512,,1517.0148749578282
31,0,bench_p26_wt_random,ps,,64,,3872.426643521711
31,0,bench_p26_wt_random,ps,,8,,4377.051608143971
31,0,bench_p26_wt_random,rs,1,,,4430.469963384068
31,0,bench_p26_wt_random,rs,1024,,,3633.821700084225
31,0,bench_p26_wt_random,rs,128,,,4243.219743813902
31,0,bench_p26_wt_random,rs,16,,,4405.05336803692
31,0,bench_p26_wt_random,rs,2,,,4426.693080382973
31,0,bench_p26_wt_random,rs,2048,,,3415.0127679863335
31,0,bench_p26_wt_random,rs,256,,,4080.9769228491973
31,0,bench_p26_wt_random,rs,32,,,4378.88858804129
31,0,bench_p26_wt_random,rs,4,,,4423.957480065209
31,0,bench_p26_wt_random,rs,4096,,,3556.4947649525607
31,0,bench_p26_wt_random,rs,512,,,3868.244401451676
31,0,bench_p26_wt_random,rs,64,,,4329.011003925253
31,0,bench_p26_wt_random,rs,8,,,4416.719184140301
