FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
31,1,bench_p26_wt_many,ps,,4,,2710.427994495178
31,1,bench_p26_wt_many,ps,,4096,,1929.080728785252
31,1,bench_p26_wt_many,ps,,512,,3858.0379086592366
31,1,bench_p26_wt_many,ps,,64,,2853.9794004662276
31,1,bench_p26_wt_many,ps,,8,,2707.5074731044783
31,1,bench_p26_wt_many,rs,1,,,3858.0379086592366
31,1,bench_p26_wt_many,rs,1024,,,6166.04703785181
31,1,bench_p26_wt_many,rs,128,,,4733.766057472223
31,1,bench_p26_wt_many,rs,16,,,4114.80283789758
31,1,bench_p26_wt_many,rs,2,,,2938.7901713782408
31,1,bench_p26_wt_many,rs,2048,,,5965.056492242132
31,1,bench_p26_wt_many,rs,256,,,4692.995647257283
31,1,bench_p26_wt_many,rs,32,,,4535.616074209045
31,1,bench_p26_wt_many,rs,4,,,3103.4175771691257
31,1,bench_p26_wt_many,rs,4096,,,4012.809435699837
31,1,bench_p26_wt_many,rs,512,,,5383.11675567867
31,1,bench_p26_wt_many,rs,64,,,4689.6699815050915
31,1,bench_p26_wt_many,rs,8,,,3505.486766154426
31,1,bench_p26_wt_random,bs,,,1048576,12369.024556014661
31,1,bench_p26_wt_random,bs,,,131072,11527.427161873129
31,1,bench_p26_wt_random,bs,,,16384,4474.588726829738
31,1,bench_p26_wt_random,bs,,,262144,11977.68354732846
31,1,bench_p26_wt_random,bs,,,32768,7234.675012363505
31,1,bench_p26_wt_random,bs,,,4096,3041.272262317179
31,1,bench_p26_wt_random,bs,,,524288,12543.962046583354
31,1,bench_p26_wt_random,bs,,,65536,10313.75518044424
31,1,bench_p26_wt_random,bs,,,8192,4545.37437517134
31,1,bench_p26_wt_random,ps,,1,,12329.736226242967
31,1,bench_p26_wt_random,ps,,1024,,10736.424660896984
31,1,bench_p26_wt_random,ps,,128,,11940.998952267535
31,1,bench_p26_wt_random,ps,,16,,12484.37240549157
31,1,bench_p26_wt_random,ps,,2,,12456.398604650214
