FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
33,0,bench_p26_wt_many,ps,,4,,17733.25540836085
33,0,bench_p26_wt_many,ps,,4096,,556.1638730736894
33,0,bench_p26_wt_many,ps,,512,,5270.329498088141
33,0,bench_p26_wt_many,ps,,64,,15442.776502965968
33,0,bench_p26_wt_many,ps,,8,,17634.5682328467
33,0,bench_p26_wt_many,rs,1,,,17842.277233076926
33,0,bench_p26_wt_many,rs,1024,,,10296.94133112206
33,0,bench_p26_wt_many,rs,128,,,15362.975878512983
33,0,bench_p26_wt_many,rs,16,,,17545.118618633824
33,0,bench_p26_wt_many,rs,2,,,17836.19211036302
33,0,bench_p26_wt_many,rs,2048,,,9632.694518494603
33,0,bench_p26_wt_many,rs,256,,,13831.542157854194
33,0,bench_p26_wt_many,rs,32,,,17158.73698126921
33,0,bench_p26_wt_many,rs,4,,,17778.876753921377
33,0,bench_p26_wt_many,rs,4096,,,12987.00670640108
33,0,bench_p26_wt_many,rs,512,,,12130.453027342655
33,0,bench_p26_wt_many,rs,64,,,16472.798659854932
33,0,bench_p26_wt_many,rs,8,,,17675.141490638453
33,0,bench_p26_wt_random,bs,,,1048576,245.25870110597046
33,0,bench_p26_wt_random,bs,,,131072,794.3585649502709
33,0,bench_p26_wt_random,bs,,,16384,1550.192960492585
33,0,bench_p26_wt_random,bs,,,262144,612.1066022327062
33,0,bench_p26_wt_random,bs,,,32768,1268.2291645879657
33,0,bench_p26_wt_random,bs,,,4096,2166.703418317148
33,0,bench_p26_wt_random,bs,,,524288,410.92526995700393
33,0,bench_p26_wt_random,bs,,,65536,1004.2996804719783
33,0,bench_p26_wt_random,bs,,,8192,1839.2567480637058
33,0,bench_p26_wt_random,ps,,1,,2166.703418317148
33,0,bench_p26_wt_random,ps,,1024,,346.3083290677112
33,0,bench_p26_wt_random,ps,,128,,1644.1577870120243
33,0,bench_p26_wt_random,ps,,16,,1910.7648588761313
33,0,bench_p26_wt_random,ps,,2,,2063.8982210125037
33,0,bench_p26_wt_random,ps,,2048,,197.67695211651167
33,0,bench_p26_wt_random,ps,,256,,1104.822999210809
33,0,bench_p26_wt_random,ps,,32,,1831.7257541615018
33,0,bench_p26_wt_random,ps,,4,,2000.9532912133734
33,0,bench_p26_wt_random,ps,,4096,,173.16445312868476
33,0,bench_p26_wt_random,ps,,512,,664.4542891686716
33,0,bench_p26_wt_random,ps,,64,,1724.5115090756542
33,0,bench_p26_wt_random,ps,,8,,1950.5527736001181
33,0,bench_p26_wt_random,rs,1,,,2166.703418317148
33,0,bench_p26_wt_random,rs,1024,,,1841.9945111214242
33,0,bench_p26_wt_random,rs,128,,,2093.9057056458796
