FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
32,0,bench_p26_wt_many,ps,,4,,17980.880295689374
32,0,bench_p26_wt_many,ps,,4096,,864.2568427776026
32,0,bench_p26_wt_many,ps,,512,,5720.625251199272
32,0,bench_p26_wt_many,ps,,64,,15819.803462360524
32,0,bench_p26_wt_many,ps,,8,,17829.73444663989
32,0,bench_p26_wt_many,rs,1,,,18131.60710621841
32,0,bench_p26_wt_many,rs,1024,,,10451.196289561134
32,0,bench_p26_wt_many,rs,128,,,15626.503995077072
32,0,bench_p26_wt_many,rs,16,,,17829.157466004162
32,0,bench_p26_wt_many,rs,2,,,18118.076394474116
32,0,bench_p26_wt_many,rs,2048,,,9305.291046076925
32,0,bench_p26_wt_many,rs,256,,,14018.53341301774
32,0,bench_p26_wt_many,rs,32,,,17460.474112287273
32,0,bench_p26_wt_many,rs,4,,,18049.620557994567
32,0,bench_p26_wt_many,rs,4096,,,13211.6941628454
32,0,bench_p26_wt_many,rs,512,,,12262.289881311392
32,0,bench_p26_wt_many,rs,64,,,16781.13287954052
32,0,bench_p26_wt_many,rs,8,,,17951.926970555945
32,0,bench_p26_wt_random,bs,,,1048576,245.25870110597046
32,0,bench_p26_wt_random,bs,,,131072,794.3585649502709
32,0,bench_p26_wt_random,bs,,,16384,1550.192960492585
32,0,bench_p26_wt_random,bs,,,262144,612.1066022327062
32,0,bench_p26_wt_random,bs,,,32768,1268.2291645879657
32,0,bench_p26_wt_random,bs,,,4096,2166.703418317148
32,0,bench_p26_wt_random,bs,,,524288,410.92526995700393
32,0,bench_p26_wt_random,bs,,,65536,1004.2996804719783
32,0,bench_p26_wt_random,bs,,,8192,1839.2567480637058
32,0,bench_p26_wt_random,ps,,1,,2166.703418317148
32,0,bench_p26_wt_random,ps,,1024,,346.3083290677112
32,0,bench_p26_wt_random,ps,,128,,1644.1577870120243
32,0,bench_p26_wt_random,ps,,16,,1910.7648588761313
32,0,bench_p26_wt_random,ps,,2,,2063.8982210125037
32,0,bench_p26_wt_random,ps,,2048,,197.67695211651167
32,0,bench_p26_wt_random,ps,,256,,1104.822999210809
32,0,bench_p26_wt_random,ps,,32,,1831.7257541615018
32,0,bench_p26_wt_random,ps,,4,,2000.9532912133734
32,0,bench_p26_wt_random,ps,,4096,,173.16445312868476
32,0,bench_p26_wt_random,ps,,512,,664.4542891686716
32,0,bench_p26_wt_random,ps,,64,,1724.5115090756542
32,0,bench_p26_wt_random,ps,,8,,1950.5527736001181
32,0,bench_p26_wt_random,rs,1,,,2166.703418317148
32,0,bench_p26_wt_random,rs,1024,,,1841.9945111214242
32,0,bench_p26_wt_random,rs,128,,,2093.9057056458796
32,0,bench_p26_wt_random,rs,16,,,2157.1058609189013
32,0,bench_p26_wt_random,rs,2,,,2164.9800125316015
32,0,bench_p26_wt_random,rs,2048,,,1727.0893608613171
32,0,bench_p26_wt_random,rs,256,,,2033.8695356677608
32,0,bench_p26_wt_random,rs,32,,,2146.3109842860554
32,0,bench_p26_wt_random,rs,4,,,2163.7226148316404
32,0,bench_p26_wt_random,rs,4096,,,1735.5646850884607
32,0,bench_p26_wt_random,rs,512,,,1949.2014357430146
32,0,bench_p26_wt_random,rs,64,,,2125.8319321857575
32,0,bench_p26_wt_random,rs,8,,,2161.08609910491
