FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
30,0,bench_p26_wt_many,ps,,4,,17952.911994405604
30,0,bench_p26_wt_many,ps,,4096,,959.0312135009422
30,0,bench_p26_wt_many,ps,,512,,5839.759368166456
30,0,bench_p26_wt_many,ps,,64,,15804.985464479563
30,0,bench_p26_wt_many,ps,,8,,17770.309342925844
30,0,bench_p26_wt_many,rs,1,,,18059.459758663776
30,0,bench_p26_wt_many,rs,1024,,,9487.394340307308
30,0,bench_p26_wt_many,rs,128,,,15169.366736115568
30,0,bench_p26_wt_many,rs,16,,,17711.807621655247
30,0,bench_p26_wt_many,rs,2,,,18037.856919645124
30,0,bench_p26_wt_many,rs,2048,,,9151.059705542772
30,0,bench_p26_wt_many,rs,256,,,13487.088060257127
30,0,bench_p26_wt_many,rs,32,,,17256.254673332962
30,0,bench_p26_wt_many,rs,4,,,17971.713109926994
30,0,bench_p26_wt_many,rs,4096,,,12480.339024082152
30,0,bench_p26_wt_many,rs,512,,,11434.096397742689
30,0,bench_p26_wt_many,rs,64,,,16480.37255562913
30,0,bench_p26_wt_many,rs,8,,,17862.871326568336
30,0,bench_p26_wt_random,bs,,,1048576,245.28426998662238
30,0,bench_p26_wt_random,bs,,,131072,793.6497780550669
30,0,bench_p26_wt_random,bs,,,16384,1556.8050153149954
30,0,bench_p26_wt_random,bs,,,262144,612.6025118161873
30,0,bench_p26_wt_random,bs,,,32768,1271.1982351163156
30,0,bench_p26_wt_random,bs,,,4096,2183.6621175243004
30,0,bench_p26_wt_random,bs,,,524288,410.92509124046023
30,0,bench_p26_wt_random,bs,,,65536,1004.5541140564345
30,0,bench_p26_wt_random,bs,,,8192,1844.1266310005121
30,0,bench_p26_wt_random,ps,,1,,2183.6621175243004
30,0,bench_p26_wt_random,ps,,1024,,368.9317151992529
30,0,bench_p26_wt_random,ps,,128,,1680.6819874150679
30,0,bench_p26_wt_random,ps,,16,,1935.1279579746652
30,0,bench_p26_wt_random,ps,,2,,2085.3600499870818
30,0,bench_p26_wt_random,ps,,2048,,214.7009875409872
30,0,bench_p26_wt_random,ps,,256,,1130.4025859749966
30,0,bench_p26_wt_random,ps,,32,,1860.305215861775
30,0,bench_p26_wt_random,ps,,4,,2021.5141238294007
30,0,bench_p26_wt_random,ps,,4096,,179.081674246003
30,0,bench_p26_wt_random,ps,,512,,680.5580779545376
30,0,bench_p26_wt_random,ps,,64,,1747.7502851976703
30,0,bench_p26_wt_random,ps,,8,,1970.415497541932
30,0,bench_p26_wt_random,rs,1,,,2183.6621175243004
30,0,bench_p26_wt_random,rs,1024,,,1808.1308604668195
30,0,bench_p26_wt_random,rs,128,,,2095.5935091203773
30,0,bench_p26_wt_random,rs,16,,,2171.0970276745857
30,0,bench_p26_wt_random,rs,2,,,2182.258708250559
30,0,bench_p26_wt_random,rs,2048,,,1703.750265462281
30,0,bench_p26_wt_random,rs,256,,,2026.2614756954085
30,0,bench_p26_wt_random,rs,32,,,2159.9684458915335
30,0,bench_p26_wt_random,rs,4,,,2180.602573978353
30,0,bench_p26_wt_random,rs,4096,,,1734.209034432992
30,0,bench_p26_wt_random,rs,512,,,1929.3558945832915
30,0,bench_p26_wt_random,rs,64,,,2134.3898779465703
30,0,bench_p26_wt_random,rs,8,,,2176.7574444923057
