FS,DISK_GEOMETRY,case,g,READ_SIZE,PROG_SIZE,BLOCK_SIZE,bench_throughput
32,1,bench_p26_wt_many,ps,,4,,2704.682525308516
32,1,bench_p26_wt_many,ps,,4096,,1934.1015977623301
32,1,bench_p26_wt_many,ps,,512,,3857.3131645346307
32,1,bench_p26_wt_many,ps,,64,,2908.4047721267625
32,1,bench_p26_wt_many,ps,,8,,2709.3638982481143
32,1,bench_p26_wt_many,rs,1,,,3857.3131645346307
32,1,bench_p26_wt_many,rs,1024,,,6169.343853111132
32,1,bench_p26_wt_many,rs,128,,,4683.139176141659
32,1,bench_p26_wt_many,rs,16,,,4137.899358170584
32,1,bench_p26_wt_many,rs,2,,,2947.778506148011
32,1,bench_p26_wt_many,rs,2048,,,6036.256752774312
32,1,bench_p26_wt_many,rs,256,,,4681.223332137663
32,1,bench_p26_wt_many,rs,32,,,4533.499008159777
32,1,bench_p26_wt_many,rs,4,,,3104.258939593603
32,1,bench_p26_wt_many,rs,4096,,,4021.2158822303445
32,1,bench_p26_wt_many,rs,512,,,5362.103250839331
32,1,bench_p26_wt_many,rs,64,,,4662.283039873147
32,1,bench_p26_wt_many,rs,8,,,3473.5554564421636
32,1,bench_p26_wt_random,bs,,,1048576,6165.629369672304
32,1,bench_p26_wt_random,bs,,,131072,3632.0821884102656
32,1,bench_p26_wt_random,bs,,,16384,3362.727031839581
32,1,bench_p26_wt_random,bs,,,262144,4991.412661394778
32,1,bench_p26_wt_random,bs,,,32768,3862.9403642949505
32,1,bench_p26_wt_random,bs,,,4096,1778.9974938798302
32,1,bench_p26_wt_random,bs,,,524288,6140.567674152234
32,1,bench_p26_wt_random,bs,,,65536,3715.6239732237073
32,1,bench_p26_wt_random,bs,,,8192,1702.585300932849
32,1,bench_p26_wt_random,ps,,1,,4139.638971058546
32,1,bench_p26_wt_random,ps,,1024,,2655.2048581809495
32,1,bench_p26_wt_random,ps,,128,,3660.1234547285594
32,1,bench_p26_wt_random,ps,,16,,4031.4996553941764
32,1,bench_p26_wt_random,ps,,2,,4104.201267836219
32,1,bench_p26_wt_random,ps,,2048,,1584.9343650277972
32,1,bench_p26_wt_random,ps,,256,,3681.2336119969837
32,1,bench_p26_wt_random,ps,,32,,4007.3668633643533
32,1,bench_p26_wt_random,ps,,4,,4076.4462195517476
32,1,bench_p26_wt_random,ps,,4096,,845.6320038856933
32,1,bench_p26_wt_random,ps,,512,,3632.0821884102656
32,1,bench_p26_wt_random,ps,,64,,3947.9173303428033
32,1,bench_p26_wt_random,ps,,8,,4042.160073297018
32,1,bench_p26_wt_random,rs,1,,,3632.0821884102656
32,1,bench_p26_wt_random,rs,1024,,,4353.369033581331
32,1,bench_p26_wt_random,rs,128,,,5138.139474459202
32,1,bench_p26_wt_random,rs,16,,,3803.089620978376
32,1,bench_p26_wt_random,rs,2,,,2231.94079122885
32,1,bench_p26_wt_random,rs,2048,,,3580.150885782921
32,1,bench_p26_wt_random,rs,256,,,5035.407003120289
32,1,bench_p26_wt_random,rs,32,,,4630.284476144346
32,1,bench_p26_wt_random,rs,4,,,2279.7518561428496
32,1,bench_p26_wt_random,rs,4096,,,2262.9493259256883
32,1,bench_p26_wt_random,rs,512,,,4924.370025360605
32,1,bench_p26_wt_random,rs,64,,,5026.196493374177
32,1,bench_p26_wt_random,rs,8,,,2833.9638835383557
