FS,case,BLOCK_SIZE,bench_throughput
32,bench_p26_wt_linear,1048576,78146.06096911119
32,bench_p26_wt_linear,131072,78624.84887047611
32,bench_p26_wt_linear,16384,78669.82341163213
32,bench_p26_wt_linear,262144,78413.30272967034
32,bench_p26_wt_linear,32768,79305.19607399228
32,bench_p26_wt_linear,4096,73512.58015891461
32,bench_p26_wt_linear,524288,78403.17568506442
32,bench_p26_wt_linear,65536,78965.98963458407
32,bench_p26_wt_linear,8192,76978.4292769202
32,bench_p26_wt_logging,1048576,15032.165346662105
32,bench_p26_wt_logging,131072,11824.384366893102
32,bench_p26_wt_logging,16384,8332.069854241518
32,bench_p26_wt_logging,262144,12833.541822387402
32,bench_p26_wt_logging,32768,10393.80500123777
32,bench_p26_wt_logging,4096,5645.157106514267
32,bench_p26_wt_logging,524288,13906.673148574935
32,bench_p26_wt_logging,65536,10849.652128383023
32,bench_p26_wt_logging,8192,6124.17521405481
32,bench_p26_wt_random,1048576,300.53799311312457
32,bench_p26_wt_random,131072,821.9525232927317
32,bench_p26_wt_random,16384,1875.021875482053
32,bench_p26_wt_random,262144,629.8715362570708
32,bench_p26_wt_random,32768,1480.2446860813534
32,bench_p26_wt_random,4096,991.7645444576498
32,bench_p26_wt_random,524288,466.856456023111
32,bench_p26_wt_random,65536,1085.4830447614258
32,bench_p26_wt_random,8192,556.5681013590137
