FS,case,BLOCK_SIZE,bench_throughput
34,bench_p26_wt_linear,1048576,74356.02103459982
34,bench_p26_wt_linear,131072,74796.83026327494
34,bench_p26_wt_linear,16384,76264.38517129095
34,bench_p26_wt_linear,262144,74536.46526428568
34,bench_p26_wt_linear,32768,75588.44898109074
34,bench_p26_wt_linear,4096,73512.58015891461
34,bench_p26_wt_linear,524288,74477.78569708465
34,bench_p26_wt_linear,65536,75106.47471082279
34,bench_p26_wt_linear,8192,76978.4292769202
34,bench_p26_wt_logging,1048576,14495.997284971349
34,bench_p26_wt_logging,131072,11580.47618698932
34,bench_p26_wt_logging,16384,8088.212601192822
34,bench_p26_wt_logging,262144,12522.261693159322
34,bench_p26_wt_logging,32768,10148.259732918857
34,bench_p26_wt_logging,4096,5612.898922870569
34,bench_p26_wt_logging,524288,13448.60582826121
34,bench_p26_wt_logging,65536,10710.815845473931
34,bench_p26_wt_logging,8192,6079.403474471637
34,bench_p26_wt_random,1048576,292.1671130832087
34,bench_p26_wt_random,131072,854.6003723808262
34,bench_p26_wt_random,16384,1755.2847492260544
34,bench_p26_wt_random,262144,666.6480539809588
34,bench_p26_wt_random,32768,1390.250682771678
34,bench_p26_wt_random,4096,2475.943948776226
34,bench_p26_wt_random,524288,476.04320128968124
34,bench_p26_wt_random,65536,1105.1266702898365
34,bench_p26_wt_random,8192,2203.28043420179
