probe,ORDER,n,SEED,bench_simtime
create,0,1,0,5.0704e-05
create,0,10,0,7.7598e-05
create,0,100,0,0.000128222
create,0,1000,0,0.000188338
create,0,1001,0,0.000186756
create,0,1002,0,0.000186756
create,0,1003,0,0.000177264
create,0,1004,0,0.000188338
create,0,1005,0,0.000186756
create,0,1006,0,0.000186756
create,0,1007,0,0.000186756
create,0,1008,0,0.000196248
create,0,1009,0,0.000194666
create,0,101,0,0.00011873
create,0,1010,0,0.000194666
create,0,1011,0,0.000185174
create,0,1012,0,0.000186756
create,0,1013,0,0.000186756
create,0,1014,0,0.000186756
create,0,1015,0,0.000186756
create,0,1016,0,0.000196248
create,0,1017,0,0.000194666
create,0,1018,0,0.000194666
create,0,1019,0,0.000185174
create,0,102,0,0.000120312
create,0,1020,0,0.000196248
create,0,1021,0,0.000194666
create,0,1022,0,0.000194666
create,0,1023,0,0.000194666
create,0,1024,0,0.00020574
create,0,1025,0,0.00020574
create,0,1026,0,0.00020574
create,0,1027,0,0.000196248
create,0,1028,0,0.000194666
create,0,1029,0,0.000185174
create,0,103,0,0.000120312
create,0,1030,0,0.000177264
create,0,1031,0,0.000170936
create,0,1032,0,0.000169354
create,0,1033,0,0.000155116
create,0,1034,0,0.000156698
create,0,1035,0,0.000147206
create,0,1036,0,0.00015828
create,0,1037,0,0.000156698
create,0,1038,0,0.000156698
create,0,1039,0,0.000156698
create,0,104,0,0.000129804
create,0,1040,0,0.00016619
create,0,1041,0,0.000164608
create,0,1042,0,0.000164608
create,0,1043,0,0.000155116
create,0,1044,0,0.000156698
create,0,1045,0,0.000156698
create,0,1046,0,0.000156698
create,0,1047,0,0.000156698
create,0,1048,0,0.00016619
create,0,1049,0,0.000164608
create,0,105,0,0.000128222
create,0,1050,0,0.000164608
create,0,1051,0,0.000155116
create,0,1052,0,0.00016619
create,0,1053,0,0.000164608
create,0,1054,0,0.000164608
create,0,1055,0,0.000164608
create,0,1056,0,0.0001741
create,0,1057,0,0.000172518
create,0,1058,0,0.000172518
create,0,1059,0,0.000163026
create,0,106,0,0.000128222
create,0,1060,0,0.000164608
create,0,1061,0,0.000155116
create,0,1062,0,0.000156698
create,0,1063,0,0.000156698
create,0,1064,0,0.00016619
create,0,1065,0,0.000164608
create,0,1066,0,0.000164608
create,0,1067,0,0.000155116
create,0,1068,0,0.00016619
create,0,1069,0,0.000164608
create,0,107,0,0.00011873
create,0,1070,0,0.000164608
create,0,1071,0,0.000164608
create,0,1072,0,0.0001741
create,0,1073,0,0.000172518
create,0,1074,0,0.000172518
create,0,1075,0,0.000163026
create,0,1076,0,0.000164608
create,0,1077,0,0.000164608
create,0,1078,0,0.000164608
create,0,1079,0,0.000164608
create,0,108,0,0.000129804
create,0,1080,0,0.0001741
create,0,1081,0,0.000172518
create,0,1082,0,0.000172518
create,0,1083,0,0.000163026
create,0,1084,0,0.0001741
create,0,1085,0,0.000172518
create,0,1086,0,0.000172518
create,0,1087,0,0.000172518
create,0,1088,0,0.00018201
create,0,1089,0,0.000180428
create,0,109,0,0.000128222
create,0,1090,0,0.000180428
create,0,1091,0,0.000170936
create,0,1092,0,0.000172518
create,0,1093,0,0.000163026
create,0,1094,0,0.000155116
create,0,1095,0,0.000156698
create,0,1096,0,0.00016619
create,0,1097,0,0.000164608
create,0,1098,0,0.000164608
create,0,1099,0,0.000155116
create,0,11,0,7.7598e-05
create,0,110,0,0.000128222
create,0,1100,0,0.00016619
create,0,1101,0,0.000164608
create,0,1102,0,0.000164608
create,0,1103,0,0.000164608
create,0,1104,0,0.0001741
create,0,1105,0,0.000172518
create,0,1106,0,0.000172518
create,0,1107,0,0.000163026
create,0,1108,0,0.000164608
create,0,1109,0,0.000164608
create,0,111,0,0.000128222
create,0,1110,0,0.000164608
create,0,1111,0,0.000164608
create,0,1112,0,0.0001741
create,0,1113,0,0.000172518
create,0,1114,0,0.000172518
create,0,1115,0,0.000163026
create,0,1116,0,0.0001741
create,0,1117,0,0.000172518
create,0,1118,0,0.000172518
create,0,1119,0,0.000172518
create,0,112,0,0.000137714
create,0,1120,0,0.00018201
create,0,1121,0,0.000180428
create,0,1122,0,0.000180428
create,0,1123,0,0.000170936
create,0,1124,0,0.000172518
create,0,1125,0,0.000163026
create,0,1126,0,0.000164608
create,0,1127,0,0.000164608
create,0,1128,0,0.0001741
create,0,1129,0,0.000172518
create,0,113,0,0.000136132
create,0,1130,0,0.000172518
create,0,1131,0,0.000163026
create,0,1132,0,0.0001741
create,0,1133,0,0.000172518
create,0,1134,0,0.000172518
create,0,1135,0,0.000172518
create,0,1136,0,0.00018201
create,0,1137,0,0.000180428
create,0,1138,0,0.000180428
create,0,1139,0,0.000170936
create,0,114,0,0.000136132
create,0,1140,0,0.000172518
create,0,1141,0,0.000172518
create,0,1142,0,0.000172518
create,0,1143,0,0.000172518
create,0,1144,0,0.00018201
create,0,1145,0,0.000180428
create,0,1146,0,0.000180428
create,0,1147,0,0.000170936
create,0,1148,0,0.00018201
create,0,1149,0,0.000180428
create,0,115,0,0.00012664
create,0,1150,0,0.000180428
create,0,1151,0,0.000180428
create,0,1152,0,0.00018992
create,0,1153,0,0.000188338
create,0,1154,0,0.000188338
create,0,1155,0,0.000178846
create,0,1156,0,0.000180428
create,0,1157,0,0.000170936
create,0,1158,0,0.000163026
create,0,1159,0,0.000156698
create,0,116,0,0.000128222
create,0,1160,0,0.000167772
create,0,1161,0,0.00016619
create,0,1162,0,0.00016619
create,0,1163,0,0.000156698
create,0,1164,0,0.000167772
create,0,1165,0,0.00016619
create,0,1166,0,0.00016619
create,0,1167,0,0.00016619
create,0,1168,0,0.000175682
create,0,1169,0,0.0001741
create,0,117,0,0.000128222
create,0,1170,0,0.0001741
create,0,1171,0,0.000164608
create,0,1172,0,0.00016619
create,0,1173,0,0.00016619
