probe,BLOCK_SIZE,n,SEED,bench_simtime
commit,1048576,1158,0,0.000156708
commit,1048576,1159,0,0.000154864
commit,1048576,116,0,0.000127614
commit,1048576,1160,0,0.000162334
commit,1048576,1161,0,0.0001662
commit,1048576,1162,0,0.000152664
commit,1048576,1163,0,0.000178332
commit,1048576,1164,0,0.000173146
commit,1048576,1165,0,0.000163654
commit,1048576,1166,0,0.000175168
commit,1048576,1167,0,0.000157588
commit,1048576,1168,0,0.0001684
commit,1048576,1169,0,0.000154686
commit,1048576,117,0,0.000112234
commit,1048576,1170,0,0.000175608
commit,1048576,1171,0,0.000164618
commit,1048576,1172,0,0.000159694
commit,1048576,1173,0,0.000152664
commit,1048576,1174,0,0.000149678
commit,1048576,1175,0,0.000166556
commit,1048576,1176,0,0.000171302
commit,1048576,1177,0,0.000153806
commit,1048576,1178,0,0.000148096
commit,1048576,1179,0,0.000156886
commit,1048576,118,0,0.000109154
commit,1048576,1180,0,0.00015829
commit,1048576,1181,0,0.000155388
commit,1048576,1182,0,0.000157326
commit,1048576,1183,0,0.000172528
commit,1048576,1184,0,0.000156446
commit,1048576,1185,0,0.0001684
commit,1048576,1186,0,0.000141328
commit,1048576,1187,0,0.000145812
commit,1048576,1188,0,0.000159788
commit,1048576,1189,0,0.00015873
commit,1048576,119,0,0.000119704
commit,1048576,1190,0,0.000155126
commit,1048576,1191,0,0.000146336
commit,1048576,1192,0,0.000163738
commit,1048576,1193,0,0.000152842
commit,1048576,1194,0,0.000162774
commit,1048576,1195,0,0.000162774
commit,1048576,1196,0,0.000162512
commit,1048576,1197,0,0.000173586
commit,1048576,1198,0,0.000164974
commit,1048576,1199,0,0.000172444
commit,1048576,12,0,8.006e-05
commit,1048576,120,0,0.000130254
commit,1048576,1200,0,0.000164974
commit,1048576,1201,0,0.000175168
commit,1048576,1202,0,0.00016796
commit,1048576,1203,0,0.000165236
commit,1048576,1204,0,0.00017323
commit,1048576,1205,0,0.000164178
commit,1048576,1206,0,0.000147478
commit,1048576,1207,0,0.000145278
commit,1048576,1208,0,0.000158028
commit,1048576,1209,0,0.000146336
commit,1048576,121,0,0.000121024
commit,1048576,1210,0,0.000158028
commit,1048576,1211,0,0.00016005
commit,1048576,1212,0,0.000165938
commit,1048576,1213,0,0.000174728
commit,1048576,1214,0,0.000148798
commit,1048576,1215,0,0.000141936
commit,1048576,1216,0,0.000159348
commit,1048576,1217,0,0.000172004
commit,1048576,1218,0,0.00015126
commit,1048576,1219,0,0.00016884
commit,1048576,122,0,0.000131574
commit,1048576,1220,0,0.000154864
commit,1048576,1221,0,0.000162512
commit,1048576,1222,0,0.000167698
commit,1048576,1223,0,0.000147918
commit,1048576,1224,0,0.000156006
commit,1048576,1225,0,0.00017675
commit,1048576,1226,0,0.000164796
commit,1048576,1227,0,0.000161192
commit,1048576,1228,0,0.000158028
commit,1048576,1229,0,0.000158468
commit,1048576,123,0,0.000130694
commit,1048576,1230,0,0.000174288
commit,1048576,1231,0,0.000166818
commit,1048576,1232,0,0.000171826
commit,1048576,1233,0,0.00016225
commit,1048576,1234,0,0.000171742
commit,1048576,1235,0,0.000156446
commit,1048576,1236,0,0.000156006
commit,1048576,1237,0,0.000154948
commit,1048576,1238,0,0.000167258
commit,1048576,1239,0,0.000163654
commit,1048576,124,0,0.000113114
commit,1048576,1240,0,0.000182198
commit,1048576,1241,0,0.000170328
commit,1048576,1242,0,0.000158468
commit,1048576,1243,0,0.000147216
commit,1048576,1244,0,0.000155744
commit,1048576,1245,0,0.000169542
commit,1048576,1246,0,0.000150118
commit,1048576,1247,0,0.000165676
commit,1048576,1248,0,0.000157326
commit,1048576,1249,0,0.000162774
commit,1048576,125,0,0.000118824
commit,1048576,1250,0,0.000172884
commit,1048576,1251,0,0.000173848
commit,1048576,1252,0,0.000145812
commit,1048576,1253,0,0.000157148
commit,1048576,1254,0,0.00018554
