FS,case,BLOCK_SIZE,bench_throughput
36,bench_p26_wt_linear,1048576,59448.827923112825
36,bench_p26_wt_linear,131072,61491.01203590399
36,bench_p26_wt_linear,16384,61363.06212369261
36,bench_p26_wt_linear,262144,61085.33714758439
36,bench_p26_wt_linear,32768,61703.24180665843
36,bench_p26_wt_linear,4096,62545.29805343688
36,bench_p26_wt_linear,524288,60350.70569406412
36,bench_p26_wt_linear,65536,62032.18869141519
36,bench_p26_wt_linear,8192,59921.66461151584
36,bench_p26_wt_logging,1048576,13235.45306657843
36,bench_p26_wt_logging,131072,11323.760818162977
36,bench_p26_wt_logging,16384,7446.837577544244
36,bench_p26_wt_logging,262144,11935.250538713897
36,bench_p26_wt_logging,32768,9548.645262607584
36,bench_p26_wt_logging,4096,5142.161962526008
36,bench_p26_wt_logging,524288,12631.855703211455
36,bench_p26_wt_logging,65536,10523.064482535447
36,bench_p26_wt_logging,8192,5555.399942365837
36,bench_p26_wt_random,1048576,253.71724809241647
36,bench_p26_wt_random,131072,860.5715654965101
36,bench_p26_wt_random,16384,1741.8144776032977
36,bench_p26_wt_random,262144,625.1944770958399
36,bench_p26_wt_random,32768,1433.9451692242965
36,bench_p26_wt_random,4096,2298.8059425291385
36,bench_p26_wt_random,524288,430.90728343669093
36,bench_p26_wt_random,65536,1132.1152850428412
36,bench_p26_wt_random,8192,1985.4560292853785
