FS,case,BLOCK_SIZE,bench_throughput
33,bench_p26_wt_linear,1048576,76964.44366118952
33,bench_p26_wt_linear,131072,77344.98081392744
33,bench_p26_wt_linear,16384,78669.82341163213
33,bench_p26_wt_linear,262144,77166.51484541198
33,bench_p26_wt_linear,32768,78262.32310895406
33,bench_p26_wt_linear,4096,73512.58015891461
33,bench_p26_wt_linear,524288,77095.30636309783
33,bench_p26_wt_linear,65536,77670.14170876313
33,bench_p26_wt_linear,8192,76978.4292769202
33,bench_p26_wt_logging,1048576,14840.786060715538
33,bench_p26_wt_logging,131072,11769.109883389441
33,bench_p26_wt_logging,16384,8294.721775532556
33,bench_p26_wt_logging,262144,12755.824575179317
33,bench_p26_wt_logging,32768,10312.745552827215
33,bench_p26_wt_logging,4096,5645.157106514267
33,bench_p26_wt_logging,524288,13829.978999693338
33,bench_p26_wt_logging,65536,10836.123250526405
33,bench_p26_wt_logging,8192,6124.071119412891
33,bench_p26_wt_random,1048576,305.5898683487147
33,bench_p26_wt_random,131072,844.0393089772012
33,bench_p26_wt_random,16384,1877.2562343580712
33,bench_p26_wt_random,262144,646.579370626495
33,bench_p26_wt_random,32768,1389.9439813017316
33,bench_p26_wt_random,4096,1001.4347315077175
33,bench_p26_wt_random,524288,465.3523685542633
33,bench_p26_wt_random,65536,1073.3811626856468
33,bench_p26_wt_random,8192,2202.4323810305737
