i,suite,case,SIM_SIZE,DISK_SIM,DISK_GEOMETRY,CRYSTAL_DIV,NO_FRUNCATE,DISK_SIZE,FS,FILE_SIZE,BLOCK_SIZE,CHUNK,FILE_COUNT,SIZE,SKIP_WARMUP,SIM_TIME,SEED,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,heap,107610176,0,0,0,0,0,0,784,8.359622
18,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,262144,64,32768,2097152,0,3600000000000,42,usage,107610176,0,0,0,0,0,0,1572864,8.359660
19,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,write,110766400,18118429,1350297,546,329984554,282495141,286261248,3604972765750,8.574894
19,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,stack,110766400,0,0,0,0,0,0,3168,8.574972
19,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,ctx,110766400,0,0,0,0,0,0,528,8.575012
19,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,heap,110766400,0,0,0,0,0,0,784,8.575044
19,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,524288,64,32768,2097152,0,3600000000000,42,usage,110766400,0,0,0,0,0,0,3145728,8.575074
13,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,write,94933056,35769422,1448716,35347,592279833,249818372,289562624,3600038845088,9.743949
13,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,stack,94933056,0,0,0,0,0,0,3168,9.744021
13,bench_p26_wt,bench_p26_wt_linear,0,1,0,2,0,134217728,38,64,8192,64,32768,2097152,0,3600000000000,42,ctx,94933056,0,0,0,0,0,0,528,9.744056
