i,suite,case,DISK_GEOMETRY,BLOCK_SIZE,SIZE,FS,NO_FRUNCATE,DISK_SIM,CHUNK,CRYSTAL_DIV,SEED,FILE_SIZE,FILE_COUNT,SIM_TIME,SIM_SIZE,SKIP_WARMUP,DISK_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,282595392,0,0,0,0,0,0,784,6.820587
19,bench_p26_wt,bench_p26_wt_linear,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,282595392,0,0,0,0,0,0,3145728,6.820624
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,284295744,247796,1127857,4371,4844363,286353010,286457856,3600230242356,6.830000
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,284295744,0,0,0,0,0,0,3168,6.830060
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,284295744,0,0,0,0,0,0,528,6.830099
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,284295744,0,0,0,0,0,0,784,6.830133
16,bench_p26_wt,bench_p26_wt_linear,0,65536,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,284295744,0,0,0,0,0,0,1376256,6.830165
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,264646976,7207817,1175082,70067,95776352,280196631,286994432,3600022954274,6.963701
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,264646976,0,0,0,0,0,0,3168,6.963767
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,264646976,0,0,0,0,0,0,528,6.963800
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,264646976,0,0,0,0,0,0,784,6.963827
12,bench_p26_wt,bench_p26_wt_linear,0,4096,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,264646976,0,0,0,0,0,0,438272,6.963851
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,277127488,2533758,1142955,35002,34657360,283561692,286736384,3600066805768,7.083437
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,277127488,0,0,0,0,0,0,3168,7.083500
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,277127488,0,0,0,0,0,0,528,7.083530
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,277127488,0,0,0,0,0,0,784,7.083555
13,bench_p26_wt,bench_p26_wt_linear,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,277127488,0,0,0,0,0,0,344064,7.083577
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,2959680,17085920,1047728,2227,404351020,238832903,291897344,3600791914530,4.936601
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,2959680,0,0,0,0,0,0,3152,4.936730
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,2959680,0,0,0,0,0,0,512,4.936783
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,2959680,0,0,0,0,0,0,784,4.936828
26,bench_p26_wt,bench_p26_wt_random,0,131072,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,2959680,0,0,0,0,0,0,4980736,4.936872
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,1083392,3690182,566800,293,161247033,141044877,307232768,3604842065982,5.501783
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,1083392,0,0,0,0,0,0,3168,5.501896
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,1083392,0,0,0,0,0,0,512,5.501951
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,1083392,0,0,0,0,0,0,784,5.502017
29,bench_p26_wt,bench_p26_wt_random,0,1048576,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,1083392,0,0,0,0,0,0,11534336,5.502067
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,1681984,6319038,778539,571,232128062,192565938,299368448,3602786206124,5.919015
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,1681984,0,0,0,0,0,0,3168,5.919109
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,1681984,0,0,0,0,0,0,512,5.919158
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,1681984,0,0,0,0,0,0,784,5.919201
28,bench_p26_wt,bench_p26_wt_random,0,524288,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,1681984,0,0,0,0,0,0,8912896,5.919277
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,2268928,9427677,895328,1126,289569890,219874591,295174144,3602207544546,6.626414
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,2268928,0,0,0,0,0,0,3152,6.626508
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,2268928,0,0,0,0,0,0,512,6.626556
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,2268928,0,0,0,0,0,0,784,6.626599
27,bench_p26_wt,bench_p26_wt_random,0,262144,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,2268928,0,0,0,0,0,0,6029312,6.626641
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,5329280,31078257,1244060,8852,568573825,247093465,290062336,3600269637926,6.753517
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,5329280,0,0,0,0,0,0,3152,6.753613
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,5329280,0,0,0,0,0,0,512,6.753660
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,heap,5329280,0,0,0,0,0,0,784,6.753701
24,bench_p26_wt,bench_p26_wt_random,0,32768,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,usage,5329280,0,0,0,0,0,0,4521984,6.753740
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,write,2003712,12773853,1159590,35194,384560275,263825711,288309248,3600120084330,7.405115
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,stack,2003712,0,0,0,0,0,0,3152,7.405196
22,bench_p26_wt,bench_p26_wt_random,0,8192,2097152,32,0,1,64,128,42,64,32768,3600000000000,0,0,134217728,ctx,2003712,0,0,0,0,0,0,512,7.405237
