i,suite,case,CRYSTAL_THRESH,DISK_SIM,SIM_TIME,SIZE,DISK_GEOMETRY,FS,FILE_COUNT,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SEED,FILE_SIZE,DISK_SIZE,BLOCK_SIZE,SIM_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,ctx,42078016,0,0,0,0,0,0,528,16.942209
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,heap,42078016,0,0,0,0,0,0,784,16.942249
14,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,16384,0,usage,42078016,0,0,0,0,0,0,458752,16.942290
19,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,write,46927680,18896573,1117568,566,440646981,206803560,296747008,3604851741048,18.016578
19,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,stack,46927680,0,0,0,0,0,0,3200,18.016662
19,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,ctx,46927680,0,0,0,0,0,0,528,18.016701
19,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,heap,46927680,0,0,0,0,0,0,784,18.016734
19,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,524288,0,usage,46927680,0,0,0,0,0,0,3670016,18.016765
18,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,write,43937856,17613435,1098452,1134,429822861,204120430,297271296,3605933892556,18.157294
18,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,stack,43937856,0,0,0,0,0,0,3200,18.157364
18,bench_p26_wt,bench_p26_wt_linear,-1,1,3600000000000,2097152,0,31,32768,0,0,64,42,64,134217728,262144,0,ctx,43937856,0,0,0,0,0,0,528,18.157399
