i,suite,case,BLOCK_SIZE,DISK_SIM,SIM_SIZE,NO_FRUNCATE,DISK_GEOMETRY,SIZE,SKIP_WARMUP,SIM_TIME,SEED,FILE_SIZE,FS,DISK_SIZE,FILE_COUNT,CRYSTAL_DIV,CHUNK,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
19,bench_p26_wt,bench_p26_wt_linear,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,217645120,0,0,0,0,0,0,784,7.504476
19,bench_p26_wt,bench_p26_wt_linear,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,217645120,0,0,0,0,0,0,4194304,7.504506
18,bench_p26_wt,bench_p26_wt_linear,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,219939136,6203439,1251487,1092,111264968,285212336,286261248,3600522584800,7.656837
18,bench_p26_wt,bench_p26_wt_linear,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,219939136,0,0,0,0,0,0,3168,7.656914
18,bench_p26_wt,bench_p26_wt_linear,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,219939136,0,0,0,0,0,0,528,7.656952
18,bench_p26_wt,bench_p26_wt_linear,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,219939136,0,0,0,0,0,0,784,7.656982
18,bench_p26_wt,bench_p26_wt_linear,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,219939136,0,0,0,0,0,0,2883584,7.657013
14,bench_p26_wt,bench_p26_wt_linear,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,220907072,13536302,1248846,17460,192682080,284189235,286064640,3600000788010,7.907330
14,bench_p26_wt,bench_p26_wt_linear,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,220907072,0,0,0,0,0,0,3168,7.907395
14,bench_p26_wt,bench_p26_wt_linear,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,220907072,0,0,0,0,0,0,528,7.907423
14,bench_p26_wt,bench_p26_wt_linear,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,220907072,0,0,0,0,0,0,784,7.907445
14,bench_p26_wt,bench_p26_wt_linear,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,220907072,0,0,0,0,0,0,786432,7.907465
12,bench_p26_wt,bench_p26_wt_linear,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,225165888,20049110,1300384,69997,284024744,277441905,286707712,3600045007502,8.722300
12,bench_p26_wt,bench_p26_wt_linear,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,225165888,0,0,0,0,0,0,3168,8.722367
12,bench_p26_wt,bench_p26_wt_linear,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,225165888,0,0,0,0,0,0,528,8.722399
12,bench_p26_wt,bench_p26_wt_linear,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,225165888,0,0,0,0,0,0,784,8.722424
12,bench_p26_wt,bench_p26_wt_linear,4096,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,225165888,0,0,0,0,0,0,819200,8.722446
28,bench_p26_wt,bench_p26_wt_random,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,1551552,5437305,590930,584,179600477,145221019,306184192,3600663204450,3.465535
28,bench_p26_wt,bench_p26_wt_random,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,1551552,0,0,0,0,0,0,3168,3.465641
28,bench_p26_wt,bench_p26_wt_random,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,1551552,0,0,0,0,0,0,512,3.465697
28,bench_p26_wt,bench_p26_wt_random,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,1551552,0,0,0,0,0,0,784,3.465746
28,bench_p26_wt,bench_p26_wt_random,524288,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,1551552,0,0,0,0,0,0,7864320,3.465791
29,bench_p26_wt,bench_p26_wt_random,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,913920,3195097,391329,299,115471436,96791480,313524224,3602120103664,4.805279
29,bench_p26_wt,bench_p26_wt_random,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,913920,0,0,0,0,0,0,3168,4.805396
29,bench_p26_wt,bench_p26_wt_random,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,913920,0,0,0,0,0,0,512,4.805452
29,bench_p26_wt,bench_p26_wt_random,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,913920,0,0,0,0,0,0,784,4.805501
29,bench_p26_wt,bench_p26_wt_random,1048576,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,913920,0,0,0,0,0,0,7340032,4.805548
27,bench_p26_wt,bench_p26_wt_random,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,2251264,9788493,772630,1143,265183819,188718644,299630592,3600901931280,5.738898
27,bench_p26_wt,bench_p26_wt_random,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,2251264,0,0,0,0,0,0,3152,5.738998
27,bench_p26_wt,bench_p26_wt_random,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,2251264,0,0,0,0,0,0,512,5.739052
27,bench_p26_wt,bench_p26_wt_random,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,2251264,0,0,0,0,0,0,784,5.739097
27,bench_p26_wt,bench_p26_wt_random,262144,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,2251264,0,0,0,0,0,0,6291456,5.739139
25,bench_p26_wt,bench_p26_wt_random,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,4075712,22494298,1163565,4435,477632996,245180599,290652160,3600085657218,5.787231
25,bench_p26_wt,bench_p26_wt_random,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,4075712,0,0,0,0,0,0,3136,5.787371
25,bench_p26_wt,bench_p26_wt_random,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,4075712,0,0,0,0,0,0,512,5.787437
25,bench_p26_wt,bench_p26_wt_random,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,4075712,0,0,0,0,0,0,784,5.787483
25,bench_p26_wt,bench_p26_wt_random,65536,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,4075712,0,0,0,0,0,0,4456448,5.787522
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,5162688,26867169,1233184,8847,527798365,249305745,289898496,3600338500246,6.363216
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,5162688,0,0,0,0,0,0,3152,6.363316
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,5162688,0,0,0,0,0,0,512,6.363369
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,5162688,0,0,0,0,0,0,784,6.363415
24,bench_p26_wt,bench_p26_wt_random,32768,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,5162688,0,0,0,0,0,0,4784128,6.363458
26,bench_p26_wt,bench_p26_wt_random,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,3098368,17867749,1037440,2238,408687123,228438316,293339136,3600360648928,7.049951
26,bench_p26_wt,bench_p26_wt_random,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,3098368,0,0,0,0,0,0,3152,7.050039
26,bench_p26_wt,bench_p26_wt_random,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,3098368,0,0,0,0,0,0,512,7.050084
26,bench_p26_wt,bench_p26_wt_random,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,heap,3098368,0,0,0,0,0,0,784,7.050122
26,bench_p26_wt,bench_p26_wt_random,131072,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,usage,3098368,0,0,0,0,0,0,5373952,7.050157
23,bench_p26_wt,bench_p26_wt_random,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,write,6271232,35666924,1276783,17669,620660589,249842210,289488896,3600401811236,8.855687
23,bench_p26_wt,bench_p26_wt_random,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,stack,6271232,0,0,0,0,0,0,3152,8.855770
23,bench_p26_wt,bench_p26_wt_random,16384,1,0,0,0,2097152,0,3600000000000,42,64,36,134217728,32768,8,64,ctx,6271232,0,0,0,0,0,0,512,8.864147
