i,suite,case,SKIP_WARMUP,NO_FRUNCATE,CHUNK,SIM_SIZE,FILE_COUNT,SEED,DISK_SIZE,SIZE,SIM_TIME,DISK_SIM,DISK_GEOMETRY,BLOCK_SIZE,FS,FILE_SIZE,CRYSTAL_DIV,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
18,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,heap,268443712,0,0,0,0,0,0,784,7.001396
18,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,262144,34,64,32,usage,268443712,0,0,0,0,0,0,786432,7.001426
15,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,write,272139328,2582672,1156751,8740,37130386,286021118,286392320,3600276651636,7.044178
15,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,stack,272139328,0,0,0,0,0,0,3168,7.044242
15,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,ctx,272139328,0,0,0,0,0,0,528,7.044280
15,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,heap,272139328,0,0,0,0,0,0,784,7.044311
15,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,32768,34,64,32,usage,272139328,0,0,0,0,0,0,1769472,7.044340
20,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,write,268468288,1524880,1163589,274,28663783,286375930,287309824,3610578999044,7.050616
20,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,stack,268468288,0,0,0,0,0,0,3168,7.050664
20,bench_p26_wt,bench_p26_wt_linear,0,0,64,0,32768,42,134217728,2097152,3600000000000,1,0,1048576,34,64,32,ctx,268468288,0,0,0,0,0,0,528,7.050694
