i,suite,case,SIM_SIZE,BLOCK_SIZE,SEED,DISK_GEOMETRY,DISK_SIM,DISK_SIZE,FILE_SIZE,CHUNK,FS,CRYSTAL_DIV,SIZE,FILE_COUNT,SIM_TIME,NO_FRUNCATE,SKIP_WARMUP,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
15,bench_p26_wt,bench_p26_wt_linear,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,281772608,0,0,0,0,0,0,784,6.768263
15,bench_p26_wt,bench_p26_wt_linear,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,281772608,0,0,0,0,0,0,917504,6.768293
12,bench_p26_wt,bench_p26_wt_linear,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,264646976,7207817,1175082,70067,95776352,280196631,286994432,3600022954274,6.853977
12,bench_p26_wt,bench_p26_wt_linear,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,264646976,0,0,0,0,0,0,3168,6.854043
12,bench_p26_wt,bench_p26_wt_linear,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,264646976,0,0,0,0,0,0,528,6.854081
12,bench_p26_wt,bench_p26_wt_linear,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,264646976,0,0,0,0,0,0,784,6.854112
12,bench_p26_wt,bench_p26_wt_linear,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,264646976,0,0,0,0,0,0,438272,6.854142
16,bench_p26_wt,bench_p26_wt_linear,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,279643200,656854,1139575,4371,12050124,286275044,286457856,3600395130584,6.829238
16,bench_p26_wt,bench_p26_wt_linear,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,279643200,0,0,0,0,0,0,3168,6.829296
16,bench_p26_wt,bench_p26_wt_linear,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,279643200,0,0,0,0,0,0,528,6.829334
16,bench_p26_wt,bench_p26_wt_linear,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,279643200,0,0,0,0,0,0,784,6.829364
16,bench_p26_wt,bench_p26_wt_linear,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,279643200,0,0,0,0,0,0,917504,6.829392
13,bench_p26_wt,bench_p26_wt_linear,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,277127488,2533758,1142955,35002,34657360,283561692,286736384,3600066805768,6.943081
13,bench_p26_wt,bench_p26_wt_linear,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,277127488,0,0,0,0,0,0,3168,6.943139
13,bench_p26_wt,bench_p26_wt_linear,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,277127488,0,0,0,0,0,0,528,6.943169
13,bench_p26_wt,bench_p26_wt_linear,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,277127488,0,0,0,0,0,0,784,6.943193
13,bench_p26_wt,bench_p26_wt_linear,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,277127488,0,0,0,0,0,0,344064,6.943216
29,bench_p26_wt,bench_p26_wt_random,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,1100736,3874246,532263,294,154894237,132129975,308281344,3602004235114,5.261161
29,bench_p26_wt,bench_p26_wt_random,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,1100736,0,0,0,0,0,0,3168,5.261265
29,bench_p26_wt,bench_p26_wt_random,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,1100736,0,0,0,0,0,0,512,5.261321
29,bench_p26_wt,bench_p26_wt_random,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,1100736,0,0,0,0,0,0,784,5.261370
29,bench_p26_wt,bench_p26_wt_random,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,1100736,0,0,0,0,0,0,11534336,5.261416
25,bench_p26_wt,bench_p26_wt_random,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,3864512,21515465,1150186,4438,466147926,244251644,290848768,3600316583096,5.648105
25,bench_p26_wt,bench_p26_wt_random,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,3864512,0,0,0,0,0,0,3152,5.648227
25,bench_p26_wt,bench_p26_wt_random,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,3864512,0,0,0,0,0,0,512,5.648282
25,bench_p26_wt,bench_p26_wt_random,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,3864512,0,0,0,0,0,0,784,5.648332
25,bench_p26_wt,bench_p26_wt_random,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,3864512,0,0,0,0,0,0,4456448,5.648377
28,bench_p26_wt,bench_p26_wt_random,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,1677952,5795733,745057,574,217788086,183889863,300941312,3605766540338,5.994467
28,bench_p26_wt,bench_p26_wt_random,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,1677952,0,0,0,0,0,0,3168,5.994569
28,bench_p26_wt,bench_p26_wt_random,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,1677952,0,0,0,0,0,0,512,5.994622
28,bench_p26_wt,bench_p26_wt_random,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,1677952,0,0,0,0,0,0,784,5.994668
28,bench_p26_wt,bench_p26_wt_random,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,1677952,0,0,0,0,0,0,7864320,5.994712
24,bench_p26_wt,bench_p26_wt_random,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,5003904,26993296,1216601,8859,525732271,246461431,290291712,3600076022714,6.498282
24,bench_p26_wt,bench_p26_wt_random,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,5003904,0,0,0,0,0,0,3152,6.498376
24,bench_p26_wt,bench_p26_wt_random,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,5003904,0,0,0,0,0,0,512,6.498426
24,bench_p26_wt,bench_p26_wt_random,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,5003904,0,0,0,0,0,0,784,6.498471
24,bench_p26_wt,bench_p26_wt_random,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,5003904,0,0,0,0,0,0,4390912,6.498520
21,bench_p26_wt,bench_p26_wt_random,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,3605248,23296565,1266878,70209,496117195,266073022,287576064,3600082847708,6.621736
21,bench_p26_wt,bench_p26_wt_random,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,3605248,0,0,0,0,0,0,3152,6.621846
21,bench_p26_wt,bench_p26_wt_random,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,3605248,0,0,0,0,0,0,512,6.621897
21,bench_p26_wt,bench_p26_wt_random,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,3605248,0,0,0,0,0,0,784,6.621939
21,bench_p26_wt,bench_p26_wt_random,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,3605248,0,0,0,0,0,0,2740224,6.621980
27,bench_p26_wt,bench_p26_wt_random,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,2328512,9740608,879674,1128,288484127,215673555,295698432,3601277903042,6.629455
27,bench_p26_wt,bench_p26_wt_random,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,2328512,0,0,0,0,0,0,3152,6.629530
27,bench_p26_wt,bench_p26_wt_random,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,2328512,0,0,0,0,0,0,512,6.629580
27,bench_p26_wt,bench_p26_wt_random,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,2328512,0,0,0,0,0,0,784,6.629623
27,bench_p26_wt,bench_p26_wt_random,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,2328512,0,0,0,0,0,0,5242880,6.629665
26,bench_p26_wt,bench_p26_wt_random,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,3040832,17482342,1053127,2230,409370817,237190137,292290560,3602713721574,7.321379
26,bench_p26_wt,bench_p26_wt_random,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,3040832,0,0,0,0,0,0,3152,7.321462
26,bench_p26_wt,bench_p26_wt_random,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,3040832,0,0,0,0,0,0,512,7.321515
26,bench_p26_wt,bench_p26_wt_random,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,3040832,0,0,0,0,0,0,784,7.321552
26,bench_p26_wt,bench_p26_wt_random,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,3040832,0,0,0,0,0,0,4849664,7.321586
23,bench_p26_wt,bench_p26_wt_random,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,6758912,41086665,1322826,17668,674896187,248596540,289472512,3600420590592,9.736654
23,bench_p26_wt,bench_p26_wt_random,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,6758912,0,0,0,0,0,0,3152,9.736729
23,bench_p26_wt,bench_p26_wt_random,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,6758912,0,0,0,0,0,0,512,9.736765
23,bench_p26_wt,bench_p26_wt_random,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,6758912,0,0,0,0,0,0,784,9.736793
23,bench_p26_wt,bench_p26_wt_random,0,16384,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,6758912,0,0,0,0,0,0,4554752,9.736821
22,bench_p26_wt,bench_p26_wt_random,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,7928896,66942832,1397541,35165,951142548,251113861,288071680,3600063306502,11.140725
22,bench_p26_wt,bench_p26_wt_random,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,7928896,0,0,0,0,0,0,3104,11.140795
22,bench_p26_wt,bench_p26_wt_random,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,7928896,0,0,0,0,0,0,512,11.140827
22,bench_p26_wt,bench_p26_wt_random,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,7928896,0,0,0,0,0,0,784,11.140853
22,bench_p26_wt,bench_p26_wt_random,0,8192,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,7928896,0,0,0,0,0,0,4530176,11.140898
33,bench_p26_wt,bench_p26_wt_logging,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,37126656,54868214,2936816,8717,548555705,278196180,285638656,3600074859776,10.391155
33,bench_p26_wt,bench_p26_wt_logging,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,37126656,0,0,0,0,0,0,3168,10.391269
33,bench_p26_wt,bench_p26_wt_logging,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,37126656,0,0,0,0,0,0,528,10.391328
33,bench_p26_wt,bench_p26_wt_logging,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,37126656,0,0,0,0,0,0,784,10.391381
33,bench_p26_wt,bench_p26_wt_logging,0,32768,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,37126656,0,0,0,0,0,0,2293760,10.391429
35,bench_p26_wt,bench_p26_wt_logging,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,42381120,44162685,3291665,2184,409041065,278014836,286261248,3601047183680,10.658715
35,bench_p26_wt,bench_p26_wt_logging,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,42381120,0,0,0,0,0,0,3168,10.658819
35,bench_p26_wt,bench_p26_wt_logging,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,42381120,0,0,0,0,0,0,528,10.658876
35,bench_p26_wt,bench_p26_wt_logging,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,42381120,0,0,0,0,0,0,784,10.658925
35,bench_p26_wt,bench_p26_wt_logging,0,131072,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,42381120,0,0,0,0,0,0,2752512,10.658973
30,bench_p26_wt,bench_p26_wt_logging,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,20322624,80796894,2667336,69390,1102956083,273979371,284221440,3600010348082,13.424021
30,bench_p26_wt,bench_p26_wt_logging,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,20322624,0,0,0,0,0,0,2976,13.424121
30,bench_p26_wt,bench_p26_wt_logging,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,20322624,0,0,0,0,0,0,528,13.424174
30,bench_p26_wt,bench_p26_wt_logging,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,20322624,0,0,0,0,0,0,784,13.424233
30,bench_p26_wt,bench_p26_wt_logging,0,4096,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,20322624,0,0,0,0,0,0,2203648,13.424276
37,bench_p26_wt,bench_p26_wt_logging,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,49808256,37342794,3861656,547,318084881,276941098,286785536,3601470110772,15.055330
37,bench_p26_wt,bench_p26_wt_logging,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,49808256,0,0,0,0,0,0,3168,15.055428
37,bench_p26_wt,bench_p26_wt_logging,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,49808256,0,0,0,0,0,0,528,15.055484
37,bench_p26_wt,bench_p26_wt_logging,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,49808256,0,0,0,0,0,0,784,15.055531
37,bench_p26_wt,bench_p26_wt_logging,0,524288,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,49808256,0,0,0,0,0,0,4194304,15.055576
36,bench_p26_wt,bench_p26_wt_logging,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,45927232,39448256,3559890,1093,348305071,277378537,286523392,3600491032886,15.132445
36,bench_p26_wt,bench_p26_wt_logging,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,45927232,0,0,0,0,0,0,3168,15.132537
36,bench_p26_wt,bench_p26_wt_logging,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,45927232,0,0,0,0,0,0,528,15.132590
36,bench_p26_wt,bench_p26_wt_logging,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,45927232,0,0,0,0,0,0,784,15.132638
36,bench_p26_wt,bench_p26_wt_logging,0,262144,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,45927232,0,0,0,0,0,0,3407872,15.132684
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,53483712,32362806,4148768,274,258294066,276305524,287309824,3603832828072,15.927763
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,53483712,0,0,0,0,0,0,3168,15.927848
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,53483712,0,0,0,0,0,0,528,15.927890
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,53483712,0,0,0,0,0,0,784,15.927923
38,bench_p26_wt,bench_p26_wt_logging,0,1048576,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,usage,53483712,0,0,0,0,0,0,6291456,15.927955
34,bench_p26_wt,bench_p26_wt_logging,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,write,39010048,52810323,3050538,4360,518473906,278227053,285736960,3600000396646,16.895501
34,bench_p26_wt,bench_p26_wt_logging,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,stack,39010048,0,0,0,0,0,0,3168,16.895580
34,bench_p26_wt,bench_p26_wt_logging,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,ctx,39010048,0,0,0,0,0,0,528,16.895620
34,bench_p26_wt,bench_p26_wt_logging,0,65536,42,0,1,134217728,64,64,33,64,2097152,32768,3600000000000,0,0,heap,39010048,0,0,0,0,0,0,784,16.895654
