i,suite,case,CHUNK,BLOCK_SIZE,FILE_COUNT,SKIP_WARMUP,DISK_GEOMETRY,NO_FRUNCATE,SIM_SIZE,FS,SIM_TIME,DISK_SIZE,SEED,SIZE,NO_SET,FILE_SIZE,probe,n,bench_reads,bench_progs,bench_erases,bench_readed,bench_progged,bench_erased,bench_simtime,bench_runtime
44,bench_p26_wt,bench_p26_wt_logging,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16637312,0,0,0,0,0,0,115508,0.959120
44,bench_p26_wt,bench_p26_wt_logging,64,131072,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16637312,0,0,0,0,0,0,11721104,0.959270
41,bench_p26_wt,bench_p26_wt_logging,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16569408,132575744,1120818,69800,132575744,286929408,285900800,3600131542016,0.982491
41,bench_p26_wt,bench_p26_wt_logging,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16569408,0,0,0,0,0,0,8944,0.982695
41,bench_p26_wt,bench_p26_wt_logging,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16569408,0,0,0,0,0,0,7232,0.982776
41,bench_p26_wt,bench_p26_wt_logging,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16569408,0,0,0,0,0,0,189140,0.982822
41,bench_p26_wt,bench_p26_wt_logging,64,16384,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16569408,0,0,0,0,0,0,11507328,0.982867
47,bench_p26_wt,bench_p26_wt_logging,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,8488256,139481088,1114836,69888,139481088,285398016,286261248,3601944975360,1.174911
47,bench_p26_wt,bench_p26_wt_logging,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,8488256,0,0,0,0,0,0,8768,1.175045
47,bench_p26_wt,bench_p26_wt_logging,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,8488256,0,0,0,0,0,0,7232,1.175082
47,bench_p26_wt,bench_p26_wt_logging,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,8488256,0,0,0,0,0,0,98452,1.175110
47,bench_p26_wt,bench_p26_wt_logging,64,1048576,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,8488256,0,0,0,0,0,0,11735648,1.175138
43,bench_p26_wt,bench_p26_wt_logging,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16567360,132559360,1120682,69808,132559360,286894592,285933568,3600435796992,1.236702
43,bench_p26_wt,bench_p26_wt_logging,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16567360,0,0,0,0,0,0,8768,1.236837
43,bench_p26_wt,bench_p26_wt_logging,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16567360,0,0,0,0,0,0,7232,1.236888
43,bench_p26_wt,bench_p26_wt_logging,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16567360,0,0,0,0,0,0,120444,1.236935
43,bench_p26_wt,bench_p26_wt_logging,64,65536,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16567360,0,0,0,0,0,0,11724576,1.236998
46,bench_p26_wt,bench_p26_wt_logging,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16683264,133486592,1120652,69888,133486592,286886912,286261248,3604060628992,1.261670
46,bench_p26_wt,bench_p26_wt_logging,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16683264,0,0,0,0,0,0,8768,1.261776
46,bench_p26_wt,bench_p26_wt_logging,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16683264,0,0,0,0,0,0,7232,1.261811
46,bench_p26_wt,bench_p26_wt_logging,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16683264,0,0,0,0,0,0,130220,1.261839
46,bench_p26_wt,bench_p26_wt_logging,64,524288,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16683264,0,0,0,0,0,0,13749744,1.261865
45,bench_p26_wt,bench_p26_wt_logging,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16667584,133361152,1120696,69824,133361152,286898176,285999104,3601193517056,1.294092
45,bench_p26_wt,bench_p26_wt_logging,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16667584,0,0,0,0,0,0,8768,1.294285
45,bench_p26_wt,bench_p26_wt_logging,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16667584,0,0,0,0,0,0,7232,1.294326
45,bench_p26_wt,bench_p26_wt_logging,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16667584,0,0,0,0,0,0,118308,1.294362
45,bench_p26_wt,bench_p26_wt_logging,64,262144,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16667584,0,0,0,0,0,0,12313328,1.294395
40,bench_p26_wt,bench_p26_wt_logging,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,16029120,128253440,1120416,69806,128253440,286826496,285925376,3600065835008,1.336904
40,bench_p26_wt,bench_p26_wt_logging,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,16029120,0,0,0,0,0,0,8816,1.336982
40,bench_p26_wt,bench_p26_wt_logging,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,16029120,0,0,0,0,0,0,7232,1.337012
40,bench_p26_wt,bench_p26_wt_logging,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,16029120,0,0,0,0,0,0,321812,1.337039
40,bench_p26_wt,bench_p26_wt_logging,64,8192,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,16029120,0,0,0,0,0,0,14126208,1.337062
39,bench_p26_wt,bench_p26_wt_logging,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,write,14949184,119613952,1119574,69820,119613952,286610944,285982720,3600009233408,1.364638
39,bench_p26_wt,bench_p26_wt_logging,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,stack,14949184,0,0,0,0,0,0,8944,1.364694
39,bench_p26_wt,bench_p26_wt_logging,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,ctx,14949184,0,0,0,0,0,0,7232,1.364727
39,bench_p26_wt,bench_p26_wt_logging,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,heap,14949184,0,0,0,0,0,0,587828,1.364755
39,bench_p26_wt,bench_p26_wt_logging,64,4096,32768,0,0,0,0,5,3600000000000,134217728,42,2097152,0,64,usage,14949184,0,0,0,0,0,0,19562368,1.364781
